date,cases,deaths
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,2,0
2020-03-26,8,0
2020-03-27,8,0
2020-03-28,9,0
2020-03-29,9,0
2020-03-30,9,0
2020-03-31,10,0
2020-04-01,14,0
2020-04-02,26,0
2020-04-03,28,0
2020-04-04,29,0
2020-04-05,29,0
2020-04-06,32,0
2020-04-07,33,0
2020-04-08,35,0
2020-04-09,36,0
2020-04-10,36,0
2020-04-11,37,0
2020-04-12,37,0
2020-04-13,39,0
2020-04-14,40,0
2020-04-15,41,0
2020-04-16,45,0
2020-04-17,48,0
2020-04-18,48,0
2020-04-19,48,0
2020-04-20,50,0
2020-04-21,52,0
2020-04-22,52,0
2020-04-23,52,0
2020-04-24,53,0
2020-04-25,53,0
2020-04-26,53,0
2020-04-27,54,0
2020-04-28,54,0
2020-04-29,54,0
2020-04-30,54,0
2020-05-01,55,0
2020-05-02,57,0
2020-05-03,59,0
2020-05-04,59,0
2020-05-05,60,0
2020-05-06,60,0
2020-05-07,62,0
2020-05-08,62,0
2020-05-09,62,0
2020-05-10,63,0
2020-05-11,63,0
2020-05-12,65,0
2020-05-13,65,0
2020-05-14,69,0
2020-05-15,71,0
2020-05-16,71,0
2020-05-17,71,0
2020-05-18,72,0
2020-05-19,72,0
2020-05-20,72,0
2020-05-21,72,0
2020-05-22,71,0
2020-05-23,72,0
2020-05-24,72,0
2020-05-25,73,0
2020-05-26,73,0
2020-05-27,73,0
2020-05-28,74,0
2020-05-29,76,0
2020-05-30,76,0
2020-05-31,76,0
2020-06-01,76,0
2020-06-02,76,0
