date,cases,deaths
2020-05-09,1,0
2020-05-10,2,0
2020-05-11,2,0
2020-05-12,3,0
2020-05-13,3,0
2020-05-14,3,0
2020-05-15,3,0
2020-05-16,3,0
2020-05-17,3,0
2020-05-18,3,0
2020-05-19,3,0
2020-05-20,3,0
2020-05-21,3,0
2020-05-22,3,0
2020-05-23,3,0
2020-05-24,3,0
2020-05-25,3,0
2020-05-26,3,0
2020-05-27,3,0
2020-05-28,3,0
2020-05-29,3,0
2020-05-30,3,0
2020-05-31,4,0
2020-06-01,5,0
2020-06-02,7,0
2020-06-03,7,0
2020-06-04,7,0
2020-06-05,7,0
2020-06-06,7,0
2020-06-07,7,0
2020-06-08,7,0
2020-06-09,7,0
2020-06-10,7,0
2020-06-11,8,0
2020-06-12,9,0
2020-06-13,9,0
2020-06-14,9,0
2020-06-15,9,0
2020-06-16,9,0
2020-06-17,10,0
2020-06-18,12,0
2020-06-19,12,0
2020-06-20,16,0
2020-06-21,16,0
2020-06-22,20,0
2020-06-23,19,0
2020-06-24,20,0
2020-06-25,23,0
2020-06-26,25,0
2020-06-27,25,0
2020-06-28,26,0
2020-06-29,26,0
2020-06-30,29,0
2020-07-01,30,0
2020-07-02,33,0
2020-07-03,33,0
2020-07-04,40,0
2020-07-05,40,0
2020-07-06,48,0
2020-07-07,57,0
2020-07-08,70,0
2020-07-09,76,0
2020-07-10,84,1
2020-07-11,85,1
2020-07-12,87,1
2020-07-13,89,1
2020-07-14,102,1
2020-07-15,115,1
2020-07-16,122,1
2020-07-17,128,1
2020-07-18,134,1
2020-07-19,138,1
2020-07-20,145,1
2020-07-21,148,1
2020-07-22,151,1
2020-07-23,162,1
2020-07-24,168,1
2020-07-25,170,1
2020-07-26,171,1
2020-07-27,173,1
2020-07-28,177,1
2020-07-29,184,1
2020-07-30,187,1
2020-07-31,188,1
2020-08-01,194,1
2020-08-02,197,1
2020-08-03,200,1
2020-08-04,199,1
2020-08-05,197,1
2020-08-06,191,1
2020-08-07,195,1
2020-08-08,195,1
2020-08-09,200,1
2020-08-10,202,1
2020-08-11,203,1
2020-08-12,209,1
2020-08-13,212,1
2020-08-14,221,1
2020-08-15,221,1
2020-08-16,235,1
2020-08-17,238,1
2020-08-18,243,1
2020-08-19,246,1
2020-08-20,248,1
2020-08-21,256,1
2020-08-22,262,1
2020-08-23,263,1
2020-08-24,263,1
2020-08-25,267,1
2020-08-26,271,1
2020-08-27,275,1
2020-08-28,280,1
2020-08-29,285,1
2020-08-30,290,1
2020-08-31,293,1
2020-09-01,301,1
2020-09-02,307,1
2020-09-03,311,1
2020-09-04,314,1
2020-09-05,321,1
2020-09-06,326,1
2020-09-07,329,1
2020-09-08,336,1
2020-09-09,344,1
2020-09-10,353,1
2020-09-11,377,1
2020-09-12,392,1
2020-09-13,402,1
2020-09-14,418,2
2020-09-15,437,2
2020-09-16,453,2
2020-09-17,472,3
2020-09-18,489,3
2020-09-19,498,3
2020-09-20,513,3
2020-09-21,560,3
2020-09-22,572,3
2020-09-23,584,4
2020-09-24,595,4
2020-09-25,604,4
2020-09-26,626,4
2020-09-27,641,4
2020-09-28,668,4
2020-09-29,668,4
2020-09-30,700,5
2020-10-01,725,9
2020-10-02,745,9
