date,cases,deaths
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,2,0.0
2020-04-04,2,0.0
2020-04-05,2,0.0
2020-04-06,2,0.0
2020-04-07,3,0.0
2020-04-08,3,0.0
2020-04-09,3,0.0
2020-04-10,4,0.0
2020-04-11,3,0.0
2020-04-12,3,0.0
2020-04-13,3,0.0
2020-04-14,3,0.0
2020-04-15,4,0.0
2020-04-16,8,0.0
2020-04-17,10,0.0
2020-04-18,13,0.0
2020-04-19,13,0.0
2020-04-20,13,0.0
2020-04-21,14,0.0
2020-04-22,16,0.0
2020-04-23,19,0.0
2020-04-24,25,0.0
2020-04-25,25,0.0
2020-04-26,27,0.0
2020-04-27,27,0.0
2020-04-28,31,0.0
2020-04-29,34,0.0
2020-04-30,35,0.0
2020-05-01,36,0.0
2020-05-02,41,0.0
2020-05-03,43,0.0
2020-05-04,48,0.0
2020-05-05,53,0.0
2020-05-06,55,0.0
2020-05-07,56,0.0
2020-05-08,57,0.0
2020-05-09,64,0.0
2020-05-10,64,0.0
2020-05-11,67,0.0
2020-05-12,68,1.0
2020-05-13,69,1.0
2020-05-14,70,1.0
2020-05-15,69,1.0
2020-05-16,69,1.0
2020-05-17,69,1.0
2020-05-18,69,1.0
2020-05-19,69,1.0
2020-05-20,69,1.0
2020-05-21,69,1.0
2020-05-22,69,1.0
2020-05-23,69,1.0
2020-05-24,69,1.0
2020-05-25,69,1.0
2020-05-26,70,1.0
2020-05-27,71,1.0
2020-05-28,77,1.0
2020-05-29,77,1.0
2020-05-30,77,1.0
2020-05-31,77,1.0
2020-06-01,77,1.0
2020-06-02,77,1.0
2020-06-03,78,1.0
2020-06-04,78,1.0
2020-06-05,78,1.0
2020-06-06,79,1.0
2020-06-07,81,1.0
2020-06-08,81,1.0
2020-06-09,82,1.0
2020-06-10,84,1.0
2020-06-11,84,1.0
2020-06-12,84,1.0
2020-06-13,85,1.0
2020-06-14,85,1.0
2020-06-15,86,1.0
2020-06-16,89,1.0
2020-06-17,89,1.0
2020-06-18,94,1.0
2020-06-19,95,1.0
2020-06-20,98,1.0
2020-06-21,98,1.0
2020-06-22,100,1.0
2020-06-23,102,1.0
2020-06-24,102,1.0
2020-06-25,110,1.0
2020-06-26,110,1.0
2020-06-27,116,1.0
2020-06-28,116,1.0
2020-06-29,116,1.0
2020-06-30,120,1.0
2020-07-01,120,1.0
2020-07-02,122,1.0
2020-07-03,125,1.0
2020-07-04,128,1.0
2020-07-05,134,1.0
2020-07-06,135,1.0
2020-07-07,136,1.0
2020-07-08,139,1.0
2020-07-09,150,1.0
2020-07-10,154,1.0
2020-07-11,154,1.0
2020-07-12,154,1.0
2020-07-13,172,2.0
2020-07-14,185,2.0
2020-07-15,188,2.0
2020-07-16,192,2.0
2020-07-17,216,2.0
2020-07-18,216,2.0
2020-07-19,216,2.0
2020-07-20,231,2.0
2020-07-21,241,2.0
2020-07-22,256,3.0
