date,cases,deaths
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,2,0
2020-04-27,2,0
2020-04-28,2,0
2020-04-29,2,0
2020-04-30,2,0
2020-05-01,2,0
2020-05-02,2,0
2020-05-03,2,0
2020-05-04,2,0
2020-05-05,3,0
2020-05-06,2,0
2020-05-07,2,0
2020-05-08,2,0
2020-05-09,2,0
2020-05-10,2,0
2020-05-11,2,0
2020-05-12,2,0
2020-05-13,2,0
2020-05-14,2,0
2020-05-15,2,0
2020-05-16,2,0
2020-05-17,2,0
2020-05-18,2,0
2020-05-19,3,0
2020-05-20,3,0
2020-05-21,3,0
2020-05-22,4,0
2020-05-23,4,0
2020-05-24,4,0
2020-05-25,4,0
2020-05-26,4,0
2020-05-27,4,0
2020-05-28,4,0
2020-05-29,4,0
2020-05-30,4,0
2020-05-31,4,0
2020-06-01,4,0
2020-06-02,4,0
2020-06-03,5,0
2020-06-04,5,0
2020-06-05,5,0
2020-06-06,5,0
2020-06-07,5,0
2020-06-08,5,0
2020-06-09,5,0
2020-06-10,6,0
2020-06-11,6,0
2020-06-12,6,0
2020-06-13,6,0
2020-06-14,6,0
2020-06-15,6,0
2020-06-16,6,0
2020-06-17,7,0
2020-06-18,7,0
2020-06-19,6,0
2020-06-20,7,0
2020-06-21,7,0
2020-06-22,7,0
2020-06-23,8,0
2020-06-24,12,0
2020-06-25,15,0
2020-06-26,22,0
2020-06-27,21,0
2020-06-28,23,0
2020-06-29,25,0
2020-06-30,35,0
2020-07-01,40,0
2020-07-02,44,0
2020-07-03,45,0
2020-07-04,45,0
2020-07-05,46,0
2020-07-06,49,0
2020-07-07,48,0
2020-07-08,51,0
2020-07-09,53,0
2020-07-10,53,0
2020-07-11,53,0
2020-07-12,53,0
2020-07-13,53,0
2020-07-14,52,0
2020-07-15,52,0
2020-07-16,53,0
2020-07-17,53,0
2020-07-18,53,0
2020-07-19,57,0
2020-07-20,57,0
2020-07-21,59,0
2020-07-22,60,0
2020-07-23,61,0
2020-07-24,59,0
