date,cases,deaths
2020-03-30,1,0.0
2020-03-31,2,0.0
2020-04-01,2,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,3,0.0
2020-04-05,3,0.0
2020-04-06,3,0.0
2020-04-07,3,0.0
2020-04-08,3,0.0
2020-04-09,3,0.0
2020-04-10,3,0.0
2020-04-11,4,0.0
2020-04-12,4,0.0
2020-04-13,4,0.0
2020-04-14,5,0.0
2020-04-15,5,0.0
2020-04-16,5,0.0
2020-04-17,6,0.0
2020-04-18,8,0.0
2020-04-19,8,0.0
2020-04-20,10,0.0
2020-04-21,10,0.0
2020-04-22,13,0.0
2020-04-23,13,0.0
2020-04-24,13,0.0
2020-04-25,13,0.0
2020-04-26,13,0.0
2020-04-27,13,0.0
2020-04-28,13,0.0
2020-04-29,15,0.0
2020-04-30,15,0.0
2020-05-01,15,0.0
2020-05-02,15,0.0
2020-05-03,15,0.0
2020-05-04,15,0.0
2020-05-05,15,0.0
2020-05-06,15,0.0
2020-05-07,15,0.0
2020-05-08,16,0.0
2020-05-09,16,0.0
2020-05-10,16,0.0
2020-05-11,16,0.0
2020-05-12,16,0.0
2020-05-13,16,0.0
2020-05-14,16,0.0
2020-05-15,16,0.0
2020-05-16,16,0.0
2020-05-17,16,0.0
2020-05-18,17,0.0
2020-05-19,17,0.0
2020-05-20,17,0.0
2020-05-21,17,0.0
2020-05-22,17,0.0
2020-05-23,17,0.0
2020-05-24,17,0.0
2020-05-25,17,0.0
2020-05-26,17,0.0
2020-05-27,17,0.0
2020-05-28,17,0.0
2020-05-29,17,0.0
2020-05-30,17,0.0
2020-05-31,17,0.0
2020-06-01,18,0.0
2020-06-02,18,0.0
2020-06-03,18,0.0
2020-06-04,18,0.0
2020-06-05,18,0.0
2020-06-06,18,0.0
2020-06-07,18,0.0
2020-06-08,18,0.0
2020-06-09,18,0.0
2020-06-10,18,0.0
2020-06-11,18,0.0
2020-06-12,18,0.0
2020-06-13,18,0.0
2020-06-14,18,0.0
2020-06-15,18,0.0
2020-06-16,18,0.0
2020-06-17,19,0.0
2020-06-18,19,0.0
2020-06-19,20,0.0
2020-06-20,20,0.0
2020-06-21,21,0.0
2020-06-22,21,0.0
2020-06-23,22,1.0
2020-06-24,23,1.0
2020-06-25,24,1.0
2020-06-26,26,1.0
2020-06-27,27,1.0
2020-06-28,27,1.0
2020-06-29,28,1.0
2020-06-30,31,1.0
2020-07-01,33,1.0
2020-07-02,35,1.0
2020-07-03,39,1.0
2020-07-04,39,1.0
2020-07-05,42,1.0
2020-07-06,44,1.0
2020-07-07,48,1.0
2020-07-08,46,1.0
2020-07-09,47,1.0
2020-07-10,50,1.0
2020-07-11,51,1.0
2020-07-12,51,1.0
2020-07-13,54,1.0
2020-07-14,55,1.0
2020-07-15,60,1.0
2020-07-16,62,1.0
2020-07-17,67,1.0
2020-07-18,74,1.0
2020-07-19,76,1.0
2020-07-20,78,1.0
2020-07-21,80,1.0
2020-07-22,86,1.0
2020-07-23,87,1.0
2020-07-24,92,1.0
2020-07-25,93,1.0
2020-07-26,97,1.0
2020-07-27,101,1.0
2020-07-28,102,1.0
2020-07-29,103,1.0
2020-07-30,107,1.0
2020-07-31,111,1.0
2020-08-01,113,1.0
2020-08-02,116,1.0
2020-08-03,118,1.0
2020-08-04,123,1.0
2020-08-05,125,1.0
2020-08-06,128,1.0
2020-08-07,128,1.0
2020-08-08,128,1.0
2020-08-09,135,1.0
2020-08-10,137,1.0
2020-08-11,138,1.0
2020-08-12,140,1.0
2020-08-13,142,1.0
2020-08-14,147,1.0
2020-08-15,149,1.0
2020-08-16,154,1.0
2020-08-17,157,1.0
2020-08-18,161,1.0
2020-08-19,164,1.0
2020-08-20,166,1.0
2020-08-21,171,1.0
2020-08-22,172,1.0
2020-08-23,173,1.0
2020-08-24,181,1.0
2020-08-25,185,1.0
2020-08-26,194,1.0
2020-08-27,201,1.0
2020-08-28,205,1.0
2020-08-29,214,1.0
2020-08-30,217,1.0
2020-08-31,217,1.0
2020-09-01,224,1.0
2020-09-02,253,1.0
2020-09-03,257,1.0
2020-09-04,266,1.0
2020-09-05,275,1.0
2020-09-06,285,1.0
2020-09-07,291,1.0
2020-09-08,299,1.0
2020-09-09,318,1.0
2020-09-10,330,1.0
2020-09-11,340,2.0
2020-09-12,370,2.0
2020-09-13,379,2.0
2020-09-14,397,2.0
2020-09-15,427,2.0
2020-09-16,440,2.0
2020-09-17,468,2.0
2020-09-18,486,2.0
2020-09-19,500,2.0
2020-09-20,521,2.0
2020-09-21,529,2.0
2020-09-22,575,3.0
2020-09-23,593,3.0
2020-09-24,607,3.0
2020-09-25,620,3.0
2020-09-26,639,5.0
2020-09-27,657,5.0
2020-09-28,665,5.0
2020-09-29,665,5.0
2020-09-30,696,5.0
2020-10-01,711,5.0
2020-10-02,724,5.0
2020-10-03,754,5.0
2020-10-04,761,5.0
2020-10-05,783,5.0
2020-10-06,808,5.0
2020-10-07,818,5.0
2020-10-08,851,5.0
2020-10-09,890,6.0
2020-10-10,920,6.0
2020-10-11,920,6.0
2020-10-12,920,6.0
2020-10-13,920,6.0
2020-10-14,962,6.0
2020-10-15,973,6.0
2020-10-16,990,6.0
2020-10-17,1021,8.0
2020-10-18,1039,8.0
2020-10-19,1047,8.0
2020-10-20,1047,8.0
2020-10-21,1062,11.0
2020-10-22,1080,11.0
2020-10-23,1091,11.0
2020-10-24,1108,13.0
2020-10-25,1135,13.0
2020-10-26,1142,13.0
2020-10-27,1146,13.0
2020-10-28,1164,13.0
2020-10-29,1210,13.0
2020-10-30,1217,14.0
2020-10-31,1232,16.0
2020-11-01,1239,16.0
2020-11-02,1256,16.0
2020-11-03,1266,17.0
2020-11-04,1290,19.0
2020-11-05,1307,20.0
2020-11-06,1322,20.0
2020-11-07,1340,23.0
2020-11-08,1365,23.0
2020-11-09,1384,23.0
2020-11-10,1405,23.0
2020-11-11,1427,23.0
2020-11-12,1441,23.0
2020-11-13,1456,23.0
2020-11-14,1506,23.0
2020-11-15,1506,23.0
2020-11-16,1531,23.0
2020-11-17,1556,23.0
2020-11-18,1594,23.0
2020-11-19,1616,23.0
2020-11-20,1644,23.0
2020-11-21,1673,23.0
2020-11-22,1704,23.0
2020-11-23,1727,23.0
2020-11-24,1741,24.0
2020-11-25,1757,24.0
2020-11-26,1779,24.0
2020-11-27,1803,24.0
2020-11-28,1806,24.0
2020-11-29,1820,24.0
2020-11-30,1852,24.0
2020-12-01,1851,24.0
2020-12-02,1850,25.0
2020-12-03,1855,25.0
2020-12-04,1912,26.0
2020-12-05,1934,27.0
2020-12-06,1949,27.0
2020-12-07,1968,27.0
2020-12-08,1989,28.0
2020-12-09,2007,29.0
2020-12-10,2027,29.0
2020-12-11,2027,29.0
2020-12-12,2070,29.0
2020-12-13,2087,29.0
2020-12-14,2102,29.0
2020-12-15,2118,33.0
2020-12-16,2144,33.0
2020-12-17,2171,33.0
2020-12-18,2193,35.0
2020-12-19,2216,35.0
2020-12-20,2238,35.0
2020-12-21,2252,35.0
2020-12-22,2272,38.0
2020-12-23,2286,38.0
2020-12-24,2306,38.0
2020-12-25,2313,38.0
2020-12-26,2322,38.0
2020-12-27,2334,38.0
2020-12-28,2347,38.0
2020-12-29,2360,38.0
2020-12-30,2380,38.0
2020-12-31,2423,38.0
2021-01-01,2462,39.0
2021-01-02,2473,39.0
2021-01-03,2494,39.0
2021-01-04,2494,39.0
2021-01-05,2532,43.0
2021-01-06,2555,43.0
2021-01-07,2570,43.0
2021-01-08,2617,43.0
2021-01-09,2653,44.0
2021-01-10,2669,44.0
2021-01-11,2678,44.0
2021-01-12,2698,44.0
2021-01-13,2718,44.0
2021-01-14,2741,44.0
2021-01-15,2765,45.0
2021-01-16,2778,45.0
2021-01-17,2785,45.0
2021-01-18,2793,45.0
2021-01-19,2803,45.0
2021-01-20,2813,45.0
2021-01-21,2827,45.0
2021-01-22,2842,45.0
2021-01-23,2855,45.0
2021-01-24,2869,45.0
2021-01-25,2873,45.0
2021-01-26,2877,46.0
2021-01-27,2897,46.0
2021-01-28,2903,46.0
2021-01-29,2915,46.0
2021-01-30,2926,46.0
2021-01-31,2929,46.0
2021-02-01,2930,46.0
2021-02-02,2935,46.0
2021-02-03,2942,46.0
2021-02-04,2947,46.0
2021-02-05,2948,46.0
2021-02-06,2954,46.0
2021-02-07,2963,46.0
2021-02-08,2964,46.0
2021-02-09,2963,46.0
2021-02-10,2965,46.0
2021-02-11,2971,48.0
2021-02-12,2975,48.0
2021-02-13,2977,48.0
2021-02-14,2980,48.0
2021-02-15,2981,48.0
2021-02-16,2984,48.0
2021-02-17,2986,48.0
2021-02-18,2987,49.0
2021-02-19,2986,49.0
