date,cases,deaths
2020-07-25,1,0
2020-07-26,1,0
2020-07-27,1,0
2020-07-28,1,0
2020-07-29,2,0
2020-07-30,2,0
2020-07-31,2,0
2020-08-01,2,0
2020-08-02,2,0
2020-08-03,2,0
2020-08-04,3,0
2020-08-05,3,0
2020-08-06,3,0
2020-08-07,3,0
2020-08-08,3,0
2020-08-09,3,0
2020-08-10,3,0
2020-08-11,3,0
2020-08-12,3,0
2020-08-13,3,0
2020-08-14,3,0
2020-08-15,3,0
2020-08-16,3,0
2020-08-17,3,0
2020-08-18,3,0
2020-08-19,3,0
2020-08-20,3,0
2020-08-21,3,0
2020-08-22,3,0
2020-08-23,3,0
2020-08-24,3,0
2020-08-25,3,0
2020-08-26,3,0
2020-08-27,3,0
2020-08-28,3,0
2020-08-29,3,0
2020-08-30,3,0
2020-08-31,3,0
2020-09-01,3,0
2020-09-02,3,0
2020-09-03,3,0
2020-09-04,3,0
2020-09-05,3,0
2020-09-06,3,0
2020-09-07,3,0
2020-09-08,3,0
2020-09-09,3,0
2020-09-10,3,0
2020-09-11,3,0
2020-09-12,3,0
2020-09-13,3,0
2020-09-14,3,0
2020-09-15,3,0
2020-09-16,3,0
2020-09-17,3,0
2020-09-18,3,0
2020-09-19,3,0
2020-09-20,3,0
2020-09-21,4,0
2020-09-22,4,0
2020-09-23,5,0
2020-09-24,5,0
2020-09-25,5,0
2020-09-26,5,0
2020-09-27,5,0
2020-09-28,5,0
2020-09-29,5,0
2020-09-30,5,0
2020-10-01,6,0
2020-10-02,6,0
2020-10-03,6,0
2020-10-04,6,0
2020-10-05,6,0
2020-10-06,6,0
2020-10-07,12,0
2020-10-08,12,0
2020-10-09,11,0
2020-10-10,11,0
2020-10-11,11,0
2020-10-12,11,0
2020-10-13,11,0
2020-10-14,11,0
2020-10-15,13,0
2020-10-16,15,0
2020-10-17,15,0
2020-10-18,15,0
2020-10-19,16,0
2020-10-20,22,0
2020-10-21,23,1
2020-10-22,27,1
