date,cases,deaths
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,3,0
2020-04-03,5,0
2020-04-04,5,0
2020-04-05,5,0
2020-04-06,9,0
2020-04-07,9,0
2020-04-08,9,0
2020-04-09,9,0
2020-04-10,9,0
2020-04-11,9,0
2020-04-12,9,0
2020-04-13,9,0
2020-04-14,10,0
2020-04-15,10,0
2020-04-16,10,0
2020-04-17,10,0
2020-04-18,10,0
2020-04-19,10,0
2020-04-20,10,0
2020-04-21,10,0
2020-04-22,10,0
2020-04-23,10,0
2020-04-24,10,0
2020-04-25,10,0
2020-04-26,10,0
2020-04-27,10,0
2020-04-28,10,0
2020-04-29,10,0
2020-04-30,10,0
2020-05-01,10,0
2020-05-02,10,0
2020-05-03,10,0
2020-05-04,10,0
2020-05-05,10,0
2020-05-06,10,0
2020-05-07,10,0
2020-05-08,10,0
2020-05-09,10,0
2020-05-10,10,0
2020-05-11,10,0
2020-05-12,10,0
2020-05-13,10,0
2020-05-14,10,0
2020-05-15,10,0
2020-05-16,10,0
2020-05-17,10,0
2020-05-18,10,0
2020-05-19,10,0
2020-05-20,10,0
2020-05-21,10,0
2020-05-22,10,0
2020-05-23,10,0
2020-05-24,10,0
2020-05-25,10,0
2020-05-26,10,0
2020-05-27,10,0
2020-05-28,10,0
2020-05-29,10,0
2020-05-30,10,0
2020-05-31,10,0
2020-06-01,10,0
2020-06-02,10,0
2020-06-03,10,0
2020-06-04,10,0
2020-06-05,10,0
2020-06-06,10,0
2020-06-07,10,0
2020-06-08,10,0
2020-06-09,10,0
2020-06-10,10,0
2020-06-11,10,0
2020-06-12,10,0
2020-06-13,10,0
2020-06-14,10,0
2020-06-15,10,0
2020-06-16,10,0
2020-06-17,10,0
2020-06-18,10,0
2020-06-19,10,0
2020-06-20,10,0
2020-06-21,10,0
2020-06-22,10,0
2020-06-23,10,0
2020-06-24,10,0
2020-06-25,10,0
2020-06-26,10,0
2020-06-27,10,0
2020-06-28,10,0
2020-06-29,10,0
2020-06-30,10,0
2020-07-01,10,0
2020-07-02,10,0
2020-07-03,11,0
2020-07-04,11,0
2020-07-05,11,0
2020-07-06,11,0
2020-07-07,11,0
2020-07-08,11,0
2020-07-09,11,0
2020-07-10,11,0
2020-07-11,11,0
2020-07-12,12,0
2020-07-13,12,0
2020-07-14,13,0
2020-07-15,13,0
2020-07-16,14,0
2020-07-17,14,0
2020-07-18,14,0
2020-07-19,14,0
2020-07-20,15,0
2020-07-21,15,0
2020-07-22,15,0
2020-07-23,15,0
2020-07-24,15,0
2020-07-25,15,0
2020-07-26,15,0
2020-07-27,15,0
2020-07-28,15,0
2020-07-29,15,0
2020-07-30,15,0
2020-07-31,15,0
2020-08-01,15,0
2020-08-02,15,0
2020-08-03,15,0
2020-08-04,15,0
2020-08-05,15,0
2020-08-06,15,0
2020-08-07,15,0
2020-08-08,15,0
2020-08-09,15,0
2020-08-10,15,0
2020-08-11,15,0
2020-08-12,15,0
2020-08-13,15,0
2020-08-14,15,0
2020-08-15,15,0
2020-08-16,15,0
2020-08-17,15,0
2020-08-18,14,0
2020-08-19,15,0
2020-08-20,15,0
2020-08-21,15,0
2020-08-22,15,0
2020-08-23,15,0
2020-08-24,15,0
2020-08-25,15,0
2020-08-26,15,0
2020-08-27,15,0
2020-08-28,15,0
2020-08-29,15,0
2020-08-30,15,0
2020-08-31,15,0
2020-09-01,15,0
2020-09-02,15,0
2020-09-03,15,0
2020-09-04,15,0
2020-09-05,15,0
2020-09-06,15,0
2020-09-07,15,0
2020-09-08,15,0
2020-09-09,15,0
2020-09-10,15,0
2020-09-11,15,0
2020-09-12,15,0
2020-09-13,15,0
2020-09-14,15,0
2020-09-15,15,0
2020-09-16,15,0
2020-09-17,15,0
2020-09-18,15,0
2020-09-19,15,0
2020-09-20,15,0
2020-09-21,15,0
2020-09-22,15,0
2020-09-23,15,0
2020-09-24,15,0
2020-09-25,15,0
2020-09-26,15,0
2020-09-27,15,0
2020-09-28,15,0
2020-09-29,15,0
2020-09-30,17,0
2020-10-01,19,0
2020-10-02,19,0
2020-10-03,19,0
2020-10-04,19,0
2020-10-05,21,0
2020-10-06,24,0
