date,cases,deaths
2020-06-24,1,0.0
2020-06-25,1,0.0
2020-06-26,1,0.0
2020-06-27,1,0.0
2020-06-28,1,0.0
2020-06-29,1,0.0
2020-06-30,1,0.0
2020-07-01,1,0.0
2020-07-02,1,0.0
2020-07-03,2,0.0
2020-07-04,2,0.0
2020-07-05,2,0.0
2020-07-06,2,0.0
2020-07-07,2,0.0
2020-07-08,2,0.0
2020-07-09,2,0.0
2020-07-10,2,0.0
2020-07-11,2,0.0
2020-07-12,2,0.0
2020-07-13,2,0.0
2020-07-14,2,0.0
2020-07-15,2,0.0
2020-07-16,2,0.0
2020-07-17,2,0.0
2020-07-18,2,0.0
2020-07-19,2,0.0
2020-07-20,2,0.0
2020-07-21,2,0.0
2020-07-22,2,0.0
2020-07-23,2,0.0
2020-07-24,2,0.0
2020-07-25,2,0.0
2020-07-26,2,0.0
2020-07-27,2,0.0
2020-07-28,2,0.0
2020-07-29,2,0.0
2020-07-30,2,0.0
2020-07-31,2,0.0
2020-08-01,2,0.0
2020-08-02,2,0.0
2020-08-03,2,0.0
2020-08-04,2,0.0
2020-08-05,3,0.0
2020-08-06,3,0.0
2020-08-07,3,0.0
2020-08-08,3,0.0
2020-08-09,3,0.0
2020-08-10,3,0.0
2020-08-11,3,0.0
2020-08-12,3,0.0
2020-08-13,3,0.0
2020-08-14,3,0.0
2020-08-15,3,0.0
2020-08-16,3,0.0
2020-08-17,3,0.0
2020-08-18,2,0.0
2020-08-19,3,0.0
2020-08-20,3,0.0
2020-08-21,4,0.0
2020-08-22,4,0.0
2020-08-23,5,0.0
2020-08-24,5,0.0
2020-08-25,5,0.0
2020-08-26,5,0.0
2020-08-27,5,0.0
2020-08-28,6,0.0
2020-08-29,7,0.0
2020-08-30,9,0.0
2020-08-31,9,0.0
2020-09-01,10,0.0
2020-09-02,14,0.0
2020-09-03,17,0.0
2020-09-04,17,0.0
2020-09-05,19,0.0
2020-09-06,19,0.0
2020-09-07,19,0.0
2020-09-08,19,0.0
2020-09-09,19,0.0
2020-09-10,23,0.0
2020-09-11,33,0.0
2020-09-12,33,0.0
2020-09-13,33,0.0
2020-09-14,34,0.0
2020-09-15,34,0.0
2020-09-16,35,0.0
2020-09-17,35,0.0
2020-09-18,37,0.0
2020-09-19,37,0.0
2020-09-20,37,0.0
2020-09-21,39,1.0
2020-09-22,39,1.0
2020-09-23,40,1.0
2020-09-24,39,1.0
2020-09-25,42,1.0
2020-09-26,42,1.0
2020-09-27,42,1.0
2020-09-28,42,1.0
2020-09-29,42,1.0
2020-09-30,44,1.0
2020-10-01,45,1.0
2020-10-02,46,1.0
2020-10-03,47,1.0
2020-10-04,47,1.0
2020-10-05,47,1.0
2020-10-06,47,1.0
2020-10-07,47,1.0
2020-10-08,47,1.0
2020-10-09,47,1.0
2020-10-10,49,1.0
2020-10-11,49,1.0
2020-10-12,49,1.0
2020-10-13,51,1.0
2020-10-14,49,1.0
2020-10-15,50,1.0
2020-10-16,50,1.0
2020-10-17,51,1.0
2020-10-18,51,1.0
2020-10-19,52,1.0
2020-10-20,52,1.0
2020-10-21,53,1.0
2020-10-22,54,1.0
2020-10-23,55,1.0
2020-10-24,55,1.0
2020-10-25,55,1.0
2020-10-26,55,1.0
2020-10-27,58,1.0
2020-10-28,58,1.0
2020-10-29,59,1.0
2020-10-30,59,1.0
2020-10-31,59,1.0
2020-11-01,59,1.0
2020-11-02,59,1.0
2020-11-03,61,1.0
2020-11-04,64,1.0
2020-11-05,66,1.0
2020-11-06,67,1.0
2020-11-07,67,1.0
2020-11-08,68,1.0
2020-11-09,68,1.0
2020-11-10,68,1.0
2020-11-11,68,1.0
2020-11-12,68,1.0
2020-11-13,69,1.0
2020-11-14,70,1.0
2020-11-15,70,1.0
2020-11-16,72,1.0
2020-11-17,72,1.0
2020-11-18,75,1.0
2020-11-19,75,1.0
2020-11-20,75,2.0
2020-11-21,75,2.0
2020-11-22,75,2.0
2020-11-23,77,2.0
2020-11-24,77,2.0
2020-11-25,79,2.0
2020-11-26,81,2.0
2020-11-27,81,2.0
2020-11-28,81,2.0
2020-11-29,81,2.0
2020-11-30,81,2.0
2020-12-01,80,2.0
2020-12-02,80,2.0
2020-12-03,82,2.0
2020-12-04,84,2.0
2020-12-05,85,2.0
2020-12-06,85,2.0
2020-12-07,87,2.0
2020-12-08,88,2.0
2020-12-09,90,2.0
2020-12-10,89,2.0
2020-12-11,91,2.0
2020-12-12,91,2.0
2020-12-13,91,2.0
2020-12-14,91,2.0
2020-12-15,90,2.0
2020-12-16,91,2.0
2020-12-17,92,2.0
2020-12-18,98,2.0
2020-12-19,98,2.0
2020-12-20,98,2.0
2020-12-21,98,2.0
2020-12-22,98,2.0
2020-12-23,98,2.0
2020-12-24,98,2.0
2020-12-25,98,2.0
2020-12-26,98,2.0
2020-12-27,98,2.0
2020-12-28,98,2.0
2020-12-29,98,2.0
2020-12-30,99,2.0
2020-12-31,99,2.0
2021-01-01,99,2.0
2021-01-02,99,2.0
2021-01-03,99,2.0
2021-01-04,99,2.0
2021-01-05,99,2.0
2021-01-06,99,2.0
2021-01-07,100,2.0
