date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,4,0
2020-04-13,4,0
2020-04-14,5,0
2020-04-15,5,0
2020-04-16,6,0
2020-04-17,6,0
2020-04-18,7,0
2020-04-19,7,0
2020-04-20,7,0
2020-04-21,7,0
2020-04-22,7,0
2020-04-23,8,0
2020-04-24,9,0
2020-04-25,9,0
2020-04-26,11,0
2020-04-27,11,0
2020-04-28,11,0
2020-04-29,11,0
2020-04-30,12,0
2020-05-01,12,0
2020-05-02,12,0
2020-05-03,12,0
2020-05-04,13,0
2020-05-05,15,0
2020-05-06,15,0
2020-05-07,15,0
2020-05-08,15,0
2020-05-09,17,0
2020-05-10,17,0
2020-05-11,25,0
2020-05-12,25,0
2020-05-13,25,0
2020-05-14,27,0
2020-05-15,28,0
2020-05-16,29,0
2020-05-17,30,0
2020-05-18,30,0
2020-05-19,30,0
2020-05-20,30,0
2020-05-21,30,0
2020-05-22,35,0
2020-05-23,35,0
2020-05-24,35,0
2020-05-25,35,0
2020-05-26,35,0
2020-05-27,35,0
2020-05-28,35,0
2020-05-29,36,0
2020-05-30,36,0
2020-05-31,36,0
2020-06-01,36,0
2020-06-02,36,0
2020-06-03,36,0
2020-06-04,36,0
2020-06-05,37,0
2020-06-06,36,0
2020-06-07,37,0
2020-06-08,37,0
2020-06-09,37,0
