date,cases,deaths
2020-05-28,1,0
2020-05-29,2,0
2020-05-30,2,0
2020-05-31,2,0
2020-06-01,2,0
2020-06-02,2,0
2020-06-03,2,0
2020-06-04,3,0
2020-06-05,1,0
2020-06-06,3,0
2020-06-07,3,0
2020-06-08,3,0
2020-06-09,3,0
2020-06-10,4,0
2020-06-11,4,0
2020-06-12,5,0
2020-06-13,5,0
2020-06-14,5,0
2020-06-15,5,0
2020-06-16,5,0
2020-06-17,5,0
2020-06-18,5,0
2020-06-19,5,0
2020-06-20,5,0
2020-06-21,5,0
2020-06-22,7,0
2020-06-23,7,0
2020-06-24,7,0
2020-06-25,6,0
2020-06-26,6,0
2020-06-27,6,0
2020-06-28,6,0
2020-06-29,6,0
2020-06-30,6,0
2020-07-01,6,0
2020-07-02,6,0
2020-07-03,6,0
2020-07-04,9,0
2020-07-05,9,0
2020-07-06,9,0
2020-07-07,9,0
2020-07-08,9,0
2020-07-09,10,0
2020-07-10,10,0
2020-07-11,12,0
2020-07-12,12,0
2020-07-13,12,0
2020-07-14,12,0
2020-07-15,13,0
2020-07-16,13,0
2020-07-17,13,0
2020-07-18,13,0
2020-07-19,13,0
2020-07-20,13,0
2020-07-21,13,0
2020-07-22,13,0
2020-07-23,13,0
2020-07-24,13,0
2020-07-25,13,0
2020-07-26,13,0
2020-07-27,13,0
2020-07-28,13,0
2020-07-29,13,0
2020-07-30,13,0
2020-07-31,13,0
2020-08-01,13,0
2020-08-02,13,0
2020-08-03,13,0
2020-08-04,13,0
2020-08-05,13,0
2020-08-06,13,0
2020-08-07,13,0
2020-08-08,13,0
2020-08-09,14,0
2020-08-10,14,0
2020-08-11,14,0
2020-08-12,14,0
2020-08-13,14,0
2020-08-14,14,0
2020-08-15,14,0
2020-08-16,14,0
2020-08-17,14,0
2020-08-18,15,0
2020-08-19,17,0
2020-08-20,17,0
2020-08-21,17,0
2020-08-22,17,0
2020-08-23,17,0
2020-08-24,17,0
2020-08-25,19,0
2020-08-26,19,0
2020-08-27,18,0
2020-08-28,19,0
2020-08-29,19,0
2020-08-30,21,0
2020-08-31,22,0
2020-09-01,21,0
2020-09-02,21,0
2020-09-03,21,0
2020-09-04,20,0
2020-09-05,20,0
2020-09-06,20,0
2020-09-07,20,0
2020-09-08,21,0
2020-09-09,21,0
2020-09-10,21,0
2020-09-11,21,0
2020-09-12,21,0
2020-09-13,21,0
2020-09-14,21,0
2020-09-15,21,0
2020-09-16,21,0
2020-09-17,21,0
2020-09-18,21,0
2020-09-19,21,0
2020-09-20,21,0
2020-09-21,21,0
2020-09-22,21,0
2020-09-23,21,0
2020-09-24,21,0
2020-09-25,21,0
2020-09-26,21,0
2020-09-27,21,0
2020-09-28,22,0
2020-09-29,22,0
2020-09-30,22,0
2020-10-01,22,0
2020-10-02,22,0
2020-10-03,22,0
2020-10-04,22,0
2020-10-05,22,0
2020-10-06,22,0
2020-10-07,22,0
2020-10-08,22,0
2020-10-09,22,0
2020-10-10,22,0
2020-10-11,22,0
2020-10-12,22,0
2020-10-13,22,0
2020-10-14,23,0
2020-10-15,23,0
2020-10-16,23,0
2020-10-17,23,0
