date,cases,deaths
2020-03-05,1,0
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,2,0
2020-03-09,2,0
2020-03-10,2,0
2020-03-11,2,0
2020-03-12,2,0
2020-03-13,2,0
2020-03-14,4,0
2020-03-15,9,0
2020-03-16,9,0
2020-03-17,12,0
2020-03-18,12,0
2020-03-19,18,0
2020-03-20,22,0
2020-03-21,22,0
2020-03-22,25,0
2020-03-23,25,0
2020-03-24,44,0
2020-03-25,57,0
2020-03-26,67,0
2020-03-27,75,0
2020-03-28,93,0
2020-03-29,107,1
2020-03-30,121,3
2020-03-31,121,3
2020-04-01,163,4
2020-04-02,163,4
2020-04-03,229,4
2020-04-04,245,4
2020-04-05,264,4
2020-04-06,281,4
2020-04-07,309,5
2020-04-08,326,8
2020-04-09,363,10
2020-04-10,389,10
2020-04-11,389,11
2020-04-12,461,12
2020-04-13,500,12
2020-04-14,532,13
2020-04-15,549,14
2020-04-16,572,15
2020-04-17,588,16
2020-04-18,606,16
2020-04-19,637,18
2020-04-20,662,18
2020-04-21,684,18
2020-04-22,710,21
2020-04-23,736,22
2020-04-24,755,25
2020-04-25,791,27
2020-04-26,804,27
2020-04-27,820,28
2020-04-28,834,29
2020-04-29,848,30
2020-04-30,873,30
2020-05-01,921,33
2020-05-02,949,33
2020-05-03,977,33
2020-05-04,988,35
2020-05-05,1014,36
2020-05-06,1022,37
2020-05-07,1030,38
2020-05-08,1065,39
2020-05-09,1077,39
2020-05-10,1095,39
2020-05-11,1100,39
2020-05-12,1116,40
2020-05-13,1132,43
2020-05-14,1154,45
2020-05-15,1190,46
2020-05-16,1202,46
2020-05-17,1256,47
2020-05-18,1266,48
2020-05-19,1295,48
2020-05-20,1305,48
2020-05-21,1316,48
2020-05-22,1356,48
2020-05-23,1361,50
2020-05-24,1378,52
2020-05-25,1405,54
2020-05-26,1459,54
2020-05-27,1485,55
2020-05-28,1514,55
2020-05-29,1531,59
2020-05-30,1548,60
2020-05-31,1577,60
2020-06-01,1585,61
2020-06-02,1606,61
2020-06-03,1618,61
2020-06-04,1645,61
2020-06-05,1685,65
2020-06-06,1719,65
2020-06-07,1743,65
2020-06-08,1772,65
2020-06-09,1788,66
2020-06-10,1832,67
2020-06-11,1893,69
2020-06-12,1914,69
2020-06-13,1955,70
2020-06-14,1977,70
2020-06-15,2003,71
2020-06-16,2016,71
2020-06-17,2023,71
2020-06-18,2106,72
2020-06-19,2137,73
2020-06-20,2179,73
2020-06-21,2209,73
2020-06-22,2232,74
2020-06-23,2286,74
