date,cases,deaths
2020-03-09,2,0
2020-03-10,2,0
2020-03-11,4,0
2020-03-12,5,0
2020-03-13,7,0
2020-03-14,8,1
2020-03-15,11,1
2020-03-16,14,1
2020-03-17,22,1
2020-03-18,32,1
2020-03-19,43,1
2020-03-20,53,1
2020-03-21,92,2
2020-03-22,158,2
2020-03-23,238,2
2020-03-24,288,4
2020-03-25,313,6
2020-03-26,501,7
2020-03-27,634,10
2020-03-28,781,10
2020-03-29,870,10
2020-03-30,1030,15
2020-03-31,1140,21
2020-04-01,1301,24
2020-04-02,1458,38
2020-04-03,1743,48
2020-04-04,2065,54
2020-04-05,2354,58
2020-04-06,2545,62
2020-04-07,2770,71
2020-04-08,3038,86
2020-04-09,3248,98
2020-04-10,3496,107
2020-04-11,3651,115
2020-04-12,3785,123
2020-04-13,3875,127
2020-04-14,4003,145
2020-04-15,4122,167
2020-04-16,4299,190
2020-04-17,4414,206
2020-04-18,4528,221
2020-04-19,4669,226
2020-04-20,4787,230
2020-04-21,4947,244
2020-04-22,5086,251
2020-04-23,5238,260
2020-04-24,5368,273
2020-04-25,5521,287
2020-04-26,5671,291
2020-04-27,5759,302
2020-04-28,5826,305
2020-04-29,5907,317
2020-04-30,6033,341
2020-05-01,6132,355
2020-05-02,6198,372
2020-05-03,6290,382
2020-05-04,6378,385
2020-05-05,6490,398
2020-05-06,6552,417
2020-05-07,6649,428
2020-05-08,6752,429
2020-05-09,6815,439
2020-05-10,6894,443
2020-05-11,6988,445
2020-05-12,7041,460
2020-05-13,7090,466
2020-05-14,7164,480
2020-05-15,7224,495
2020-05-16,7297,503
2020-05-17,7339,508
2020-05-18,7408,513
2020-05-19,7470,520
2020-05-20,7541,531
2020-05-21,7637,537
2020-05-22,7695,543
2020-05-23,7720,551
2020-05-24,7800,556
2020-05-25,7865,556
2020-05-26,7911,559
2020-05-27,7961,575
2020-05-28,8012,578
2020-05-29,8100,587
2020-05-30,8159,596
2020-05-31,8219,597
2020-06-01,8249,599
2020-06-02,8289,608
2020-06-03,8332,619
2020-06-04,8379,627
2020-06-05,8428,630
2020-06-06,8454,636
2020-06-07,8478,641
2020-06-08,8498,640
2020-06-09,8512,650
2020-06-10,8563,652
2020-06-11,8627,661
2020-06-12,8660,662
2020-06-13,8720,667
2020-06-14,8740,672
2020-06-15,8761,678
2020-06-16,8786,687
2020-06-17,8804,688
2020-06-18,8830,692
2020-06-19,8876,694
2020-06-20,8925,694
2020-06-21,8942,695
2020-06-22,8965,696
2020-06-23,8998,700
2020-06-24,9008,702
2020-06-25,9123,797
2020-06-26,9150,802
2020-06-27,9175,803
2020-06-28,9201,805
2020-06-29,9203,805
2020-06-30,9233,807
2020-07-01,9256,808
2020-07-02,9307,814
2020-07-03,9344,817
2020-07-04,9368,820
2020-07-05,9404,821
2020-07-06,9416,820
2020-07-07,9442,822
2020-07-08,9458,825
2020-07-09,9469,831
2020-07-10,9502,832
2020-07-11,9535,834
2020-07-12,9580,834
2020-07-13,9613,838
2020-07-14,9640,840
2020-07-15,9706,845
2020-07-16,9727,846
2020-07-17,9737,847
2020-07-18,9750,847
2020-07-19,9760,848
2020-07-20,9773,849
2020-07-21,9784,851
2020-07-22,9820,851
2020-07-23,9848,851
2020-07-24,9891,854
2020-07-25,9922,854
2020-07-26,9957,854
2020-07-27,10008,855
2020-07-28,10047,856
2020-07-29,10085,858
2020-07-30,10104,858
2020-07-31,10157,858
2020-08-01,10193,858
2020-08-02,10217,858
2020-08-03,10237,858
2020-08-04,10270,858
2020-08-05,10289,856
2020-08-06,10324,856
2020-08-07,10364,856
2020-08-08,10381,856
2020-08-09,10399,856
2020-08-10,10423,856
2020-08-11,10445,856
2020-08-12,10465,856
2020-08-13,10504,856
2020-08-14,10531,857
2020-08-15,10556,858
2020-08-16,10571,858
2020-08-17,10593,858
2020-08-18,10606,858
2020-08-19,10620,857
2020-08-20,10629,859
2020-08-21,10641,860
2020-08-22,10669,860
2020-08-23,10685,860
2020-08-24,10690,860
2020-08-25,10703,860
2020-08-26,10720,856
2020-08-27,10739,856
2020-08-28,10761,857
2020-08-29,10792,858
2020-08-30,10802,858
2020-08-31,10826,858
2020-09-01,10855,858
2020-09-02,10872,859
2020-09-03,10910,859
2020-09-04,10954,859
2020-09-05,10982,859
2020-09-06,11018,859
2020-09-07,11043,859
2020-09-08,11058,860
2020-09-09,11094,860
2020-09-10,11135,860
2020-09-11,11194,863
2020-09-12,11250,863
2020-09-13,11282,863
2020-09-14,11309,863
2020-09-15,11360,864
2020-09-16,11379,864
2020-09-17,11450,864
2020-09-18,11495,864
2020-09-19,11530,864
2020-09-20,11592,865
2020-09-21,11636,865
2020-09-22,11676,865
2020-09-23,11697,865
2020-09-24,11774,867
2020-09-25,11818,867
2020-09-26,11870,867
2020-09-27,11919,867
2020-09-28,11948,867
2020-09-29,11984,868
2020-09-30,12041,868
2020-10-01,12117,868
2020-10-02,12173,868
2020-10-03,12263,868
2020-10-04,12316,868
2020-10-05,12372,868
2020-10-06,12478,868
2020-10-07,12559,868
2020-10-08,12680,867
2020-10-09,12753,867
2020-10-10,12851,867
2020-10-11,12903,867
2020-10-12,12943,867
2020-10-13,13028,867
2020-10-14,13112,868
2020-10-15,13191,868
2020-10-16,13272,868
2020-10-17,13358,868
2020-10-18,13403,868
2020-10-19,13487,868
2020-10-20,13531,869
2020-10-21,13569,870
2020-10-22,13647,870
2020-10-23,13712,870
2020-10-24,13784,870
2020-10-25,13839,870
2020-10-26,13899,870
2020-10-27,13984,872
2020-10-28,14088,872
2020-10-29,14203,873
2020-10-30,14334,873
