date,cases,deaths
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,5,0
2020-03-29,5,0
2020-03-30,5,0
2020-03-31,6,0
2020-04-01,10,1
2020-04-02,10,1
2020-04-03,10,1
2020-04-04,12,0
2020-04-05,12,0
2020-04-06,15,0
2020-04-07,16,0
2020-04-08,17,1
2020-04-09,18,1
2020-04-10,20,1
2020-04-11,21,1
2020-04-12,22,1
2020-04-13,23,1
2020-04-14,23,1
2020-04-15,24,1
2020-04-16,24,1
2020-04-17,25,1
2020-04-18,25,1
2020-04-19,25,1
2020-04-20,25,1
2020-04-21,25,1
2020-04-22,26,1
2020-04-23,26,1
2020-04-24,27,1
2020-04-25,27,1
2020-04-26,29,1
2020-04-27,30,1
2020-04-28,30,1
2020-04-29,31,1
2020-04-30,33,1
2020-05-01,35,1
2020-05-02,35,1
2020-05-03,36,2
2020-05-04,37,2
2020-05-05,37,2
2020-05-06,38,2
2020-05-07,40,2
2020-05-08,40,2
2020-05-09,40,2
2020-05-10,41,2
2020-05-11,41,2
2020-05-12,42,3
2020-05-13,43,3
2020-05-14,44,3
2020-05-15,45,3
2020-05-16,48,3
2020-05-17,48,3
2020-05-18,49,3
2020-05-19,49,3
2020-05-20,50,3
2020-05-21,58,3
2020-05-22,63,3
2020-05-23,72,3
2020-05-24,75,3
2020-05-25,75,3
2020-05-26,77,3
2020-05-27,78,3
2020-05-28,81,3
2020-05-29,82,3
2020-05-30,83,3
2020-05-31,84,3
2020-06-01,85,3
2020-06-02,86,3
2020-06-03,89,3
2020-06-04,95,4
2020-06-05,97,4
2020-06-06,99,4
2020-06-07,101,4
2020-06-08,101,4
2020-06-09,103,4
2020-06-10,105,4
2020-06-11,106,4
2020-06-12,106,4
2020-06-13,106,4
2020-06-14,107,4
2020-06-15,107,4
2020-06-16,108,4
2020-06-17,108,4
2020-06-18,110,4
2020-06-19,112,4
2020-06-20,115,4
2020-06-21,116,4
2020-06-22,116,4
2020-06-23,116,4
2020-06-24,118,4
2020-06-25,121,4
2020-06-26,122,4
2020-06-27,123,4
2020-06-28,123,4
2020-06-29,123,4
2020-06-30,127,4
2020-07-01,127,4
2020-07-02,127,4
2020-07-03,129,4
2020-07-04,131,4
2020-07-05,132,4
2020-07-06,134,4
2020-07-07,135,4
2020-07-08,149,4
2020-07-09,152,4
2020-07-10,155,4
2020-07-11,170,4
2020-07-12,170,4
2020-07-13,171,4
2020-07-14,180,4
2020-07-15,186,4
2020-07-16,191,4
2020-07-17,192,4
2020-07-18,194,4
2020-07-19,194,4
2020-07-20,194,4
2020-07-21,206,4
2020-07-22,210,4
2020-07-23,212,4
2020-07-24,212,4
2020-07-25,216,4
2020-07-26,218,5
2020-07-27,218,5
2020-07-28,219,5
2020-07-29,223,5
2020-07-30,224,5
2020-07-31,228,5
2020-08-01,231,5
2020-08-02,232,5
2020-08-03,234,5
2020-08-04,241,5
2020-08-05,241,5
2020-08-06,244,4
2020-08-07,249,4
2020-08-08,253,4
2020-08-09,253,4
2020-08-10,257,4
2020-08-11,258,4
2020-08-12,258,4
2020-08-13,260,4
2020-08-14,260,4
2020-08-15,263,4
2020-08-16,263,4
2020-08-17,265,4
2020-08-18,271,4
2020-08-19,272,4
2020-08-20,275,4
2020-08-21,278,4
2020-08-22,287,4
2020-08-23,289,4
2020-08-24,289,4
2020-08-25,305,4
2020-08-26,310,4
2020-08-27,340,4
2020-08-28,355,4
2020-08-29,373,4
2020-08-30,382,4
2020-08-31,394,4
2020-09-01,405,4
2020-09-02,428,4
2020-09-03,452,4
2020-09-04,464,4
2020-09-05,471,4
2020-09-06,475,4
2020-09-07,476,4
2020-09-08,477,4
2020-09-09,478,4
2020-09-10,492,4
2020-09-11,496,4
2020-09-12,507,4
2020-09-13,515,4
2020-09-14,516,4
2020-09-15,523,4
2020-09-16,527,4
2020-09-17,533,4
2020-09-18,535,4
2020-09-19,536,4
2020-09-20,537,4
2020-09-21,541,4
2020-09-22,547,4
2020-09-23,551,4
2020-09-24,554,4
2020-09-25,561,4
2020-09-26,568,4
2020-09-27,573,4
2020-09-28,578,4
2020-09-29,585,4
2020-09-30,590,4
2020-10-01,602,4
2020-10-02,604,4
2020-10-03,611,4
2020-10-04,629,4
2020-10-05,632,4
2020-10-06,636,4
2020-10-07,641,4
2020-10-08,656,4
2020-10-09,668,4
2020-10-10,682,4
2020-10-11,691,4
2020-10-12,695,4
2020-10-13,732,4
2020-10-14,748,4
2020-10-15,758,4
2020-10-16,771,4
2020-10-17,789,4
2020-10-18,796,4
2020-10-19,799,4
2020-10-20,805,4
2020-10-21,845,4
2020-10-22,858,4
2020-10-23,868,4
2020-10-24,877,4
2020-10-25,884,4
