date,cases,deaths
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,3,0
2020-03-23,3,0
2020-03-24,3,0
2020-03-25,4,0
2020-03-26,4,0
2020-03-27,4,0
2020-03-28,4,0
2020-03-29,4,0
2020-03-30,5,0
2020-03-31,5,0
2020-04-01,6,0
2020-04-02,6,0
2020-04-03,6,0
2020-04-04,7,0
2020-04-05,7,0
2020-04-06,7,0
2020-04-07,7,0
2020-04-08,7,0
2020-04-09,8,0
2020-04-10,10,0
2020-04-11,12,0
2020-04-12,12,0
2020-04-13,12,0
2020-04-14,12,0
2020-04-15,12,0
2020-04-16,12,0
2020-04-17,15,0
2020-04-18,22,0
2020-04-19,24,0
2020-04-20,26,0
2020-04-21,27,0
2020-04-22,28,0
2020-04-23,22,0
2020-04-24,28,0
2020-04-25,30,0
2020-04-26,30,0
2020-04-27,30,0
2020-04-28,32,0
2020-04-29,33,0
2020-04-30,34,0
2020-05-01,34,0
2020-05-02,34,0
2020-05-03,35,0
2020-05-04,35,0
2020-05-05,38,0
2020-05-06,38,0
2020-05-07,38,0
2020-05-08,39,0
2020-05-09,39,0
2020-05-10,40,0
2020-05-11,40,0
2020-05-12,40,0
2020-05-13,40,0
2020-05-14,40,0
2020-05-15,40,0
2020-05-16,40,0
2020-05-17,41,0
2020-05-18,41,0
2020-05-19,42,0
2020-05-20,42,0
2020-05-21,44,0
2020-05-22,44,0
2020-05-23,44,0
2020-05-24,44,0
2020-05-25,44,0
2020-05-26,44,0
2020-05-27,44,0
2020-05-28,44,0
2020-05-29,44,0
2020-05-30,44,0
2020-05-31,45,0
2020-06-01,45,0
2020-06-02,46,0
2020-06-03,46,0
2020-06-04,46,0
2020-06-05,46,0
2020-06-06,46,0
2020-06-07,46,0
2020-06-08,47,0
2020-06-09,48,0
2020-06-10,48,0
2020-06-11,48,0
2020-06-12,48,0
2020-06-13,48,0
2020-06-14,48,0
2020-06-15,48,0
2020-06-16,48,0
2020-06-17,48,0
2020-06-18,48,0
2020-06-19,48,0
2020-06-20,49,0
2020-06-21,49,0
2020-06-22,49,0
2020-06-23,49,0
2020-06-24,49,0
2020-06-25,49,0
2020-06-26,49,0
2020-06-27,50,0
2020-06-28,50,0
2020-06-29,50,0
2020-06-30,50,0
2020-07-01,50,0
2020-07-02,50,0
2020-07-03,54,0
2020-07-04,55,0
2020-07-05,56,0
2020-07-06,57,0
2020-07-07,57,0
2020-07-08,57,0
2020-07-09,59,0
2020-07-10,59,0
2020-07-11,59,0
2020-07-12,59,0
2020-07-13,59,0
2020-07-14,59,0
2020-07-15,59,0
2020-07-16,59,0
2020-07-17,59,0
2020-07-18,59,0
2020-07-19,59,0
2020-07-20,59,0
2020-07-21,59,0
2020-07-22,62,0
2020-07-23,62,0
2020-07-24,62,0
2020-07-25,62,0
2020-07-26,62,0
2020-07-27,63,0
2020-07-28,63,0
2020-07-29,63,0
2020-07-30,63,0
2020-07-31,63,0
2020-08-01,63,0
2020-08-02,63,0
2020-08-03,63,0
2020-08-04,63,0
2020-08-05,63,0
2020-08-06,55,0
2020-08-07,63,0
2020-08-08,63,0
2020-08-09,63,0
2020-08-10,63,0
2020-08-11,64,0
2020-08-12,64,0
2020-08-13,64,0
2020-08-14,65,0
2020-08-15,67,0
2020-08-16,67,0
2020-08-17,67,0
2020-08-18,71,0
2020-08-19,71,0
2020-08-20,93,1
2020-08-21,93,1
2020-08-22,106,1
2020-08-23,108,2
2020-08-24,108,2
2020-08-25,109,2
2020-08-26,113,3
2020-08-27,127,3
2020-08-28,134,3
2020-08-29,134,5
2020-08-30,136,6
2020-08-31,137,6
2020-09-01,139,6
2020-09-02,143,6
2020-09-03,149,7
2020-09-04,153,7
2020-09-05,155,7
2020-09-06,156,9
2020-09-07,157,9
2020-09-08,157,9
2020-09-09,157,9
2020-09-10,158,10
2020-09-11,158,10
2020-09-12,159,10
2020-09-13,159,11
2020-09-14,159,11
2020-09-15,161,12
2020-09-16,162,12
2020-09-17,162,12
2020-09-18,165,13
2020-09-19,166,13
2020-09-20,168,13
2020-09-21,168,13
2020-09-22,169,13
2020-09-23,169,13
2020-09-24,172,13
2020-09-25,172,13
2020-09-26,175,13
2020-09-27,175,13
2020-09-28,176,13
2020-09-29,176,13
2020-09-30,177,14
2020-10-01,177,14
2020-10-02,177,14
2020-10-03,178,14
2020-10-04,178,14
2020-10-05,179,14
2020-10-06,180,14
2020-10-07,182,14
2020-10-08,184,14
2020-10-09,185,14
2020-10-10,186,14
2020-10-11,186,14
2020-10-12,187,14
2020-10-13,189,14
2020-10-14,189,14
2020-10-15,190,14
2020-10-16,192,14
2020-10-17,198,14
2020-10-18,200,14
2020-10-19,202,14
2020-10-20,202,14
2020-10-21,202,14
2020-10-22,203,14
2020-10-23,203,14
2020-10-24,204,14
