date,cases,deaths
2020-03-29,2,0.0
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,2,0.0
2020-04-02,3,0.0
2020-04-03,3,0.0
2020-04-04,5,0.0
2020-04-05,8,0.0
2020-04-06,8,0.0
2020-04-07,8,0.0
2020-04-08,8,0.0
2020-04-09,6,0.0
2020-04-10,6,0.0
2020-04-11,6,0.0
2020-04-12,6,0.0
2020-04-13,6,0.0
2020-04-14,7,0.0
2020-04-15,7,0.0
2020-04-16,8,0.0
2020-04-17,8,0.0
2020-04-18,8,0.0
2020-04-19,8,0.0
2020-04-20,9,0.0
2020-04-21,9,0.0
2020-04-22,9,0.0
2020-04-23,9,0.0
2020-04-24,9,0.0
2020-04-25,9,0.0
2020-04-26,9,0.0
2020-04-27,9,0.0
2020-04-28,9,0.0
2020-04-29,9,0.0
2020-04-30,9,0.0
2020-05-01,9,0.0
2020-05-02,9,0.0
2020-05-03,9,0.0
2020-05-04,9,0.0
2020-05-05,9,0.0
2020-05-06,9,0.0
2020-05-07,10,0.0
2020-05-08,10,0.0
2020-05-09,11,0.0
2020-05-10,11,0.0
2020-05-11,11,0.0
2020-05-12,11,0.0
2020-05-13,11,0.0
2020-05-14,12,0.0
2020-05-15,12,0.0
2020-05-16,13,0.0
2020-05-17,16,0.0
2020-05-18,17,0.0
2020-05-19,18,0.0
2020-05-20,18,0.0
2020-05-21,18,0.0
2020-05-22,19,0.0
2020-05-23,19,0.0
2020-05-24,19,0.0
2020-05-25,19,0.0
2020-05-26,20,0.0
2020-05-27,20,0.0
2020-05-28,20,0.0
2020-05-29,20,0.0
2020-05-30,20,0.0
2020-05-31,20,0.0
2020-06-01,20,0.0
2020-06-02,20,0.0
2020-06-03,20,0.0
2020-06-04,20,0.0
2020-06-05,20,0.0
2020-06-06,20,0.0
2020-06-07,20,0.0
2020-06-08,20,0.0
2020-06-09,20,0.0
2020-06-10,20,0.0
2020-06-11,20,0.0
2020-06-12,20,0.0
2020-06-13,20,0.0
2020-06-14,20,0.0
2020-06-15,20,0.0
2020-06-16,20,0.0
2020-06-17,21,0.0
2020-06-18,21,0.0
2020-06-19,21,0.0
2020-06-20,22,0.0
2020-06-21,23,0.0
2020-06-22,23,0.0
2020-06-23,24,0.0
2020-06-24,24,0.0
2020-06-25,25,0.0
2020-06-26,26,0.0
2020-06-27,26,0.0
2020-06-28,29,0.0
2020-06-29,30,0.0
2020-06-30,30,0.0
2020-07-01,30,0.0
2020-07-02,30,0.0
