date,cases,deaths
2020-03-07,2,0.0
2020-03-08,2,0.0
2020-03-09,2,0.0
2020-03-10,2,0.0
2020-03-11,2,0.0
2020-03-12,3,0.0
2020-03-13,3,0.0
2020-03-14,3,0.0
2020-03-15,3,0.0
2020-03-16,5,0.0
2020-03-17,9,0.0
2020-03-18,14,0.0
2020-03-19,14,0.0
2020-03-20,24,0.0
2020-03-21,35,0.0
2020-03-22,41,0.0
2020-03-23,53,0.0
2020-03-24,60,0.0
2020-03-25,64,0.0
2020-03-26,73,0.0
2020-03-27,82,0.0
2020-03-28,96,0.0
2020-03-29,102,1.0
2020-03-30,105,1.0
2020-03-31,108,1.0
2020-04-01,122,1.0
2020-04-02,132,1.0
2020-04-03,132,1.0
2020-04-04,141,1.0
2020-04-05,148,1.0
2020-04-06,153,1.0
2020-04-07,163,3.0
2020-04-08,167,1.0
2020-04-09,172,1.0
2020-04-10,182,1.0
2020-04-11,187,1.0
2020-04-12,196,1.0
2020-04-13,201,1.0
2020-04-14,224,1.0
2020-04-15,227,1.0
2020-04-16,231,1.0
2020-04-17,236,1.0
2020-04-18,244,1.0
2020-04-19,251,1.0
2020-04-20,254,2.0
2020-04-21,257,2.0
2020-04-22,264,2.0
2020-04-23,265,2.0
2020-04-24,278,2.0
2020-04-25,320,3.0
2020-04-26,330,3.0
2020-04-27,336,3.0
2020-04-28,343,3.0
2020-04-29,346,3.0
2020-04-30,354,3.0
2020-05-01,358,3.0
2020-05-02,361,3.0
2020-05-03,363,3.0
2020-05-04,367,3.0
2020-05-05,368,3.0
2020-05-06,371,3.0
2020-05-07,374,3.0
2020-05-08,388,3.0
2020-05-09,399,3.0
2020-05-10,402,3.0
2020-05-11,403,3.0
2020-05-12,407,3.0
2020-05-13,410,3.0
2020-05-14,415,3.0
2020-05-15,421,3.0
2020-05-16,423,3.0
2020-05-17,428,3.0
2020-05-18,434,4.0
2020-05-19,436,4.0
2020-05-20,438,4.0
2020-05-21,440,4.0
2020-05-22,448,4.0
2020-05-23,452,4.0
2020-05-24,456,4.0
2020-05-25,461,4.0
2020-05-26,463,4.0
2020-05-27,465,4.0
2020-05-28,468,4.0
2020-05-29,473,4.0
2020-05-30,477,4.0
2020-05-31,480,4.0
2020-06-01,483,4.0
2020-06-02,484,4.0
2020-06-03,489,4.0
2020-06-04,493,4.0
2020-06-05,496,4.0
2020-06-06,501,4.0
2020-06-07,502,5.0
2020-06-08,504,5.0
2020-06-09,511,5.0
2020-06-10,511,5.0
2020-06-11,513,5.0
2020-06-12,514,5.0
2020-06-13,514,5.0
2020-06-14,515,5.0
2020-06-15,517,5.0
