date,cases,deaths
2020-05-19,1,0
2020-05-20,1,0
2020-05-21,1,0
2020-05-22,2,0
2020-05-23,2,0
2020-05-24,2,0
2020-05-25,2,0
2020-05-26,2,0
2020-05-27,2,0
2020-05-28,2,0
2020-05-29,2,0
2020-05-30,2,0
2020-05-31,2,0
2020-06-01,2,0
2020-06-02,2,0
2020-06-03,2,0
2020-06-04,2,0
2020-06-05,3,0
2020-06-06,3,0
2020-06-07,3,0
2020-06-08,4,0
2020-06-09,6,0
2020-06-10,6,0
2020-06-11,6,0
2020-06-12,6,0
2020-06-13,6,0
2020-06-14,6,0
2020-06-15,6,0
2020-06-16,6,0
2020-06-17,6,0
2020-06-18,6,0
2020-06-19,8,0
2020-06-20,7,0
2020-06-21,8,0
2020-06-22,8,0
2020-06-23,8,0
2020-06-24,8,0
2020-06-25,8,0
2020-06-26,8,0
2020-06-27,9,0
2020-06-28,9,0
2020-06-29,9,0
2020-06-30,12,0
2020-07-01,12,0
2020-07-02,13,0
2020-07-03,13,0
2020-07-04,14,0
2020-07-05,15,0
2020-07-06,18,0
2020-07-07,18,0
2020-07-08,19,0
2020-07-09,21,0
2020-07-10,23,0
2020-07-11,26,0
2020-07-12,26,0
2020-07-13,30,0
2020-07-14,31,0
2020-07-15,36,0
2020-07-16,38,0
2020-07-17,39,0
2020-07-18,41,0
2020-07-19,42,0
2020-07-20,45,0
2020-07-21,52,0
2020-07-22,53,0
2020-07-23,53,0
2020-07-24,54,0
2020-07-25,60,0
2020-07-26,61,0
2020-07-27,61,0
2020-07-28,72,0
2020-07-29,72,0
2020-07-30,75,0
2020-07-31,79,0
2020-08-01,81,0
2020-08-02,83,0
2020-08-03,84,0
2020-08-04,87,0
2020-08-05,88,0
2020-08-06,90,0
2020-08-07,90,0
2020-08-08,93,0
2020-08-09,97,0
2020-08-10,98,0
2020-08-11,99,0
2020-08-12,93,0
2020-08-13,95,0
2020-08-14,99,0
2020-08-15,106,0
2020-08-16,107,0
2020-08-17,108,0
2020-08-18,110,0
2020-08-19,113,0
2020-08-20,114,0
2020-08-21,116,0
2020-08-22,118,0
2020-08-23,119,0
2020-08-24,120,0
2020-08-25,120,0
2020-08-26,121,0
2020-08-27,127,0
2020-08-28,132,0
2020-08-29,133,0
2020-08-30,136,0
2020-08-31,138,0
2020-09-01,144,0
2020-09-02,146,0
2020-09-03,150,0
2020-09-04,152,0
2020-09-05,220,0
2020-09-06,222,0
2020-09-07,224,0
2020-09-08,224,0
2020-09-09,226,0
2020-09-10,227,0
2020-09-11,228,0
2020-09-12,258,0
2020-09-13,288,0
2020-09-14,306,0
2020-09-15,306,0
2020-09-16,307,0
2020-09-17,313,0
2020-09-18,317,0
2020-09-19,321,0
2020-09-20,324,0
2020-09-21,325,0
2020-09-22,326,0
2020-09-23,330,0
2020-09-24,331,0
2020-09-25,348,0
2020-09-26,355,0
2020-09-27,356,0
2020-09-28,359,0
2020-09-29,362,0
2020-09-30,362,0
2020-10-01,367,0
2020-10-02,370,0
2020-10-03,371,0
2020-10-04,372,0
2020-10-05,420,0
2020-10-06,431,0
2020-10-07,435,0
2020-10-08,443,0
2020-10-09,453,0
2020-10-10,457,0
2020-10-11,469,0
2020-10-12,470,0
2020-10-13,473,0
2020-10-14,475,0
2020-10-15,481,0
2020-10-16,490,0
2020-10-17,526,0
2020-10-18,570,0
2020-10-19,574,0
2020-10-20,579,0
2020-10-21,581,0
2020-10-22,588,0
