date,cases,deaths
2020-03-25,1,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,5,0
2020-04-05,6,0
2020-04-06,9,0
2020-04-07,10,0
2020-04-08,10,0
2020-04-09,11,0
2020-04-10,14,0
2020-04-11,15,0
2020-04-12,17,0
2020-04-13,19,0
2020-04-14,19,0
2020-04-15,19,0
2020-04-16,19,0
2020-04-17,22,0
2020-04-18,21,0
2020-04-19,22,0
2020-04-20,23,0
2020-04-21,23,0
2020-04-22,23,0
2020-04-23,26,0
2020-04-24,27,0
2020-04-25,30,0
2020-04-26,30,0
2020-04-27,31,0
2020-04-28,33,0
2020-04-29,32,0
2020-04-30,32,0
2020-05-01,34,0
2020-05-02,34,0
2020-05-03,36,0
2020-05-04,36,0
2020-05-05,44,0
2020-05-06,43,0
2020-05-07,50,0
2020-05-08,52,0
2020-05-09,55,0
2020-05-10,60,0
2020-05-11,60,0
