date,cases,deaths
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,3,0.0
2020-04-01,3,0.0
2020-04-02,4,0.0
2020-04-03,4,0.0
2020-04-04,5,0.0
2020-04-05,5,0.0
2020-04-06,5,0.0
2020-04-07,11,0.0
2020-04-08,12,0.0
2020-04-09,15,1.0
2020-04-10,18,1.0
2020-04-11,22,1.0
2020-04-12,23,1.0
2020-04-13,26,1.0
2020-04-14,31,1.0
2020-04-15,33,1.0
2020-04-16,42,1.0
2020-04-17,44,1.0
2020-04-18,49,1.0
2020-04-19,58,1.0
2020-04-20,57,1.0
2020-04-21,57,1.0
2020-04-22,60,1.0
2020-04-23,62,1.0
2020-04-24,67,1.0
2020-04-25,73,1.0
2020-04-26,73,1.0
2020-04-27,75,2.0
2020-04-28,76,3.0
2020-04-29,81,4.0
2020-04-30,87,4.0
2020-05-01,96,4.0
2020-05-02,98,5.0
2020-05-03,105,5.0
2020-05-04,113,5.0
2020-05-05,123,5.0
2020-05-06,128,5.0
2020-05-07,137,7.0
2020-05-08,139,7.0
2020-05-09,151,7.0
2020-05-10,153,7.0
2020-05-11,155,7.0
2020-05-12,156,7.0
2020-05-13,157,7.0
2020-05-14,161,7.0
2020-05-15,164,7.0
2020-05-16,167,7.0
2020-05-17,170,8.0
2020-05-18,171,8.0
2020-05-19,170,8.0
2020-05-20,174,8.0
2020-05-21,174,9.0
2020-05-22,176,9.0
2020-05-23,184,9.0
2020-05-24,190,9.0
2020-05-25,190,9.0
2020-05-26,190,9.0
2020-05-27,190,9.0
2020-05-28,190,9.0
2020-05-29,190,9.0
2020-05-30,197,9.0
2020-05-31,200,9.0
2020-06-01,201,9.0
2020-06-02,208,9.0
2020-06-03,210,9.0
2020-06-04,214,9.0
2020-06-05,215,9.0
2020-06-06,221,9.0
2020-06-07,228,9.0
2020-06-08,229,9.0
2020-06-09,230,9.0
2020-06-10,231,9.0
2020-06-11,233,9.0
2020-06-12,235,9.0
2020-06-13,244,9.0
2020-06-14,253,9.0
2020-06-15,252,9.0
2020-06-16,254,9.0
2020-06-17,256,9.0
2020-06-18,257,9.0
2020-06-19,262,9.0
2020-06-20,268,9.0
2020-06-21,273,9.0
2020-06-22,274,9.0
2020-06-23,276,9.0
2020-06-24,284,9.0
2020-06-25,290,9.0
2020-06-26,298,9.0
2020-06-27,302,9.0
2020-06-28,309,9.0
2020-06-29,313,9.0
2020-06-30,315,9.0
2020-07-01,317,9.0
2020-07-02,326,9.0
2020-07-03,329,9.0
2020-07-04,334,9.0
2020-07-05,334,9.0
2020-07-06,347,9.0
2020-07-07,352,9.0
2020-07-08,352,9.0
2020-07-09,363,9.0
2020-07-10,370,9.0
2020-07-11,377,9.0
2020-07-12,379,9.0
2020-07-13,388,9.0
2020-07-14,402,9.0
2020-07-15,409,9.0
2020-07-16,415,9.0
2020-07-17,420,9.0
2020-07-18,427,10.0
2020-07-19,440,10.0
2020-07-20,454,10.0
2020-07-21,463,10.0
2020-07-22,473,10.0
2020-07-23,477,10.0
2020-07-24,489,10.0
2020-07-25,503,10.0
2020-07-26,514,10.0
2020-07-27,526,10.0
2020-07-28,533,10.0
2020-07-29,549,10.0
2020-07-30,560,11.0
2020-07-31,564,11.0
2020-08-01,574,11.0
2020-08-02,579,11.0
2020-08-03,589,11.0
2020-08-04,596,12.0
2020-08-05,605,12.0
2020-08-06,616,12.0
2020-08-07,626,12.0
2020-08-08,632,13.0
2020-08-09,646,13.0
2020-08-10,656,13.0
2020-08-11,664,13.0
2020-08-12,672,13.0
2020-08-13,691,13.0
2020-08-14,709,13.0
2020-08-15,725,13.0
2020-08-16,736,13.0
2020-08-17,745,13.0
2020-08-18,753,14.0
2020-08-19,772,15.0
2020-08-20,792,16.0
2020-08-21,815,17.0
2020-08-22,830,17.0
2020-08-23,845,17.0
2020-08-24,854,17.0
2020-08-25,857,17.0
2020-08-26,871,17.0
2020-08-27,891,19.0
2020-08-28,912,19.0
2020-08-29,938,19.0
2020-08-30,948,19.0
2020-08-31,955,19.0
2020-09-01,968,20.0
2020-09-02,996,21.0
2020-09-03,1023,21.0
2020-09-04,1046,22.0
2020-09-05,1062,22.0
2020-09-06,1071,22.0
2020-09-07,1073,22.0
2020-09-08,1081,22.0
2020-09-09,1097,23.0
2020-09-10,1110,23.0
2020-09-11,1146,27.0
2020-09-12,1157,30.0
2020-09-13,1171,30.0
2020-09-14,1175,30.0
2020-09-15,1189,36.0
2020-09-16,1211,37.0
2020-09-17,1222,38.0
2020-09-18,1235,37.0
2020-09-19,1254,37.0
2020-09-20,1272,37.0
2020-09-21,1279,37.0
2020-09-22,1284,39.0
2020-09-23,1289,44.0
2020-09-24,1313,45.0
2020-09-25,1342,47.0
2020-09-26,1349,47.0
2020-09-27,1362,47.0
2020-09-28,1366,47.0
2020-09-29,1373,49.0
2020-09-30,1386,49.0
2020-10-01,1412,50.0
2020-10-02,1434,50.0
2020-10-03,1448,51.0
2020-10-04,1465,51.0
2020-10-05,1487,51.0
2020-10-06,1497,52.0
2020-10-07,1500,52.0
2020-10-08,1534,52.0
2020-10-09,1553,52.0
2020-10-10,1581,52.0
2020-10-11,1611,52.0
2020-10-12,1622,52.0
2020-10-13,1644,53.0
2020-10-14,1661,52.0
2020-10-15,1705,52.0
2020-10-16,1732,52.0
2020-10-17,1768,52.0
2020-10-18,1797,52.0
2020-10-19,1803,52.0
2020-10-20,1816,52.0
2020-10-21,1837,52.0
2020-10-22,1883,52.0
2020-10-23,1907,52.0
2020-10-24,1931,54.0
2020-10-25,1940,54.0
2020-10-26,1961,54.0
2020-10-27,1973,56.0
2020-10-28,1988,57.0
2020-10-29,2020,59.0
2020-10-30,2037,59.0
2020-10-31,2057,60.0
2020-11-01,2068,60.0
2020-11-02,2068,60.0
2020-11-03,2094,61.0
2020-11-04,2114,61.0
2020-11-05,2134,65.0
2020-11-06,2147,65.0
2020-11-07,2156,65.0
2020-11-08,2164,65.0
2020-11-09,2172,65.0
2020-11-10,2184,66.0
2020-11-11,2199,66.0
2020-11-12,2220,66.0
2020-11-13,2237,66.0
2020-11-14,2280,66.0
2020-11-15,2291,66.0
2020-11-16,2308,66.0
2020-11-17,2314,68.0
2020-11-18,2329,69.0
2020-11-19,2343,70.0
2020-11-20,2365,70.0
2020-11-21,2380,70.0
