date,cases,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,3,0
2020-03-28,4,0
2020-03-29,6,0
2020-03-30,7,0
2020-03-31,9,0
2020-04-01,9,0
2020-04-02,20,0
2020-04-03,22,0
2020-04-04,24,0
2020-04-05,37,0
2020-04-06,70,0
2020-04-07,76,0
2020-04-08,83,0
2020-04-09,83,0
2020-04-10,87,0
2020-04-11,88,0
2020-04-12,89,0
2020-04-13,92,0
2020-04-14,97,4
2020-04-15,98,4
2020-04-16,104,4
2020-04-17,108,4
2020-04-18,109,5
2020-04-19,110,5
2020-04-20,112,5
2020-04-21,114,5
2020-04-22,118,5
2020-04-23,123,5
2020-04-24,121,5
2020-04-25,126,5
2020-04-26,133,5
2020-04-27,133,5
2020-04-28,133,5
2020-04-29,136,5
2020-04-30,136,5
2020-05-01,137,5
2020-05-02,157,6
2020-05-03,159,6
2020-05-04,160,6
2020-05-05,160,8
2020-05-06,161,8
2020-05-07,164,8
2020-05-08,159,6
2020-05-09,164,6
2020-05-10,165,6
2020-05-11,167,6
2020-05-12,170,6
2020-05-13,171,6
2020-05-14,178,6
2020-05-15,181,6
2020-05-16,190,6
2020-05-17,196,6
2020-05-18,201,6
2020-05-19,202,6
2020-05-20,208,6
2020-05-21,222,6
2020-05-22,226,7
2020-05-23,239,7
2020-05-24,240,7
2020-05-25,247,7
2020-05-26,254,7
2020-05-27,258,8
2020-05-28,269,8
2020-05-29,277,8
2020-05-30,294,10
2020-05-31,306,10
2020-06-01,307,10
2020-06-02,309,10
2020-06-03,315,11
2020-06-04,321,12
2020-06-05,348,13
2020-06-06,462,13
2020-06-07,501,13
2020-06-08,513,13
2020-06-09,557,13
2020-06-10,610,14
2020-06-11,624,14
2020-06-12,646,15
2020-06-13,657,15
