date,cases,deaths
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,7,0
2020-04-03,9,0
2020-04-04,10,0
2020-04-05,10,0
2020-04-06,11,0
2020-04-07,12,0
2020-04-08,13,0
2020-04-09,15,0
2020-04-10,16,0
2020-04-11,18,0
2020-04-12,18,0
2020-04-13,18,0
2020-04-14,20,0
2020-04-15,20,0
2020-04-16,22,0
2020-04-17,22,0
2020-04-18,23,0
2020-04-19,23,0
2020-04-20,23,0
2020-04-21,25,0
2020-04-22,30,0
2020-04-23,34,0
2020-04-24,40,0
2020-04-25,46,0
2020-04-26,49,0
2020-04-27,61,0
2020-04-28,67,0
2020-04-29,72,0
2020-04-30,80,0
2020-05-01,82,0
2020-05-02,97,0
2020-05-03,97,0
2020-05-04,97,0
2020-05-05,101,0
2020-05-06,103,0
2020-05-07,113,0
2020-05-08,117,0
2020-05-09,120,0
2020-05-10,120,0
2020-05-11,123,0
2020-05-12,123,0
2020-05-13,128,0
2020-05-14,134,0
2020-05-15,140,0
2020-05-16,148,0
2020-05-17,149,0
2020-05-18,152,0
2020-05-19,160,0
2020-05-20,166,0
2020-05-21,173,0
2020-05-22,175,1
2020-05-23,187,1
2020-05-24,192,1
2020-05-25,197,1
2020-05-26,201,1
2020-05-27,214,1
2020-05-28,222,1
2020-05-29,232,1
2020-05-30,239,1
2020-05-31,240,1
2020-06-01,243,1
2020-06-02,248,1
2020-06-03,255,1
2020-06-04,259,1
2020-06-05,262,1
2020-06-06,271,1
2020-06-07,278,1
2020-06-08,278,1
2020-06-09,283,1
2020-06-10,288,1
2020-06-11,291,1
2020-06-12,296,1
2020-06-13,298,1
2020-06-14,299,1
2020-06-15,300,1
2020-06-16,303,2
2020-06-17,308,2
2020-06-18,312,2
2020-06-19,319,3
2020-06-20,323,3
2020-06-21,326,3
2020-06-22,326,3
2020-06-23,330,3
2020-06-24,332,3
2020-06-25,337,3
2020-06-26,341,3
2020-06-27,352,3
2020-06-28,357,3
2020-06-29,361,3
2020-06-30,371,3
2020-07-01,383,3
2020-07-02,388,3
2020-07-03,391,3
2020-07-04,389,3
2020-07-05,403,3
2020-07-06,407,3
2020-07-07,415,3
2020-07-08,423,3
2020-07-09,434,4
2020-07-10,444,5
2020-07-11,454,5
2020-07-12,458,4
2020-07-13,467,4
2020-07-14,480,4
2020-07-15,482,4
2020-07-16,491,4
2020-07-17,509,5
2020-07-18,531,5
2020-07-19,540,5
2020-07-20,547,5
2020-07-21,555,6
2020-07-22,577,7
2020-07-23,582,7
2020-07-24,589,7
2020-07-25,608,7
2020-07-26,616,7
2020-07-27,623,7
2020-07-28,632,7
2020-07-29,645,7
2020-07-30,648,8
2020-07-31,659,8
2020-08-01,666,8
2020-08-02,670,8
2020-08-03,674,8
2020-08-04,681,9
2020-08-05,693,9
2020-08-06,703,9
2020-08-07,710,9
2020-08-08,713,9
2020-08-09,717,9
2020-08-10,720,9
2020-08-11,726,11
2020-08-12,738,11
2020-08-13,761,11
2020-08-14,767,11
2020-08-15,773,11
2020-08-16,780,11
2020-08-17,782,11
2020-08-18,788,12
2020-08-19,791,12
2020-08-20,794,12
2020-08-21,797,12
2020-08-22,809,12
2020-08-23,819,12
2020-08-24,833,12
2020-08-25,839,12
2020-08-26,842,12
2020-08-27,853,12
2020-08-28,858,12
2020-08-29,865,12
2020-08-30,872,12
2020-08-31,874,12
2020-09-01,880,12
2020-09-02,883,13
2020-09-03,887,13
2020-09-04,897,13
2020-09-05,906,13
2020-09-06,911,13
2020-09-07,915,13
2020-09-08,920,13
2020-09-09,926,13
2020-09-10,929,13
2020-09-11,942,13
2020-09-12,963,13
2020-09-13,975,13
2020-09-14,982,13
2020-09-15,997,13
2020-09-16,1006,16
2020-09-17,1039,16
2020-09-18,1052,16
2020-09-19,1058,16
2020-09-20,1066,16
2020-09-21,1068,16
2020-09-22,1077,17
2020-09-23,1088,17
2020-09-24,1106,17
2020-09-25,1138,17
2020-09-26,1153,17
2020-09-27,1167,17
2020-09-28,1179,17
2020-09-29,1195,18
2020-09-30,1217,18
2020-10-01,1243,18
2020-10-02,1262,18
2020-10-03,1279,18
2020-10-04,1288,18
2020-10-05,1305,18
2020-10-06,1314,18
2020-10-07,1325,18
2020-10-08,1342,18
2020-10-09,1347,18
2020-10-10,1358,18
2020-10-11,1363,18
2020-10-12,1371,18
2020-10-13,1376,21
2020-10-14,1385,21
2020-10-15,1410,21
2020-10-16,1423,22
2020-10-17,1444,22
2020-10-18,1460,22
2020-10-19,1460,22
2020-10-20,1462,24
2020-10-21,1478,24
2020-10-22,1485,25
2020-10-23,1504,25
2020-10-24,1515,25
2020-10-25,1522,25
2020-10-26,1529,25
2020-10-27,1539,25
2020-10-28,1548,25
2020-10-29,1554,25
2020-10-30,1562,25
2020-10-31,1584,25
2020-11-01,1596,25
2020-11-02,1604,25
2020-11-03,1608,25
2020-11-04,1620,25
2020-11-05,1630,26
2020-11-06,1647,26
2020-11-07,1659,27
2020-11-08,1672,27
2020-11-09,1679,27
2020-11-10,1689,28
2020-11-11,1705,28
2020-11-12,1717,28
2020-11-13,1730,28
2020-11-14,1750,28
2020-11-15,1759,28
2020-11-16,1764,28
2020-11-17,1783,28
2020-11-18,1804,28
