date,cases,deaths
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,2,0
2020-03-20,2,0
2020-03-21,2,0
2020-03-22,6,0
2020-03-23,6,0
2020-03-24,9,0
2020-03-25,11,0
2020-03-26,13,0
2020-03-27,15,0
2020-03-28,18,0
2020-03-29,21,0
2020-03-30,25,0
2020-03-31,25,0
2020-04-01,25,0
2020-04-02,31,0
2020-04-03,36,0
2020-04-04,42,0
2020-04-05,44,0
2020-04-06,49,0
2020-04-07,54,0
2020-04-08,57,1
2020-04-09,60,1
2020-04-10,63,1
2020-04-11,71,1
2020-04-12,70,1
2020-04-13,70,1
2020-04-14,71,2
2020-04-15,70,2
2020-04-16,70,2
2020-04-17,75,2
2020-04-18,79,2
2020-04-19,80,2
2020-04-20,82,2
2020-04-21,86,2
2020-04-22,89,2
2020-04-23,90,2
2020-04-24,93,3
2020-04-25,97,3
2020-04-26,97,3
2020-04-27,97,3
2020-04-28,102,5
2020-04-29,105,5
2020-04-30,111,5
2020-05-01,112,5
2020-05-02,119,5
2020-05-03,119,5
2020-05-04,120,5
2020-05-05,128,5
2020-05-06,136,5
2020-05-07,137,5
2020-05-08,141,5
2020-05-09,147,5
2020-05-10,151,5
2020-05-11,153,5
2020-05-12,158,5
2020-05-13,162,5
2020-05-14,166,5
2020-05-15,170,5
2020-05-16,181,5
2020-05-17,188,5
2020-05-18,192,5
2020-05-19,199,5
2020-05-20,202,5
2020-05-21,206,5
2020-05-22,212,5
2020-05-23,219,5
2020-05-24,228,5
2020-05-25,230,5
2020-05-26,230,5
2020-05-27,236,5
2020-05-28,239,5
2020-05-29,244,5
2020-05-30,254,5
2020-05-31,259,5
2020-06-01,264,5
2020-06-02,273,5
2020-06-03,280,5
2020-06-04,289,5
2020-06-05,301,5
2020-06-06,325,5
2020-06-07,332,5
2020-06-08,348,5
2020-06-09,354,5
2020-06-10,363,5
2020-06-11,378,5
2020-06-12,404,5
2020-06-13,419,5
2020-06-14,441,5
2020-06-15,446,5
2020-06-16,454,5
2020-06-17,475,6
2020-06-18,479,6
2020-06-19,523,6
2020-06-20,529,7
2020-06-21,540,7
2020-06-22,569,7
2020-06-23,575,7
2020-06-24,593,7
2020-06-25,624,7
2020-06-26,672,7
2020-06-27,707,7
2020-06-28,731,7
2020-06-29,748,7
2020-06-30,764,7
2020-07-01,785,7
2020-07-02,817,7
2020-07-03,873,7
2020-07-04,869,7
2020-07-05,890,7
2020-07-06,918,7
2020-07-07,945,7
2020-07-08,956,9
2020-07-09,985,10
2020-07-10,1031,10
2020-07-11,1093,10
2020-07-12,1108,10
2020-07-13,1138,10
2020-07-14,1173,10
2020-07-15,1195,10
2020-07-16,1234,10
2020-07-17,1265,10
2020-07-18,1308,11
2020-07-19,1334,11
2020-07-20,1353,11
2020-07-21,1385,11
2020-07-22,1399,13
2020-07-23,1431,15
2020-07-24,1460,15
2020-07-25,1482,16
2020-07-26,1501,16
2020-07-27,1521,16
2020-07-28,1546,16
2020-07-29,1565,16
2020-07-30,1605,16
2020-07-31,1661,16
2020-08-01,1670,17
2020-08-02,1691,17
2020-08-03,1701,17
2020-08-04,1728,17
2020-08-05,1738,17
2020-08-06,1766,17
2020-08-07,1782,17
2020-08-08,1805,17
2020-08-09,1820,17
