date,cases,deaths
2020-03-20,3,0
2020-03-21,3,0
2020-03-22,5,0
2020-03-23,6,0
2020-03-24,11,0
2020-03-25,13,0
2020-03-26,16,0
2020-03-27,24,0
2020-03-28,27,0
2020-03-29,29,0
2020-03-30,30,0
2020-03-31,35,0
2020-04-01,37,0
2020-04-02,37,0
2020-04-03,44,0
2020-04-04,52,0
2020-04-05,52,0
2020-04-06,67,0
2020-04-07,73,0
2020-04-08,81,0
2020-04-09,98,1
2020-04-10,104,1
2020-04-11,141,2
2020-04-12,150,2
2020-04-13,151,2
2020-04-14,155,2
2020-04-15,161,2
2020-04-16,172,2
2020-04-17,175,3
2020-04-18,183,3
2020-04-19,187,3
2020-04-20,187,3
2020-04-21,189,3
2020-04-22,195,7
2020-04-23,199,8
2020-04-24,200,8
2020-04-25,208,13
2020-04-26,208,13
2020-04-27,207,13
2020-04-28,209,14
2020-04-29,217,15
2020-04-30,216,16
2020-05-01,219,17
2020-05-02,223,18
2020-05-03,226,18
2020-05-04,229,18
2020-05-05,230,18
2020-05-06,230,20
2020-05-07,239,30
2020-05-08,244,32
2020-05-09,248,33
2020-05-10,252,33
2020-05-11,253,33
2020-05-12,259,34
2020-05-13,258,34
2020-05-14,263,34
2020-05-15,266,34
2020-05-16,269,36
2020-05-17,275,36
2020-05-18,277,36
2020-05-19,283,37
2020-05-20,289,37
2020-05-21,291,39
2020-05-22,291,39
2020-05-23,294,39
2020-05-24,302,39
2020-05-25,309,39
2020-05-26,311,39
2020-05-27,314,40
2020-05-28,320,40
2020-05-29,326,40
2020-05-30,340,40
2020-05-31,348,40
2020-06-01,357,40
2020-06-02,360,40
2020-06-03,364,40
2020-06-04,370,40
2020-06-05,377,40
2020-06-06,388,40
2020-06-07,398,40
2020-06-08,405,40
2020-06-09,408,40
2020-06-10,415,40
2020-06-11,427,40
2020-06-12,440,40
2020-06-13,453,40
2020-06-14,474,40
2020-06-15,478,40
2020-06-16,479,40
2020-06-17,487,40
2020-06-18,497,40
2020-06-19,506,41
2020-06-20,522,41
2020-06-21,538,41
2020-06-22,548,41
2020-06-23,546,41
