date,cases,deaths
2020-03-03,1,0
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,6,0
2020-03-10,6,0
2020-03-11,7,0
2020-03-12,8,0
2020-03-13,9,0
2020-03-14,11,0
2020-03-15,14,0
2020-03-16,15,0
2020-03-17,17,0
2020-03-18,17,0
2020-03-19,25,0
2020-03-20,25,0
2020-03-21,49,0
2020-03-22,49,0
2020-03-23,52,0
2020-03-24,54,0
2020-03-25,73,0
2020-03-26,83,0
2020-03-27,121,0
2020-03-28,124,0
2020-03-29,146,0
2020-03-30,166,0
2020-03-31,192,0
2020-04-01,195,0
2020-04-02,234,0
2020-04-03,258,0
2020-04-04,283,0
2020-04-05,304,0
2020-04-06,314,0
2020-04-07,336,0
2020-04-08,363,0
2020-04-09,371,0
2020-04-10,391,0
2020-04-11,424,0
2020-04-12,470,0
2020-04-13,476,0
2020-04-14,501,0
2020-04-15,510,1
2020-04-16,552,1
2020-04-17,566,3
2020-04-18,579,4
2020-04-19,592,4
2020-04-20,599,4
2020-04-21,611,8
2020-04-22,616,9
2020-04-23,626,11
2020-04-24,633,11
2020-04-25,645,13
2020-04-26,663,13
2020-04-27,671,15
2020-04-28,769,15
2020-04-29,788,16
2020-04-30,821,17
2020-05-01,839,18
2020-05-02,870,19
2020-05-03,874,19
2020-05-04,891,20
2020-05-05,919,21
2020-05-06,937,21
2020-05-07,961,21
2020-05-08,986,22
2020-05-09,1013,23
2020-05-10,1030,23
2020-05-11,1048,23
2020-05-12,1061,23
2020-05-13,1080,25
2020-05-14,1107,27
2020-05-15,1143,28
2020-05-16,1176,28
2020-05-17,1212,28
2020-05-18,1239,28
2020-05-19,1272,30
2020-05-20,1307,30
2020-05-21,1345,32
2020-05-22,1389,32
2020-05-23,1434,32
2020-05-24,1448,32
2020-05-25,1471,33
2020-05-26,1478,34
2020-05-27,1523,36
2020-05-28,1604,36
2020-05-29,1661,38
2020-05-30,1713,39
2020-05-31,1747,39
2020-06-01,1773,39
2020-06-02,1878,40
2020-06-03,1901,40
2020-06-04,2051,40
2020-06-05,2133,40
2020-06-06,2186,40
2020-06-07,2255,40
2020-06-08,2325,41
2020-06-09,2440,42
2020-06-10,2541,42
2020-06-11,2723,42
2020-06-12,2783,41
2020-06-13,2984,41
2020-06-14,3021,42
2020-06-15,3111,43
2020-06-16,3235,43
2020-06-17,3373,43
2020-06-18,3507,43
2020-06-19,3579,43
2020-06-20,3833,44
2020-06-21,3884,44
2020-06-22,4086,44
2020-06-23,4211,44
2020-06-24,4333,44
2020-06-25,4469,44
2020-06-26,4668,46
2020-06-27,4797,46
2020-06-28,4838,47
2020-06-29,5001,47
2020-06-30,5178,47
2020-07-01,5379,48
2020-07-02,5590,49
2020-07-03,5771,49
2020-07-04,5810,49
2020-07-05,5980,49
2020-07-06,6265,49
2020-07-07,6416,52
2020-07-08,6605,58
2020-07-09,6826,61
2020-07-10,7065,61
2020-07-11,7294,66
2020-07-12,7490,71
2020-07-13,7682,74
2020-07-14,7901,76
2020-07-15,8096,83
2020-07-16,8273,86
2020-07-17,8421,89
2020-07-18,8668,89
2020-07-19,8800,89
2020-07-20,8974,93
2020-07-21,9143,99
2020-07-22,9313,99
2020-07-23,9521,99
2020-07-24,9714,104
2020-07-25,9914,105
2020-07-26,9991,108
2020-07-27,10240,108
2020-07-28,10377,115
2020-07-29,10558,116
2020-07-30,10767,126
2020-07-31,10913,128
2020-08-01,11037,132
2020-08-02,11113,133
2020-08-03,11305,133
2020-08-04,11364,134
2020-08-05,11492,137
2020-08-06,11711,152
2020-08-07,11848,164
2020-08-08,11983,168
2020-08-09,12028,170
2020-08-10,12121,170
2020-08-11,12239,175
2020-08-12,12360,178
2020-08-13,12452,179
2020-08-14,12561,181
2020-08-15,12645,182
2020-08-16,12714,182
2020-08-17,12829,185
2020-08-18,12919,187
2020-08-19,13104,187
2020-08-20,13313,188
2020-08-21,13362,188
2020-08-22,13522,188
2020-08-23,13719,188
2020-08-24,13992,193
2020-08-25,14097,196
2020-08-26,14378,197
2020-08-27,14618,198
2020-08-28,14703,199
2020-08-29,14902,199
2020-08-30,14950,199
2020-08-31,15173,201
2020-09-01,15330,202
2020-09-02,15451,202
2020-09-03,15555,203
2020-09-04,15716,210
2020-09-05,15742,210
2020-09-06,15742,210
2020-09-07,15819,210
2020-09-08,16031,212
2020-09-09,16075,213
2020-09-10,16189,213
2020-09-11,16334,213
2020-09-12,16396,213
2020-09-13,16396,213
2020-09-14,16577,220
2020-09-15,16655,220
2020-09-16,16764,221
2020-09-17,16872,223
2020-09-18,16915,227
2020-09-19,16939,228
2020-09-20,16939,228
2020-09-21,17141,235
2020-09-22,17172,236
2020-09-23,17310,240
2020-09-24,17563,240
2020-09-25,17654,243
2020-09-26,17654,243
2020-09-27,17654,243
2020-09-28,17863,243
2020-09-29,17870,244
2020-09-30,18040,258
2020-10-01,18125,259
2020-10-02,18290,259
2020-10-03,18290,259
2020-10-04,18290,259
2020-10-05,18603,259
2020-10-06,18603,260
2020-10-07,18921,260
2020-10-08,19056,260
2020-10-09,19187,260
2020-10-10,19187,260
2020-10-11,19187,260
2020-10-12,19432,262
2020-10-13,19528,264
2020-10-14,19634,264
2020-10-15,19772,261
2020-10-16,19881,261
2020-10-17,19881,261
2020-10-18,19881,261
2020-10-19,20149,265
2020-10-20,20226,266
2020-10-21,20250,267
2020-10-22,20403,268
2020-10-23,20551,269
2020-10-24,20551,270
2020-10-25,20708,270
2020-10-26,21024,270
2020-10-27,21214,270
2020-10-28,21400,270
2020-10-29,21604,270
2020-10-30,21788,272
2020-10-31,21788,275
2020-11-01,21826,275
2020-11-02,22246,275
2020-11-03,22246,277
2020-11-04,22617,277
2020-11-05,22914,277
2020-11-06,23139,279
2020-11-07,23139,280
2020-11-08,23139,280
2020-11-09,23223,280
2020-11-10,23822,280
2020-11-11,23822,278
2020-11-12,24180,278
2020-11-13,24740,279
2020-11-14,24740,280
2020-11-15,24740,280
2020-11-16,25460,280
2020-11-17,25741,280
2020-11-18,26068,282
2020-11-19,26068,283
2020-11-20,26587,285
2020-11-21,26587,285
