date,cases,deaths
2020-03-17,2,0
2020-03-18,2,0
2020-03-19,11,0
2020-03-20,13,0
2020-03-21,14,0
2020-03-22,15,0
2020-03-23,16,0
2020-03-24,18,0
2020-03-25,18,0
2020-03-26,23,0
2020-03-27,25,0
2020-03-28,28,0
2020-03-29,28,0
2020-03-30,29,0
2020-03-31,30,0
2020-04-01,32,0
2020-04-02,32,0
2020-04-03,32,0
2020-04-04,34,0
2020-04-05,37,0
2020-04-06,38,0
2020-04-07,39,0
2020-04-08,42,0
2020-04-09,46,0
2020-04-10,48,0
2020-04-11,49,0
2020-04-12,50,0
2020-04-13,51,0
2020-04-14,52,0
2020-04-15,52,0
2020-04-16,54,0
2020-04-17,57,0
2020-04-18,61,0
2020-04-19,63,0
2020-04-20,63,0
2020-04-21,63,0
2020-04-22,65,0
2020-04-23,67,0
2020-04-24,68,0
2020-04-25,74,0
2020-04-26,74,0
2020-04-27,74,0
2020-04-28,74,0
2020-04-29,76,0
2020-04-30,77,0
2020-05-01,79,0
2020-05-02,80,0
2020-05-03,80,0
2020-05-04,83,0
2020-05-05,92,0
2020-05-06,102,0
2020-05-07,102,0
2020-05-08,103,0
2020-05-09,103,0
2020-05-10,103,0
2020-05-11,104,0
2020-05-12,105,0
2020-05-13,106,0
2020-05-14,107,0
2020-05-15,109,0
2020-05-16,112,0
2020-05-17,113,0
2020-05-18,116,0
2020-05-19,117,0
2020-05-20,120,0
2020-05-21,126,0
2020-05-22,128,0
2020-05-23,129,0
2020-05-24,131,0
2020-05-25,131,0
2020-05-26,123,0
2020-05-27,123,0
2020-05-28,125,0
2020-05-29,126,0
2020-05-30,127,0
2020-05-31,128,0
2020-06-01,129,0
2020-06-02,130,0
2020-06-03,132,0
2020-06-04,134,0
2020-06-05,135,0
2020-06-06,141,0
2020-06-07,142,0
2020-06-08,143,0
2020-06-09,144,0
2020-06-10,147,0
2020-06-11,150,0
2020-06-12,156,0
2020-06-13,159,0
2020-06-14,165,0
2020-06-15,167,0
2020-06-16,176,0
