date,cases,deaths
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,1
2020-04-08,1,1
2020-04-09,1,1
2020-04-10,1,1
2020-04-11,1,1
2020-04-12,1,1
2020-04-13,1,1
2020-04-14,1,1
2020-04-15,1,1
2020-04-16,1,1
2020-04-17,1,1
2020-04-18,1,1
2020-04-19,1,1
2020-04-20,1,1
2020-04-21,1,1
2020-04-22,1,1
2020-04-23,1,1
2020-04-24,1,1
2020-04-25,1,1
2020-04-26,1,1
2020-04-27,1,1
2020-04-28,1,1
2020-04-29,1,1
2020-04-30,1,1
2020-05-01,1,1
2020-05-02,1,1
2020-05-03,1,1
2020-05-04,1,1
2020-05-05,1,1
2020-05-06,1,1
2020-05-07,1,1
2020-05-08,1,1
2020-05-09,1,1
2020-05-10,1,1
2020-05-11,1,1
2020-05-12,1,1
2020-05-13,1,1
2020-05-14,1,1
2020-05-15,1,1
2020-05-16,1,1
2020-05-17,1,1
2020-05-18,1,1
2020-05-19,1,1
2020-05-20,1,1
2020-05-21,5,1
2020-05-22,6,1
2020-05-23,6,1
2020-05-24,6,1
2020-05-25,6,1
2020-05-26,4,1
2020-05-27,4,1
2020-05-28,4,1
2020-05-29,4,1
2020-05-30,4,1
2020-05-31,4,1
2020-06-01,4,1
2020-06-02,4,1
2020-06-03,4,1
2020-06-04,4,1
2020-06-05,4,1
2020-06-06,4,1
2020-06-07,4,1
2020-06-08,4,1
2020-06-09,4,1
2020-06-10,4,1
2020-06-11,4,1
2020-06-12,4,1
2020-06-13,4,1
2020-06-14,4,1
2020-06-15,4,1
2020-06-16,4,1
2020-06-17,4,1
2020-06-18,4,1
2020-06-19,4,1
2020-06-20,4,1
2020-06-21,4,1
2020-06-22,4,1
2020-06-23,4,1
2020-06-24,4,1
2020-06-25,4,1
2020-06-26,4,1
2020-06-27,4,1
2020-06-28,4,1
2020-06-29,4,1
2020-06-30,4,1
2020-07-01,4,1
2020-07-02,4,1
2020-07-03,4,1
2020-07-04,4,1
2020-07-05,4,1
2020-07-06,4,1
2020-07-07,4,1
2020-07-08,4,1
2020-07-09,4,1
2020-07-10,4,1
2020-07-11,4,1
2020-07-12,4,1
2020-07-13,4,1
2020-07-14,5,1
2020-07-15,5,1
2020-07-16,7,1
2020-07-17,7,1
2020-07-18,7,1
2020-07-19,8,1
2020-07-20,9,1
2020-07-21,9,1
2020-07-22,10,1
2020-07-23,10,1
2020-07-24,11,1
2020-07-25,12,1
2020-07-26,14,1
2020-07-27,14,1
2020-07-28,14,1
2020-07-29,14,1
2020-07-30,15,1
2020-07-31,15,1
2020-08-01,15,1
2020-08-02,15,1
2020-08-03,16,1
2020-08-04,17,1
2020-08-05,17,1
2020-08-06,17,1
2020-08-07,17,1
2020-08-08,17,1
2020-08-09,17,1
2020-08-10,17,1
2020-08-11,17,1
2020-08-12,18,1
2020-08-13,18,1
2020-08-14,19,1
2020-08-15,23,1
2020-08-16,23,1
2020-08-17,23,1
2020-08-18,23,1
2020-08-19,23,1
2020-08-20,24,1
2020-08-21,24,1
2020-08-22,24,1
2020-08-23,24,1
2020-08-24,24,1
2020-08-25,24,1
2020-08-26,25,1
2020-08-27,25,1
2020-08-28,25,1
2020-08-29,26,1
2020-08-30,26,1
2020-08-31,27,1
2020-09-01,27,1
2020-09-02,27,1
2020-09-03,27,1
2020-09-04,27,1
2020-09-05,32,1
2020-09-06,32,1
2020-09-07,33,1
2020-09-08,34,1
2020-09-09,35,1
2020-09-10,35,1
2020-09-11,35,1
2020-09-12,40,1
2020-09-13,50,1
2020-09-14,52,1
2020-09-15,55,1
2020-09-16,63,1
2020-09-17,81,1
2020-09-18,84,1
2020-09-19,108,1
2020-09-20,116,1
2020-09-21,127,1
2020-09-22,127,1
2020-09-23,133,1
2020-09-24,145,1
2020-09-25,149,1
2020-09-26,150,1
2020-09-27,169,1
2020-09-28,174,1
2020-09-29,183,1
2020-09-30,186,2
2020-10-01,186,2
2020-10-02,201,2
2020-10-03,203,2
2020-10-04,209,2
2020-10-05,223,2
2020-10-06,229,2
2020-10-07,229,5
2020-10-08,231,5
2020-10-09,231,5
2020-10-10,236,5
2020-10-11,242,6
2020-10-12,249,7
2020-10-13,252,7
2020-10-14,257,7
2020-10-15,260,7
2020-10-16,259,7
2020-10-17,262,7
2020-10-18,264,7
2020-10-19,271,7
2020-10-20,270,7
2020-10-21,271,8
2020-10-22,272,8
2020-10-23,275,8
2020-10-24,275,8
2020-10-25,276,8
2020-10-26,277,8
2020-10-27,279,8
2020-10-28,281,8
2020-10-29,285,9
2020-10-30,285,9
2020-10-31,286,9
2020-11-01,292,9
2020-11-02,294,9
2020-11-03,294,9
2020-11-04,295,9
2020-11-05,297,9
2020-11-06,300,9
2020-11-07,304,9
