date,cases,deaths
2020-07-08,1,0.0
2020-07-12,1,0.0
2020-07-13,1,0.0
2020-07-14,1,0.0
2020-07-15,1,0.0
2020-07-16,1,0.0
2020-07-17,1,0.0
2020-07-18,1,0.0
2020-07-19,1,0.0
2020-07-20,1,0.0
2020-07-21,1,0.0
2020-07-22,1,0.0
2020-07-23,1,0.0
2020-07-24,1,0.0
2020-07-25,1,0.0
2020-07-26,1,0.0
2020-07-27,1,0.0
2020-07-28,2,0.0
2020-07-29,3,0.0
2020-07-30,3,0.0
2020-07-31,4,0.0
2020-08-01,4,0.0
2020-08-02,5,0.0
2020-08-03,6,0.0
2020-08-04,6,0.0
2020-08-05,7,0.0
2020-08-06,7,0.0
2020-08-07,7,0.0
2020-08-08,7,0.0
2020-08-09,7,0.0
2020-08-10,7,0.0
2020-08-11,7,0.0
2020-08-12,7,0.0
2020-08-13,7,0.0
2020-08-14,7,0.0
2020-08-15,7,0.0
2020-08-16,7,0.0
2020-08-17,7,0.0
2020-08-18,7,0.0
2020-08-19,7,0.0
2020-08-20,7,0.0
2020-08-21,7,0.0
2020-08-22,7,0.0
2020-08-23,7,0.0
2020-08-24,7,0.0
2020-08-25,9,0.0
2020-08-26,9,0.0
2020-08-27,9,0.0
2020-08-28,10,0.0
2020-08-29,10,0.0
2020-08-30,11,0.0
2020-08-31,11,0.0
2020-09-01,11,0.0
2020-09-02,11,0.0
2020-09-03,12,0.0
2020-09-04,12,0.0
2020-09-05,13,0.0
2020-09-06,13,0.0
2020-09-07,13,0.0
2020-09-08,12,0.0
2020-09-09,13,0.0
2020-09-10,13,0.0
2020-09-11,13,0.0
2020-09-12,14,0.0
2020-09-13,15,0.0
2020-09-14,15,0.0
2020-09-15,16,0.0
2020-09-16,20,0.0
2020-09-17,20,0.0
2020-09-18,20,0.0
2020-09-19,26,0.0
2020-09-20,30,0.0
2020-09-21,32,0.0
2020-09-22,38,0.0
2020-09-23,40,0.0
2020-09-24,44,0.0
2020-09-25,45,0.0
2020-09-26,56,0.0
2020-09-27,59,0.0
2020-09-28,59,0.0
2020-09-29,64,0.0
2020-09-30,69,0.0
2020-10-01,69,0.0
2020-10-02,73,0.0
2020-10-03,79,0.0
2020-10-04,79,0.0
2020-10-05,79,0.0
2020-10-06,78,0.0
2020-10-07,79,0.0
2020-10-08,87,0.0
2020-10-09,88,0.0
2020-10-10,88,0.0
2020-10-11,90,0.0
2020-10-12,93,0.0
2020-10-13,93,0.0
2020-10-14,101,0.0
2020-10-15,102,0.0
2020-10-16,103,0.0
2020-10-17,107,0.0
2020-10-18,110,0.0
2020-10-19,114,0.0
2020-10-20,116,0.0
2020-10-21,121,0.0
2020-10-22,123,0.0
2020-10-23,125,0.0
2020-10-24,126,0.0
2020-10-25,126,0.0
2020-10-26,127,0.0
2020-10-27,126,0.0
2020-10-28,128,1.0
2020-10-29,128,2.0
2020-10-30,128,3.0
2020-10-31,130,3.0
2020-11-01,131,3.0
2020-11-02,133,3.0
2020-11-03,133,3.0
2020-11-04,135,4.0
2020-11-05,135,4.0
2020-11-06,135,4.0
2020-11-07,135,4.0
2020-11-08,136,4.0
2020-11-09,138,4.0
2020-11-10,139,4.0
2020-11-11,140,4.0
2020-11-12,143,4.0
2020-11-13,144,4.0
2020-11-14,144,4.0
2020-11-15,144,4.0
2020-11-16,147,4.0
2020-11-17,147,5.0
2020-11-18,147,5.0
2020-11-19,149,5.0
2020-11-20,151,5.0
2020-11-21,151,5.0
2020-11-22,153,5.0
2020-11-23,153,5.0
2020-11-24,154,6.0
2020-11-25,155,6.0
2020-11-26,155,6.0
2020-11-27,155,6.0
2020-11-28,155,6.0
2020-11-29,158,6.0
2020-11-30,159,6.0
2020-12-01,159,6.0
2020-12-02,160,6.0
2020-12-03,163,6.0
2020-12-04,166,6.0
2020-12-05,166,6.0
2020-12-06,173,6.0
2020-12-07,173,6.0
2020-12-08,173,6.0
2020-12-09,189,6.0
2020-12-10,194,6.0
2020-12-11,195,6.0
2020-12-12,198,6.0
2020-12-13,198,6.0
2020-12-14,200,6.0
2020-12-15,200,6.0
2020-12-16,200,7.0
2020-12-17,201,7.0
2020-12-18,203,7.0
2020-12-19,204,7.0
2020-12-20,204,7.0
2020-12-21,204,7.0
2020-12-22,206,7.0
2020-12-23,206,7.0
2020-12-24,208,7.0
2020-12-25,208,7.0
2020-12-26,210,7.0
2020-12-27,211,7.0
2020-12-28,211,7.0
2020-12-29,211,7.0
2020-12-30,212,8.0
2020-12-31,214,8.0
2021-01-01,215,8.0
2021-01-02,215,8.0
2021-01-03,215,8.0
2021-01-04,215,8.0
2021-01-05,215,8.0
2021-01-06,216,8.0
2021-01-07,218,8.0
2021-01-08,219,8.0
2021-01-09,220,8.0
2021-01-10,220,8.0
2021-01-11,220,8.0
2021-01-12,218,8.0
2021-01-13,218,8.0
2021-01-14,218,8.0
2021-01-15,218,8.0
2021-01-16,218,8.0
2021-01-17,218,8.0
2021-01-18,218,8.0
2021-01-19,218,8.0
2021-01-20,218,8.0
2021-01-21,218,8.0
2021-01-22,218,8.0
2021-01-23,218,8.0
2021-01-24,218,8.0
2021-01-25,218,8.0
2021-01-26,218,8.0
2021-01-27,218,8.0
2021-01-28,218,8.0
2021-01-29,218,8.0
2021-01-30,218,8.0
