date,cases,deaths
2020-05-05,3,0
2020-05-06,3,0
2020-05-07,3,0
2020-05-08,3,0
2020-05-09,3,0
2020-05-10,3,0
2020-05-11,4,0
2020-05-12,4,0
2020-05-13,4,0
2020-05-14,4,0
2020-05-15,4,0
2020-05-16,4,0
2020-05-17,4,0
2020-05-18,4,0
2020-05-19,4,0
2020-05-20,4,0
2020-05-21,5,0
2020-05-22,5,0
2020-05-23,5,0
2020-05-24,5,0
2020-05-25,5,0
2020-05-26,5,0
2020-05-27,5,0
2020-05-28,5,0
2020-05-29,5,0
2020-05-30,5,0
2020-05-31,5,0
2020-06-01,5,0
2020-06-02,5,0
2020-06-03,5,0
2020-06-04,5,0
2020-06-05,6,0
2020-06-06,6,0
2020-06-07,6,0
2020-06-08,6,0
2020-06-09,6,0
2020-06-10,6,0
2020-06-11,6,0
2020-06-12,6,0
2020-06-13,6,0
2020-06-14,6,0
2020-06-15,6,0
2020-06-16,6,0
2020-06-17,6,0
2020-06-18,6,0
2020-06-19,6,0
2020-06-20,6,0
2020-06-21,6,0
2020-06-22,6,0
2020-06-23,6,0
2020-06-24,6,0
2020-06-25,6,0
2020-06-26,6,0
2020-06-27,6,0
2020-06-28,6,0
2020-06-29,6,0
2020-06-30,6,0
2020-07-01,7,0
2020-07-02,7,0
2020-07-03,7,0
2020-07-04,7,0
2020-07-05,7,0
2020-07-06,7,0
2020-07-07,7,0
2020-07-08,7,0
2020-07-09,7,0
2020-07-10,8,0
2020-07-11,9,0
2020-07-12,9,0
2020-07-13,9,0
2020-07-14,9,0
2020-07-15,9,0
2020-07-16,9,0
2020-07-17,12,0
2020-07-18,12,0
2020-07-19,12,0
2020-07-20,12,0
