date,cases,deaths
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,2,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,1,0
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,1,0
2020-05-01,1,0
2020-05-02,1,0
2020-05-03,1,0
2020-05-04,1,0
2020-05-05,1,0
2020-05-06,1,0
2020-05-07,1,0
2020-05-08,1,0
2020-05-09,1,0
2020-05-10,1,0
2020-05-11,1,0
2020-05-12,1,0
2020-05-13,1,0
2020-05-14,1,0
2020-05-15,1,0
2020-05-16,1,0
2020-05-17,1,0
2020-05-18,2,0
2020-05-19,2,0
2020-05-20,2,0
2020-05-21,2,0
2020-05-22,2,0
2020-05-23,2,0
2020-05-24,2,0
2020-05-25,2,0
2020-05-26,2,0
2020-05-27,2,0
2020-05-28,2,0
2020-05-29,2,0
2020-05-30,2,0
2020-05-31,2,0
2020-06-01,1,0
2020-06-02,1,0
2020-06-03,1,0
2020-06-04,1,0
2020-06-05,2,0
2020-06-06,2,0
2020-06-07,2,0
2020-06-08,2,0
2020-06-09,2,0
2020-06-10,2,0
2020-06-11,2,0
2020-06-12,3,0
2020-06-13,3,0
2020-06-14,3,0
2020-06-15,4,0
2020-06-16,4,0
2020-06-17,7,0
2020-06-18,10,0
2020-06-19,12,0
2020-06-20,12,0
2020-06-21,12,0
2020-06-22,19,0
2020-06-23,19,0
2020-06-24,20,0
2020-06-25,20,0
2020-06-26,20,0
2020-06-27,21,0
2020-06-28,21,0
2020-06-29,24,0
2020-06-30,24,0
2020-07-01,24,0
2020-07-02,23,0
2020-07-03,25,0
2020-07-04,25,0
2020-07-05,25,0
2020-07-06,25,0
2020-07-07,26,0
2020-07-08,29,0
2020-07-09,32,0
2020-07-10,33,0
2020-07-11,36,0
2020-07-12,37,0
2020-07-13,37,0
2020-07-14,38,0
2020-07-15,39,0
2020-07-16,41,0
2020-07-17,44,0
2020-07-18,45,0
2020-07-19,46,0
2020-07-20,46,0
2020-07-21,46,0
2020-07-22,47,0
2020-07-23,47,0
2020-07-24,48,0
2020-07-25,49,0
2020-07-26,51,0
2020-07-27,51,0
2020-07-28,54,0
2020-07-29,56,0
2020-07-30,57,0
2020-07-31,57,0
2020-08-01,58,0
2020-08-02,58,0
2020-08-03,59,0
2020-08-04,59,1
2020-08-05,59,1
2020-08-06,60,1
2020-08-07,63,1
2020-08-08,79,1
2020-08-09,83,1
2020-08-10,83,1
2020-08-11,86,1
2020-08-12,89,1
2020-08-13,91,1
2020-08-14,93,1
2020-08-15,93,1
2020-08-16,97,2
2020-08-17,97,2
