date,cases,deaths
2020-04-10,0,1
2020-05-27,3,3
2020-05-28,3,3
2020-05-29,3,3
2020-05-30,3,3
2020-05-31,3,3
2020-06-01,3,3
2020-06-02,3,3
2020-06-03,3,3
2020-06-04,3,3
2020-06-05,3,3
2020-06-06,3,3
2020-06-07,3,3
2020-06-08,3,3
2020-06-09,3,3
2020-06-10,3,3
2020-06-11,3,3
2020-06-12,3,3
2020-06-13,3,3
2020-06-14,3,3
2020-06-15,3,3
2020-06-16,3,3
2020-06-17,4,4
2020-06-18,6,6
2020-06-19,6,6
2020-06-20,6,6
2020-06-21,6,6
2020-06-22,6,6
2020-06-23,6,6
2020-06-24,8,8
2020-06-25,9,9
2020-06-26,9,9
2020-06-27,9,9
2020-06-28,9,9
2020-06-29,9,9
2020-06-30,9,9
2020-07-01,9,9
2020-07-02,9,9
2020-07-03,9,9
2020-07-04,9,9
2020-07-05,9,9
2020-07-06,9,9
2020-07-07,5,5
2020-07-08,4,4
2020-07-09,4,4
2020-07-10,4,4
2020-07-11,4,4
2020-07-12,4,4
2020-07-13,4,4
2020-07-14,4,4
2020-07-15,4,4
2020-07-16,4,4
2020-07-17,4,4
2020-07-18,4,4
2020-07-19,4,4
2020-07-20,4,4
2020-07-21,4,4
2020-07-22,4,4
2020-07-23,4,4
2020-07-24,4,4
2020-07-25,4,4
2020-07-26,4,4
2020-07-27,4,4
2020-07-28,4,4
2020-07-29,4,4
