date,cases,deaths
2020-03-11,1,0
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,2,0
2020-03-18,2,0
2020-03-19,3,0
2020-03-20,3,0
2020-03-21,3,0
2020-03-22,3,0
2020-03-23,3,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,4,0
2020-03-27,4,0
2020-03-28,7,0
2020-03-29,7,0
2020-03-30,9,0
2020-03-31,9,0
2020-04-01,12,0
2020-04-02,13,0
2020-04-03,14,0
2020-04-04,14,0
2020-04-05,14,0
2020-04-06,16,0
2020-04-07,16,0
2020-04-08,16,0
2020-04-09,19,0
2020-04-10,19,0
2020-04-11,20,0
2020-04-12,20,1
2020-04-13,20,1
2020-04-14,20,1
2020-04-15,20,1
2020-04-16,20,1
2020-04-17,20,1
2020-04-18,20,1
2020-04-19,20,1
2020-04-20,20,1
2020-04-21,20,1
2020-04-22,21,1
2020-04-23,21,1
2020-04-24,21,1
2020-04-25,21,1
2020-04-26,21,1
2020-04-27,21,1
2020-04-28,21,1
2020-04-29,21,1
2020-04-30,21,1
2020-05-01,21,1
2020-05-02,25,1
2020-05-03,25,1
