date,cases,deaths
2020-03-20,1,0.0
2020-03-21,1,0.0
2020-03-22,2,0.0
2020-03-23,3,0.0
2020-03-24,3,0.0
2020-03-25,3,0.0
2020-03-26,3,0.0
2020-03-27,5,0.0
2020-03-28,6,0.0
2020-03-29,6,0.0
2020-03-30,6,0.0
2020-03-31,6,0.0
2020-04-01,6,0.0
2020-04-02,8,0.0
2020-04-03,9,0.0
2020-04-04,11,0.0
2020-04-05,12,0.0
2020-04-06,15,0.0
2020-04-07,18,0.0
2020-04-08,20,0.0
2020-04-09,19,0.0
2020-04-10,19,0.0
2020-04-11,24,0.0
2020-04-12,26,2.0
2020-04-13,31,2.0
2020-04-14,32,2.0
2020-04-15,36,3.0
2020-04-16,45,3.0
2020-04-17,54,4.0
2020-04-18,64,4.0
2020-04-19,66,5.0
2020-04-20,68,6.0
2020-04-21,70,6.0
2020-04-22,80,6.0
2020-04-23,98,7.0
2020-04-24,103,8.0
2020-04-25,107,10.0
2020-04-26,110,10.0
2020-04-27,110,11.0
2020-04-28,113,11.0
2020-04-29,116,15.0
2020-04-30,126,15.0
2020-05-01,136,15.0
2020-05-02,142,15.0
2020-05-03,146,15.0
2020-05-04,149,16.0
2020-05-05,160,17.0
2020-05-06,165,17.0
2020-05-07,169,18.0
2020-05-08,172,18.0
2020-05-09,190,18.0
2020-05-10,192,18.0
2020-05-11,193,19.0
2020-05-12,199,24.0
2020-05-13,208,26.0
2020-05-14,212,26.0
2020-05-15,223,26.0
2020-05-16,229,26.0
2020-05-17,232,26.0
2020-05-18,232,26.0
2020-05-19,244,26.0
2020-05-20,250,28.0
2020-05-21,263,28.0
2020-05-22,272,30.0
2020-05-23,274,31.0
2020-05-24,277,32.0
2020-05-25,281,32.0
2020-05-26,283,32.0
2020-05-27,316,33.0
2020-05-28,324,34.0
2020-05-29,330,34.0
2020-05-30,338,34.0
2020-05-31,339,34.0
2020-06-01,340,35.0
2020-06-02,340,35.0
2020-06-03,345,37.0
2020-06-04,347,38.0
2020-06-05,369,38.0
2020-06-06,372,38.0
2020-06-07,372,38.0
2020-06-08,374,38.0
2020-06-09,375,38.0
2020-06-10,377,38.0
2020-06-11,382,38.0
2020-06-12,381,38.0
2020-06-13,382,39.0
2020-06-14,385,39.0
2020-06-15,390,39.0
2020-06-16,392,41.0
2020-06-17,397,41.0
2020-06-18,402,41.0
2020-06-19,406,42.0
2020-06-20,402,42.0
2020-06-21,407,42.0
2020-06-22,410,42.0
2020-06-23,411,42.0
2020-06-24,412,42.0
2020-06-25,413,42.0
2020-06-26,412,43.0
2020-06-27,412,43.0
2020-06-28,415,43.0
2020-06-29,419,43.0
2020-06-30,420,43.0
2020-07-01,421,44.0
2020-07-02,421,44.0
2020-07-03,425,44.0
2020-07-04,431,44.0
2020-07-05,433,44.0
2020-07-06,435,44.0
2020-07-07,436,44.0
2020-07-08,437,44.0
2020-07-09,438,44.0
2020-07-10,445,44.0
2020-07-11,447,44.0
2020-07-12,448,44.0
2020-07-13,452,44.0
2020-07-14,452,44.0
2020-07-15,453,44.0
2020-07-16,460,44.0
2020-07-17,462,44.0
2020-07-18,464,44.0
2020-07-19,473,44.0
2020-07-20,478,44.0
2020-07-21,480,44.0
2020-07-22,489,44.0
2020-07-23,497,44.0
2020-07-24,503,44.0
2020-07-25,507,44.0
2020-07-26,510,44.0
2020-07-27,514,44.0
2020-07-28,517,44.0
2020-07-29,525,44.0
2020-07-30,530,44.0
2020-07-31,534,45.0
2020-08-01,537,45.0
2020-08-02,538,45.0
2020-08-03,539,45.0
2020-08-04,544,45.0
2020-08-05,551,45.0
2020-08-06,550,45.0
2020-08-07,559,46.0
2020-08-08,562,46.0
2020-08-09,569,46.0
2020-08-10,574,46.0
2020-08-11,576,46.0
2020-08-12,577,46.0
2020-08-13,580,46.0
2020-08-14,582,46.0
2020-08-15,583,46.0
2020-08-16,588,46.0
2020-08-17,588,46.0
2020-08-18,588,46.0
2020-08-19,590,46.0
2020-08-20,591,46.0
2020-08-21,592,46.0
2020-08-22,592,46.0
2020-08-23,594,46.0
2020-08-24,595,46.0
2020-08-25,595,46.0
2020-08-26,595,46.0
2020-08-27,598,46.0
2020-08-28,602,46.0
2020-08-29,605,46.0
2020-08-30,609,46.0
2020-08-31,611,46.0
2020-09-01,612,46.0
2020-09-02,614,46.0
2020-09-03,616,46.0
2020-09-04,619,46.0
2020-09-05,620,46.0
2020-09-06,622,46.0
2020-09-07,622,46.0
2020-09-08,622,46.0
2020-09-09,623,46.0
2020-09-10,624,46.0
2020-09-11,624,47.0
2020-09-12,624,47.0
2020-09-13,627,47.0
2020-09-14,634,47.0
2020-09-15,633,48.0
2020-09-16,634,48.0
2020-09-17,637,48.0
2020-09-18,638,48.0
2020-09-19,641,48.0
2020-09-20,643,48.0
2020-09-21,651,48.0
2020-09-22,651,48.0
2020-09-23,653,48.0
2020-09-24,655,48.0
2020-09-25,657,48.0
2020-09-26,659,48.0
2020-09-27,659,48.0
2020-09-28,660,48.0
2020-09-29,662,48.0
2020-09-30,664,48.0
2020-10-01,667,48.0
2020-10-02,670,48.0
2020-10-03,670,48.0
2020-10-04,673,48.0
2020-10-05,674,48.0
2020-10-06,679,48.0
2020-10-07,680,48.0
2020-10-08,680,48.0
2020-10-09,682,48.0
2020-10-10,684,48.0
2020-10-11,686,48.0
2020-10-12,689,48.0
2020-10-13,690,48.0
2020-10-14,692,48.0
2020-10-15,693,48.0
2020-10-16,698,48.0
2020-10-17,705,48.0
2020-10-18,713,48.0
2020-10-19,714,48.0
2020-10-20,721,48.0
2020-10-21,721,48.0
2020-10-22,726,48.0
2020-10-23,735,48.0
2020-10-24,740,48.0
2020-10-25,749,48.0
2020-10-26,760,48.0
2020-10-27,779,48.0
2020-10-28,790,48.0
2020-10-29,806,48.0
2020-10-30,833,48.0
2020-10-31,856,48.0
2020-11-01,890,48.0
2020-11-02,917,48.0
2020-11-03,927,48.0
2020-11-04,946,48.0
2020-11-05,993,48.0
2020-11-06,1034,48.0
2020-11-07,1085,48.0
2020-11-08,1138,48.0
2020-11-09,1189,48.0
2020-11-10,1238,48.0
2020-11-11,1301,48.0
2020-11-12,1344,48.0
2020-11-13,1446,48.0
2020-11-14,1497,48.0
2020-11-15,1543,48.0
2020-11-16,1600,48.0
2020-11-17,1678,53.0
2020-11-18,1752,53.0
2020-11-19,1831,53.0
2020-11-20,1915,53.0
2020-11-21,1981,53.0
2020-11-22,2047,53.0
2020-11-23,2157,53.0
2020-11-24,2232,53.0
2020-11-25,2283,54.0
2020-11-26,2283,54.0
2020-11-27,2404,54.0
2020-11-28,2473,54.0
2020-11-29,2515,55.0
2020-11-30,2573,55.0
2020-12-01,2630,56.0
2020-12-02,2692,57.0
2020-12-03,2719,57.0
2020-12-04,2767,57.0
2020-12-05,2806,57.0
2020-12-06,2855,57.0
2020-12-07,2903,58.0
2020-12-08,3012,60.0
2020-12-09,3066,61.0
2020-12-10,3080,62.0
2020-12-11,3108,62.0
2020-12-12,3160,62.0
2020-12-13,3206,62.0
2020-12-14,3246,65.0
2020-12-15,3284,65.0
2020-12-16,3299,65.0
2020-12-17,3347,65.0
2020-12-18,3417,65.0
2020-12-19,3453,65.0
2020-12-20,3504,65.0
2020-12-21,3523,65.0
2020-12-22,3556,65.0
2020-12-23,3597,65.0
2020-12-24,3636,65.0
2020-12-25,3636,65.0
2020-12-26,3686,65.0
2020-12-27,3705,65.0
2020-12-28,3720,66.0
2020-12-29,3776,66.0
2020-12-30,3795,66.0
2020-12-31,3829,66.0
2021-01-01,3829,66.0
2021-01-02,3900,66.0
2021-01-03,3930,66.0
2021-01-04,3957,66.0
2021-01-05,4011,66.0
2021-01-06,4037,66.0
2021-01-07,4076,66.0
2021-01-08,4129,66.0
2021-01-09,4166,66.0
2021-01-10,4203,66.0
2021-01-11,4234,66.0
2021-01-12,4263,66.0
2021-01-13,4294,67.0
2021-01-14,4314,67.0
2021-01-15,4346,67.0
2021-01-16,4372,68.0
2021-01-17,4390,68.0
2021-01-18,4405,72.0
2021-01-19,4431,72.0
2021-01-20,4463,73.0
2021-01-21,4493,73.0
2021-01-22,4510,73.0
2021-01-23,4530,73.0
2021-01-24,4546,73.0
2021-01-25,4564,73.0
2021-01-26,4579,73.0
2021-01-27,4588,73.0
2021-01-28,4627,73.0
2021-01-29,4679,73.0
2021-01-30,4689,75.0
2021-01-31,4700,75.0
2021-02-01,4722,75.0
2021-02-02,4782,76.0
2021-02-03,4874,77.0
