date,cases,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,6,1
2020-04-01,8,1
2020-04-02,8,1
2020-04-03,9,1
2020-04-04,11,1
2020-04-05,13,1
2020-04-06,15,1
2020-04-07,20,1
2020-04-08,21,1
2020-04-09,21,1
2020-04-10,22,1
2020-04-11,24,1
2020-04-12,28,1
2020-04-13,30,1
2020-04-14,31,2
2020-04-15,31,1
2020-04-16,33,1
2020-04-17,33,2
2020-04-18,39,2
2020-04-19,38,2
2020-04-20,39,2
2020-04-21,39,3
2020-04-22,39,3
2020-04-23,40,3
2020-04-24,40,3
2020-04-25,41,3
2020-04-26,43,3
2020-04-27,45,3
2020-04-28,45,4
2020-04-29,46,4
2020-04-30,46,4
2020-05-01,46,4
2020-05-02,48,4
2020-05-03,48,4
2020-05-04,49,4
2020-05-05,50,5
2020-05-06,50,5
2020-05-07,52,5
2020-05-08,52,5
2020-05-09,53,5
2020-05-10,59,5
2020-05-11,63,5
2020-05-12,67,5
2020-05-13,68,5
2020-05-14,70,5
2020-05-15,73,5
2020-05-16,75,5
2020-05-17,75,5
2020-05-18,78,5
2020-05-19,78,5
2020-05-20,85,5
2020-05-21,86,5
2020-05-22,86,5
2020-05-23,92,5
2020-05-24,93,5
2020-05-25,93,5
2020-05-26,94,5
2020-05-27,98,5
2020-05-28,101,5
2020-05-29,101,5
2020-05-30,101,5
2020-05-31,101,5
2020-06-01,103,5
2020-06-02,102,5
2020-06-03,102,5
2020-06-04,105,5
2020-06-05,106,5
2020-06-06,108,5
2020-06-07,111,5
2020-06-08,114,5
2020-06-09,120,6
2020-06-10,122,6
2020-06-11,129,6
2020-06-12,132,6
2020-06-13,133,6
2020-06-14,135,6
