date,cases,deaths
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,2,0
2020-04-09,4,0
2020-04-10,5,0
2020-04-11,5,0
2020-04-12,6,0
2020-04-13,6,0
2020-04-14,7,0
2020-04-15,10,0
2020-04-16,10,0
2020-04-17,10,0
2020-04-18,10,0
2020-04-19,11,0
2020-04-20,12,0
2020-04-21,12,0
2020-04-22,15,0
2020-04-23,15,0
2020-04-24,15,0
2020-04-25,15,0
2020-04-26,15,0
2020-04-27,15,0
2020-04-28,15,0
2020-04-29,15,0
2020-04-30,15,0
2020-05-01,15,0
2020-05-02,16,0
2020-05-03,19,0
2020-05-04,19,0
2020-05-05,19,0
2020-05-06,20,0
2020-05-07,20,0
2020-05-08,20,0
2020-05-09,21,0
2020-05-10,21,0
2020-05-11,21,0
2020-05-12,21,0
2020-05-13,21,0
2020-05-14,22,0
2020-05-15,22,0
2020-05-16,24,0
2020-05-17,24,0
2020-05-18,25,0
2020-05-19,26,0
2020-05-20,28,0
2020-05-21,29,0
2020-05-22,29,0
2020-05-23,30,0
2020-05-24,31,0
2020-05-25,31,0
2020-05-26,32,0
2020-05-27,33,0
2020-05-28,34,0
2020-05-29,34,0
2020-05-30,35,1
2020-05-31,35,1
2020-06-01,36,1
2020-06-02,36,2
2020-06-03,36,2
2020-06-04,38,2
2020-06-05,38,2
2020-06-06,41,2
2020-06-07,42,2
2020-06-08,43,2
2020-06-09,44,2
2020-06-10,44,2
2020-06-11,44,2
2020-06-12,44,3
2020-06-13,44,3
2020-06-14,44,3
2020-06-15,44,3
2020-06-16,44,3
2020-06-17,44,3
2020-06-18,44,3
2020-06-19,44,3
2020-06-20,44,3
2020-06-21,45,3
2020-06-22,46,3
2020-06-23,46,3
2020-06-24,47,3
2020-06-25,49,3
2020-06-26,51,3
2020-06-27,51,3
2020-06-28,58,3
2020-06-29,59,3
2020-06-30,59,3
2020-07-01,60,3
2020-07-02,60,3
2020-07-03,67,3
2020-07-04,68,3
2020-07-05,70,3
2020-07-06,74,3
2020-07-07,74,3
2020-07-08,76,3
2020-07-09,76,3
2020-07-10,79,3
2020-07-11,82,3
2020-07-12,81,3
2020-07-13,82,4
2020-07-14,83,4
2020-07-15,83,4
2020-07-16,85,4
2020-07-17,88,4
2020-07-18,88,4
2020-07-19,89,4
2020-07-20,89,6
2020-07-21,89,6
2020-07-22,90,6
2020-07-23,95,6
2020-07-24,96,6
2020-07-25,96,6
2020-07-26,98,6
2020-07-27,99,6
2020-07-28,101,6
2020-07-29,102,6
2020-07-30,103,6
2020-07-31,107,6
2020-08-01,110,6
2020-08-02,110,6
2020-08-03,111,7
2020-08-04,112,7
2020-08-05,113,7
2020-08-06,114,7
2020-08-07,116,7
2020-08-08,116,7
2020-08-09,117,7
2020-08-10,118,7
2020-08-11,119,7
2020-08-12,119,7
2020-08-13,121,7
2020-08-14,121,7
2020-08-15,121,7
2020-08-16,121,7
2020-08-17,121,7
2020-08-18,121,7
2020-08-19,122,7
2020-08-20,124,7
2020-08-21,126,7
2020-08-22,127,7
