date,cases,deaths
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,2,0.0
2020-04-02,3,0.0
2020-04-03,4,0.0
2020-04-04,4,0.0
2020-04-05,4,0.0
2020-04-06,6,0.0
2020-04-07,6,0.0
2020-04-08,6,0.0
2020-04-09,6,0.0
2020-04-10,6,0.0
2020-04-11,6,0.0
2020-04-12,6,0.0
2020-04-13,7,0.0
2020-04-14,7,0.0
2020-04-15,7,0.0
2020-04-16,7,0.0
2020-04-17,7,0.0
2020-04-18,7,0.0
2020-04-19,7,0.0
2020-04-20,7,0.0
2020-04-21,7,0.0
2020-04-22,8,0.0
2020-04-23,8,0.0
2020-04-24,8,0.0
2020-04-25,8,0.0
2020-04-26,9,0.0
2020-04-27,10,0.0
2020-04-28,10,0.0
2020-04-29,11,1.0
2020-04-30,11,0.0
2020-05-01,10,0.0
2020-05-02,10,0.0
2020-05-03,10,0.0
2020-05-04,11,0.0
2020-05-05,11,1.0
2020-05-06,11,1.0
2020-05-07,11,1.0
2020-05-08,11,1.0
2020-05-09,12,1.0
2020-05-10,12,1.0
2020-05-11,12,1.0
2020-05-12,14,1.0
2020-05-13,14,1.0
2020-05-14,14,1.0
2020-05-15,14,1.0
2020-05-16,14,1.0
2020-05-17,16,1.0
2020-05-18,15,1.0
2020-05-19,15,1.0
2020-05-20,16,1.0
2020-05-21,16,1.0
2020-05-22,16,1.0
2020-05-23,18,1.0
2020-05-24,18,1.0
2020-05-25,18,1.0
2020-05-26,19,1.0
2020-05-27,19,1.0
2020-05-28,22,1.0
2020-05-29,23,1.0
2020-05-30,23,1.0
2020-05-31,25,1.0
2020-06-01,25,1.0
2020-06-02,26,1.0
2020-06-03,26,1.0
2020-06-04,26,1.0
2020-06-05,29,1.0
2020-06-06,29,1.0
2020-06-07,29,1.0
2020-06-08,30,1.0
2020-06-09,30,1.0
2020-06-10,31,1.0
2020-06-11,33,1.0
2020-06-12,32,1.0
2020-06-13,33,1.0
2020-06-14,34,1.0
2020-06-15,34,1.0
2020-06-16,34,1.0
2020-06-17,35,1.0
2020-06-18,35,1.0
2020-06-19,37,1.0
2020-06-20,37,1.0
2020-06-21,39,1.0
2020-06-22,39,1.0
2020-06-23,39,1.0
2020-06-24,39,1.0
2020-06-25,39,1.0
2020-06-26,42,1.0
2020-06-27,43,1.0
2020-06-28,43,1.0
2020-06-29,42,1.0
2020-06-30,42,1.0
2020-07-01,43,1.0
2020-07-02,43,1.0
2020-07-03,44,1.0
2020-07-04,44,1.0
2020-07-05,45,1.0
2020-07-06,45,1.0
2020-07-07,45,1.0
2020-07-08,46,1.0
2020-07-09,47,1.0
2020-07-10,49,1.0
2020-07-11,50,1.0
2020-07-12,53,1.0
2020-07-13,58,1.0
2020-07-14,58,1.0
2020-07-15,58,1.0
2020-07-16,61,1.0
2020-07-17,65,1.0
2020-07-18,66,1.0
2020-07-19,69,1.0
2020-07-20,74,1.0
2020-07-21,77,1.0
2020-07-22,83,1.0
2020-07-23,87,1.0
2020-07-24,90,1.0
2020-07-25,94,1.0
2020-07-26,95,1.0
2020-07-27,96,1.0
2020-07-28,103,1.0
2020-07-29,106,1.0
2020-07-30,114,1.0
2020-07-31,118,1.0
2020-08-01,121,1.0
2020-08-02,127,1.0
2020-08-03,132,1.0
2020-08-04,136,1.0
2020-08-05,141,1.0
2020-08-06,146,1.0
2020-08-07,148,1.0
2020-08-08,156,1.0
2020-08-09,158,1.0
2020-08-10,159,1.0
2020-08-11,166,1.0
2020-08-12,169,2.0
2020-08-13,169,2.0
2020-08-14,171,2.0
2020-08-15,171,2.0
2020-08-16,171,2.0
2020-08-17,174,2.0
2020-08-18,175,2.0
2020-08-19,176,2.0
2020-08-20,180,3.0
2020-08-21,181,3.0
2020-08-22,182,3.0
2020-08-23,183,3.0
2020-08-24,183,3.0
2020-08-25,185,3.0
2020-08-26,185,3.0
2020-08-27,186,3.0
2020-08-28,188,3.0
2020-08-29,189,3.0
2020-08-30,190,3.0
2020-08-31,190,3.0
2020-09-01,191,3.0
2020-09-02,192,3.0
2020-09-03,193,3.0
2020-09-04,194,3.0
2020-09-05,197,3.0
2020-09-06,198,3.0
2020-09-07,203,3.0
2020-09-08,204,3.0
2020-09-09,206,3.0
2020-09-10,208,3.0
2020-09-11,208,3.0
2020-09-12,209,3.0
2020-09-13,210,3.0
2020-09-14,212,3.0
2020-09-15,214,3.0
2020-09-16,214,3.0
2020-09-17,216,3.0
2020-09-18,219,3.0
2020-09-19,220,3.0
2020-09-20,220,3.0
2020-09-21,220,3.0
2020-09-22,220,3.0
2020-09-23,222,3.0
2020-09-24,222,3.0
2020-09-25,227,3.0
2020-09-26,230,3.0
2020-09-27,230,3.0
2020-09-28,230,3.0
2020-09-29,231,3.0
2020-09-30,234,3.0
