date,cases,deaths
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,2,0.0
2020-03-26,3,0.0
2020-03-27,4,0.0
2020-03-28,4,0.0
2020-03-29,4,0.0
2020-03-30,5,0.0
2020-03-31,7,0.0
2020-04-01,9,2.0
2020-04-02,11,2.0
2020-04-03,12,2.0
2020-04-04,15,2.0
2020-04-05,17,2.0
2020-04-06,17,2.0
2020-04-07,18,2.0
2020-04-08,20,2.0
2020-04-09,21,2.0
2020-04-10,23,2.0
2020-04-11,23,3.0
2020-04-12,23,3.0
2020-04-13,24,3.0
2020-04-14,24,3.0
2020-04-15,23,3.0
2020-04-16,29,3.0
2020-04-17,27,3.0
2020-04-18,30,3.0
2020-04-19,30,3.0
2020-04-20,30,3.0
2020-04-21,30,3.0
2020-04-22,30,3.0
2020-04-23,38,3.0
2020-04-24,47,3.0
2020-04-25,51,3.0
2020-04-26,50,3.0
2020-04-27,52,3.0
2020-04-28,56,3.0
2020-04-29,60,3.0
2020-04-30,63,3.0
2020-05-01,64,3.0
2020-05-02,64,3.0
2020-05-03,67,3.0
2020-05-04,71,3.0
2020-05-05,73,3.0
2020-05-06,73,3.0
2020-05-07,73,3.0
2020-05-08,78,3.0
2020-05-09,81,3.0
2020-05-10,83,3.0
2020-05-11,84,3.0
2020-05-12,87,5.0
2020-05-13,88,5.0
2020-05-14,93,5.0
2020-05-15,95,5.0
2020-05-16,98,5.0
2020-05-17,98,5.0
2020-05-18,99,5.0
2020-05-19,100,6.0
2020-05-20,102,7.0
2020-05-21,105,7.0
2020-05-22,128,7.0
2020-05-23,132,7.0
2020-05-24,133,7.0
2020-05-25,134,7.0
2020-05-26,141,7.0
2020-05-27,144,7.0
2020-05-28,148,7.0
2020-05-29,152,7.0
2020-05-30,152,7.0
2020-05-31,156,7.0
2020-06-01,155,7.0
2020-06-02,157,7.0
2020-06-03,162,7.0
2020-06-04,163,7.0
2020-06-05,164,7.0
2020-06-06,164,7.0
2020-06-07,166,7.0
2020-06-08,167,7.0
2020-06-09,167,7.0
2020-06-10,167,7.0
2020-06-11,167,7.0
2020-06-12,168,7.0
2020-06-13,168,7.0
2020-06-14,168,7.0
2020-06-15,168,7.0
2020-06-16,168,7.0
2020-06-17,169,7.0
2020-06-18,170,7.0
2020-06-19,172,7.0
2020-06-20,174,7.0
2020-06-21,174,7.0
2020-06-22,175,7.0
2020-06-23,176,8.0
2020-06-24,177,8.0
2020-06-25,179,8.0
2020-06-26,181,8.0
2020-06-27,182,8.0
2020-06-28,184,8.0
2020-06-29,185,8.0
2020-06-30,187,8.0
2020-07-01,188,8.0
2020-07-02,188,8.0
2020-07-03,192,8.0
2020-07-04,193,8.0
2020-07-05,195,8.0
2020-07-06,197,8.0
2020-07-07,199,9.0
2020-07-08,202,9.0
2020-07-09,206,9.0
2020-07-10,213,9.0
2020-07-11,216,9.0
2020-07-12,222,9.0
2020-07-13,225,9.0
2020-07-14,230,9.0
2020-07-15,233,9.0
2020-07-16,237,9.0
2020-07-17,244,9.0
2020-07-18,244,9.0
2020-07-19,245,9.0
2020-07-20,253,9.0
2020-07-21,257,9.0
2020-07-22,259,9.0
2020-07-23,262,9.0
2020-07-24,266,9.0
2020-07-25,271,9.0
2020-07-26,271,9.0
2020-07-27,276,9.0
2020-07-28,285,9.0
2020-07-29,299,9.0
2020-07-30,308,9.0
2020-07-31,313,10.0
2020-08-01,322,10.0
2020-08-02,329,10.0
2020-08-03,333,10.0
2020-08-04,336,10.0
2020-08-05,343,10.0
2020-08-06,349,10.0
2020-08-07,353,10.0
2020-08-08,355,10.0
