date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,3,0
2020-04-04,4,0
2020-04-05,5,0
2020-04-06,5,0
2020-04-07,7,0
2020-04-08,8,0
2020-04-09,9,1
2020-04-10,10,1
2020-04-11,11,1
2020-04-12,15,1
2020-04-13,16,1
2020-04-14,17,1
2020-04-15,20,1
2020-04-16,20,1
2020-04-17,21,1
2020-04-18,21,1
2020-04-19,21,1
2020-04-20,24,1
2020-04-21,25,1
2020-04-22,25,1
2020-04-23,25,1
2020-04-24,25,1
2020-04-25,25,1
2020-04-26,25,1
2020-04-27,25,1
2020-04-28,25,1
2020-04-29,27,2
2020-04-30,27,1
2020-05-01,27,1
2020-05-02,27,1
2020-05-03,27,1
2020-05-04,27,1
2020-05-05,27,1
2020-05-06,27,1
2020-05-07,27,1
2020-05-08,27,1
2020-05-09,28,1
2020-05-10,28,1
2020-05-11,28,1
2020-05-12,28,1
2020-05-13,28,1
2020-05-14,28,1
2020-05-15,28,1
2020-05-16,28,1
2020-05-17,29,1
2020-05-18,30,1
2020-05-19,30,1
2020-05-20,30,1
2020-05-21,30,1
2020-05-22,30,1
2020-05-23,30,1
2020-05-24,31,1
2020-05-25,30,1
2020-05-26,30,1
2020-05-27,31,1
2020-05-28,33,1
2020-05-29,35,1
2020-05-30,35,1
2020-05-31,37,1
2020-06-01,39,1
2020-06-02,39,1
2020-06-03,39,1
2020-06-04,39,1
2020-06-05,39,1
