date,cases,deaths
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,3,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,6,0
2020-04-07,9,0
2020-04-08,10,0
2020-04-09,10,0
2020-04-10,12,0
2020-04-11,13,0
2020-04-12,17,0
2020-04-13,19,0
2020-04-14,20,0
2020-04-15,21,0
2020-04-16,26,0
2020-04-17,28,0
2020-04-18,33,0
2020-04-19,36,0
2020-04-20,29,0
2020-04-21,30,0
2020-04-22,30,1
2020-04-23,30,1
2020-04-24,35,1
2020-04-25,35,1
2020-04-26,35,1
2020-04-27,36,1
2020-04-28,36,1
2020-04-29,37,1
2020-04-30,39,1
2020-05-01,39,1
2020-05-02,40,1
2020-05-03,41,1
2020-05-04,41,1
2020-05-05,42,2
2020-05-06,42,1
2020-05-07,44,1
2020-05-08,49,1
2020-05-09,48,1
2020-05-10,51,1
2020-05-11,53,1
2020-05-12,55,1
2020-05-13,55,1
2020-05-14,56,1
2020-05-15,58,1
2020-05-16,58,1
2020-05-17,58,1
2020-05-18,58,1
2020-05-19,59,1
2020-05-20,60,1
2020-05-21,60,1
2020-05-22,61,1
2020-05-23,62,2
2020-05-24,63,2
2020-05-25,66,2
2020-05-26,66,2
2020-05-27,67,2
2020-05-28,67,2
2020-05-29,68,2
2020-05-30,71,2
2020-05-31,71,2
2020-06-01,72,2
2020-06-02,73,2
2020-06-03,73,2
2020-06-04,73,2
2020-06-05,73,2
2020-06-06,73,2
2020-06-07,74,2
2020-06-08,74,2
2020-06-09,75,2
2020-06-10,77,2
2020-06-11,78,2
2020-06-12,79,2
