date,cases,deaths
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,2,0
2020-04-10,3,0
2020-04-11,4,0
2020-04-12,4,0
2020-04-13,4,0
2020-04-14,4,0
2020-04-15,4,0
2020-04-16,5,0
2020-04-17,5,0
2020-04-18,7,0
2020-04-19,9,0
2020-04-20,6,0
2020-04-21,6,0
2020-04-22,6,0
2020-04-23,6,0
2020-04-24,6,0
2020-04-25,6,0
2020-04-26,6,0
2020-04-27,6,0
2020-04-28,6,0
2020-04-29,8,0
2020-04-30,10,0
2020-05-01,11,0
2020-05-02,11,0
2020-05-03,12,0
2020-05-04,12,0
2020-05-05,13,0
2020-05-06,13,0
2020-05-07,15,0
2020-05-08,15,0
2020-05-09,13,0
2020-05-10,13,0
2020-05-11,13,0
2020-05-12,13,0
2020-05-13,13,0
2020-05-14,13,0
2020-05-15,13,0
2020-05-16,14,0
2020-05-17,14,0
2020-05-18,14,0
2020-05-19,14,0
2020-05-20,14,0
2020-05-21,14,0
2020-05-22,14,0
2020-05-23,14,0
2020-05-24,15,0
2020-05-25,15,0
2020-05-26,15,0
2020-05-27,15,0
2020-05-28,15,0
2020-05-29,15,0
2020-05-30,15,0
2020-05-31,16,0
2020-06-01,18,0
2020-06-02,17,0
2020-06-03,17,0
2020-06-04,17,0
2020-06-05,18,0
2020-06-06,18,0
2020-06-07,18,0
2020-06-08,19,0
2020-06-09,19,0
2020-06-10,19,0
2020-06-11,19,0
2020-06-12,19,0
2020-06-13,21,0
2020-06-14,21,0
2020-06-15,21,0
2020-06-16,21,0
2020-06-17,21,0
2020-06-18,21,0
2020-06-19,21,0
2020-06-20,21,0
2020-06-21,21,0
2020-06-22,22,0
2020-06-23,27,0
2020-06-24,28,0
2020-06-25,28,0
2020-06-26,31,0
2020-06-27,33,0
2020-06-28,34,0
2020-06-29,34,0
2020-06-30,35,0
2020-07-01,36,0
2020-07-02,36,0
2020-07-03,38,0
2020-07-04,38,0
2020-07-05,38,0
2020-07-06,41,0
2020-07-07,45,0
2020-07-08,54,0
2020-07-09,56,0
2020-07-10,65,0
2020-07-11,67,0
2020-07-12,71,0
2020-07-13,77,0
2020-07-14,80,0
2020-07-15,87,0
2020-07-16,90,0
2020-07-17,94,0
2020-07-18,99,0
2020-07-19,100,0
