date,cases,deaths
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,2,0.0
2020-03-28,2,0.0
2020-03-29,3,0.0
2020-03-30,3,0.0
2020-03-31,3,0.0
2020-04-01,3,0.0
2020-04-02,4,0.0
2020-04-03,4,0.0
2020-04-04,6,0.0
2020-04-05,8,0.0
2020-04-06,15,0.0
2020-04-07,27,0.0
2020-04-08,30,0.0
2020-04-09,34,0.0
2020-04-10,35,1.0
2020-04-11,36,1.0
2020-04-12,39,1.0
2020-04-13,41,1.0
2020-04-14,44,2.0
2020-04-15,47,4.0
2020-04-16,53,5.0
2020-04-17,55,5.0
2020-04-18,57,6.0
2020-04-19,65,6.0
2020-04-20,65,6.0
2020-04-21,69,6.0
2020-04-22,73,6.0
2020-04-23,75,8.0
2020-04-24,80,8.0
2020-04-25,93,8.0
2020-04-26,94,10.0
2020-04-27,94,10.0
2020-04-28,95,10.0
2020-04-29,95,12.0
2020-04-30,98,12.0
2020-05-01,99,12.0
2020-05-02,100,12.0
2020-05-03,102,14.0
2020-05-04,103,14.0
2020-05-05,105,15.0
2020-05-06,106,16.0
2020-05-07,111,17.0
2020-05-08,111,17.0
2020-05-09,113,17.0
2020-05-10,114,17.0
2020-05-11,114,17.0
2020-05-12,114,17.0
2020-05-13,115,17.0
2020-05-14,116,17.0
2020-05-15,116,17.0
2020-05-16,116,17.0
2020-05-17,116,17.0
2020-05-18,116,17.0
2020-05-19,116,17.0
2020-05-20,116,17.0
2020-05-21,116,17.0
2020-05-22,116,17.0
2020-05-23,116,18.0
2020-05-24,117,18.0
2020-05-25,117,18.0
2020-05-26,117,18.0
2020-05-27,118,19.0
2020-05-28,118,19.0
2020-05-29,118,19.0
2020-05-30,118,19.0
2020-05-31,118,19.0
2020-06-01,118,19.0
2020-06-02,118,19.0
2020-06-03,118,19.0
2020-06-04,118,19.0
2020-06-05,118,19.0
2020-06-06,118,19.0
2020-06-07,118,19.0
2020-06-08,118,19.0
2020-06-09,118,19.0
2020-06-10,118,19.0
2020-06-11,117,19.0
2020-06-12,117,19.0
2020-06-13,118,19.0
2020-06-14,118,19.0
2020-06-15,118,19.0
2020-06-16,118,19.0
2020-06-17,118,19.0
2020-06-18,119,20.0
2020-06-19,119,20.0
2020-06-20,119,20.0
2020-06-21,119,20.0
2020-06-22,120,20.0
2020-06-23,120,20.0
2020-06-24,120,20.0
2020-06-25,120,20.0
2020-06-26,122,20.0
2020-06-27,122,20.0
2020-06-28,122,20.0
2020-06-29,124,20.0
2020-06-30,124,20.0
2020-07-01,127,20.0
2020-07-02,127,20.0
2020-07-03,130,20.0
2020-07-04,131,20.0
2020-07-05,132,20.0
2020-07-06,135,20.0
2020-07-07,135,20.0
2020-07-08,140,20.0
2020-07-09,142,20.0
2020-07-10,144,20.0
2020-07-11,146,20.0
2020-07-12,146,20.0
2020-07-13,147,20.0
2020-07-14,149,20.0
2020-07-15,153,20.0
2020-07-16,158,20.0
2020-07-17,162,20.0
2020-07-18,164,20.0
2020-07-19,165,21.0
2020-07-20,166,21.0
2020-07-21,168,21.0
2020-07-22,171,21.0
2020-07-23,177,21.0
2020-07-24,177,21.0
2020-07-25,178,21.0
2020-07-26,179,21.0
2020-07-27,180,21.0
2020-07-28,185,21.0
2020-07-29,190,21.0
2020-07-30,191,21.0
2020-07-31,192,21.0
2020-08-01,195,21.0
2020-08-02,197,22.0
2020-08-03,197,22.0
2020-08-04,198,22.0
2020-08-05,198,22.0
2020-08-06,198,22.0
2020-08-07,200,22.0
2020-08-08,202,22.0
