date,cases,deaths
2020-03-22,1,0
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,3,0
2020-03-26,6,0
2020-03-27,9,0
2020-03-28,10,0
2020-03-29,12,0
2020-03-30,13,0
2020-03-31,15,0
2020-04-01,15,0
2020-04-02,18,0
2020-04-03,20,0
2020-04-04,23,0
2020-04-05,29,0
2020-04-06,34,0
2020-04-07,38,0
2020-04-08,41,2
2020-04-09,42,2
2020-04-10,49,3
2020-04-11,52,3
2020-04-12,54,3
2020-04-13,54,4
2020-04-14,61,4
2020-04-15,64,5
2020-04-16,67,5
2020-04-17,73,6
2020-04-18,80,9
2020-04-19,84,9
2020-04-20,84,12
2020-04-21,92,13
2020-04-22,98,13
2020-04-23,105,15
2020-04-24,122,15
2020-04-25,132,16
2020-04-26,133,17
2020-04-27,139,18
2020-04-28,145,19
2020-04-29,154,20
2020-04-30,164,20
2020-05-01,174,23
2020-05-02,183,23
2020-05-03,187,23
2020-05-04,193,24
2020-05-05,203,27
2020-05-06,210,27
2020-05-07,212,29
2020-05-08,220,29
2020-05-09,222,29
2020-05-10,224,30
2020-05-11,225,31
