date,cases,deaths
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,5,0
2020-04-05,5,0
2020-04-06,5,0
2020-04-07,5,0
2020-04-08,5,0
2020-04-09,8,1
2020-04-10,9,1
2020-04-11,10,2
2020-04-12,11,2
2020-04-13,12,2
2020-04-14,13,2
2020-04-15,14,2
2020-04-16,14,2
2020-04-17,16,2
2020-04-18,17,2
2020-04-19,17,2
2020-04-20,17,2
2020-04-21,20,2
2020-04-22,21,2
2020-04-23,21,2
2020-04-24,24,2
2020-04-25,24,2
2020-04-26,24,2
2020-04-27,24,2
2020-04-28,24,2
2020-04-29,25,2
2020-04-30,24,2
2020-05-01,24,2
2020-05-02,24,2
2020-05-03,24,2
2020-05-04,24,2
2020-05-05,24,2
2020-05-06,24,2
2020-05-07,25,2
2020-05-08,26,2
2020-05-09,27,2
2020-05-10,27,2
2020-05-11,27,2
2020-05-12,27,2
2020-05-13,27,2
2020-05-14,27,2
2020-05-15,29,2
2020-05-16,29,2
2020-05-17,29,2
2020-05-18,30,2
2020-05-19,31,2
2020-05-20,33,2
2020-05-21,33,2
2020-05-22,33,2
2020-05-23,36,2
2020-05-24,36,2
2020-05-25,36,2
2020-05-26,36,2
2020-05-27,37,2
2020-05-28,38,2
2020-05-29,39,2
2020-05-30,40,2
2020-05-31,41,2
2020-06-01,42,2
2020-06-02,45,2
2020-06-03,44,2
2020-06-04,48,2
2020-06-05,48,2
2020-06-06,48,2
2020-06-07,48,2
2020-06-08,48,2
2020-06-09,48,2
2020-06-10,48,2
2020-06-11,49,2
2020-06-12,48,4
2020-06-13,48,4
2020-06-14,48,4
2020-06-15,48,4
2020-06-16,49,4
2020-06-17,50,4
2020-06-18,50,4
2020-06-19,55,4
2020-06-20,55,4
2020-06-21,55,4
2020-06-22,55,4
2020-06-23,55,4
2020-06-24,55,4
2020-06-25,55,4
2020-06-26,57,4
2020-06-27,57,4
2020-06-28,57,4
2020-06-29,57,4
2020-06-30,58,4
2020-07-01,58,4
2020-07-02,58,4
2020-07-03,58,5
2020-07-04,58,6
2020-07-05,58,6
2020-07-06,59,6
2020-07-07,59,5
2020-07-08,60,5
2020-07-09,61,5
2020-07-10,62,5
2020-07-11,63,5
2020-07-12,63,5
2020-07-13,66,5
2020-07-14,66,5
2020-07-15,68,5
2020-07-16,70,5
2020-07-17,72,5
2020-07-18,72,5
2020-07-19,72,5
2020-07-20,72,5
2020-07-21,73,5
2020-07-22,74,5
2020-07-23,84,5
2020-07-24,91,5
2020-07-25,92,5
2020-07-26,99,5
2020-07-27,106,5
2020-07-28,110,5
2020-07-29,113,5
2020-07-30,114,5
2020-07-31,119,5
2020-08-01,119,5
2020-08-02,119,5
2020-08-03,120,7
2020-08-04,125,7
2020-08-05,128,7
2020-08-06,136,8
2020-08-07,142,8
2020-08-08,145,8
2020-08-09,146,8
2020-08-10,148,8
2020-08-11,150,9
2020-08-12,151,9
2020-08-13,155,9
2020-08-14,158,9
2020-08-15,159,9
2020-08-16,159,9
2020-08-17,159,10
2020-08-18,164,10
2020-08-19,170,10
2020-08-20,171,10
2020-08-21,173,10
2020-08-22,173,10
2020-08-23,173,10
