date,cases,deaths
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,2,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,4,1.0
2020-04-05,4,1.0
2020-04-06,4,1.0
2020-04-07,4,1.0
2020-04-08,4,1.0
2020-04-09,4,1.0
2020-04-10,4,1.0
2020-04-11,4,1.0
2020-04-12,4,1.0
2020-04-13,4,1.0
2020-04-14,4,1.0
2020-04-15,4,1.0
2020-04-16,4,1.0
2020-04-17,4,1.0
2020-04-18,4,1.0
2020-04-19,4,1.0
2020-04-20,4,1.0
2020-04-21,4,1.0
2020-04-22,4,1.0
2020-04-23,4,1.0
2020-04-24,4,1.0
2020-04-25,4,1.0
2020-04-26,5,1.0
2020-04-27,5,1.0
2020-04-28,5,1.0
2020-04-29,5,1.0
2020-04-30,5,1.0
2020-05-01,5,1.0
2020-05-02,5,1.0
2020-05-03,5,1.0
2020-05-04,5,1.0
2020-05-05,5,1.0
2020-05-06,5,1.0
2020-05-07,5,1.0
2020-05-08,5,1.0
2020-05-09,5,1.0
2020-05-10,5,1.0
2020-05-11,5,1.0
2020-05-12,5,1.0
2020-05-13,5,1.0
2020-05-14,5,1.0
2020-05-15,5,1.0
2020-05-16,5,1.0
2020-05-17,6,1.0
2020-05-18,6,1.0
2020-05-19,6,1.0
2020-05-20,5,1.0
2020-05-21,5,1.0
2020-05-22,5,1.0
2020-05-23,5,1.0
2020-05-24,5,1.0
2020-05-25,5,1.0
2020-05-26,5,1.0
2020-05-27,5,1.0
2020-05-28,5,1.0
2020-05-29,5,1.0
2020-05-30,5,1.0
2020-05-31,5,1.0
2020-06-01,5,1.0
2020-06-02,5,1.0
2020-06-03,5,1.0
2020-06-04,5,1.0
2020-06-05,5,1.0
2020-06-06,5,1.0
2020-06-07,5,1.0
2020-06-08,5,1.0
2020-06-09,5,1.0
2020-06-10,5,1.0
2020-06-11,5,1.0
2020-06-12,5,1.0
2020-06-13,6,1.0
2020-06-14,6,1.0
2020-06-15,6,1.0
2020-06-16,7,1.0
2020-06-17,7,1.0
2020-06-18,7,1.0
2020-06-19,7,1.0
2020-06-20,7,1.0
2020-06-21,7,1.0
2020-06-22,7,1.0
2020-06-23,7,1.0
2020-06-24,7,1.0
2020-06-25,7,1.0
2020-06-26,9,1.0
2020-06-27,9,1.0
2020-06-28,9,1.0
2020-06-29,9,1.0
2020-06-30,11,1.0
2020-07-01,11,1.0
2020-07-02,11,1.0
2020-07-03,14,1.0
2020-07-04,14,1.0
2020-07-05,15,1.0
2020-07-06,14,1.0
2020-07-07,15,1.0
2020-07-08,14,1.0
2020-07-09,18,1.0
2020-07-10,19,1.0
2020-07-11,20,1.0
2020-07-12,20,1.0
2020-07-13,20,1.0
2020-07-14,22,1.0
2020-07-15,25,1.0
2020-07-16,25,1.0
2020-07-17,25,1.0
2020-07-18,25,1.0
2020-07-19,25,1.0
2020-07-20,25,1.0
2020-07-21,27,1.0
2020-07-22,29,1.0
