date,cases,deaths
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,2,0.0
2020-04-05,2,0.0
2020-04-06,2,0.0
2020-04-07,2,0.0
2020-04-08,2,0.0
2020-04-09,2,0.0
2020-04-10,2,0.0
2020-04-11,2,0.0
2020-04-12,2,0.0
2020-04-13,2,0.0
2020-04-14,2,0.0
2020-04-15,2,0.0
2020-04-16,2,0.0
2020-04-17,2,0.0
2020-04-18,2,0.0
2020-04-19,2,0.0
2020-04-20,2,0.0
2020-04-21,2,0.0
2020-04-22,2,0.0
2020-04-23,2,0.0
2020-04-24,2,0.0
2020-04-25,2,0.0
2020-04-26,2,0.0
2020-04-27,2,0.0
2020-04-28,2,0.0
2020-04-29,2,0.0
2020-04-30,2,0.0
2020-05-01,2,0.0
2020-05-02,2,0.0
2020-05-03,2,0.0
2020-05-04,2,0.0
2020-05-05,2,0.0
2020-05-06,2,0.0
2020-05-07,3,0.0
2020-05-08,3,0.0
2020-05-09,3,0.0
2020-05-10,3,0.0
2020-05-11,3,0.0
2020-05-12,3,0.0
2020-05-13,3,0.0
2020-05-14,3,0.0
2020-05-15,3,0.0
2020-05-16,3,0.0
2020-05-17,3,0.0
2020-05-18,4,0.0
2020-05-19,4,0.0
2020-05-20,4,0.0
2020-05-21,4,0.0
2020-05-22,6,0.0
2020-05-23,14,0.0
2020-05-24,14,0.0
2020-05-25,15,0.0
2020-05-26,15,0.0
2020-05-27,15,0.0
2020-05-28,15,0.0
2020-05-29,15,0.0
2020-05-30,15,0.0
2020-05-31,16,0.0
2020-06-01,16,0.0
2020-06-02,16,0.0
2020-06-03,16,0.0
2020-06-04,16,0.0
2020-06-05,16,0.0
2020-06-06,16,0.0
2020-06-07,17,0.0
2020-06-08,17,0.0
2020-06-09,21,0.0
2020-06-10,20,0.0
2020-06-11,20,0.0
2020-06-12,21,0.0
2020-06-13,22,0.0
2020-06-14,23,0.0
2020-06-15,25,0.0
2020-06-16,26,0.0
2020-06-17,25,0.0
2020-06-18,25,0.0
2020-06-19,25,0.0
2020-06-20,25,0.0
2020-06-21,26,0.0
2020-06-22,26,0.0
2020-06-23,26,0.0
2020-06-24,27,0.0
2020-06-25,27,0.0
2020-06-26,29,0.0
