date,cases,deaths
2020-03-13,1,0.0
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,2,0.0
2020-03-17,6,0.0
2020-03-18,14,0.0
2020-03-19,18,0.0
2020-03-20,19,0.0
2020-03-21,20,0.0
2020-03-22,26,0.0
2020-03-23,29,0.0
2020-03-24,41,0.0
2020-03-25,55,2.0
2020-03-26,73,2.0
2020-03-27,94,2.0
2020-03-28,107,3.0
2020-03-29,120,4.0
2020-03-30,134,4.0
2020-03-31,155,7.0
2020-04-01,192,10.0
2020-04-02,216,10.0
2020-04-03,237,10.0
2020-04-04,256,10.0
2020-04-05,265,10.0
2020-04-06,279,11.0
2020-04-07,303,11.0
2020-04-08,317,15.0
2020-04-09,385,15.0
2020-04-10,413,17.0
2020-04-11,425,19.0
2020-04-12,435,19.0
2020-04-13,455,19.0
2020-04-14,474,19.0
2020-04-15,483,22.0
2020-04-16,497,22.0
2020-04-17,520,22.0
2020-04-18,550,23.0
2020-04-19,561,23.0
2020-04-20,575,23.0
2020-04-21,590,24.0
2020-04-22,607,24.0
2020-04-23,634,25.0
2020-04-24,670,27.0
2020-04-25,694,29.0
2020-04-26,696,29.0
2020-04-27,703,29.0
2020-04-28,729,29.0
2020-04-29,743,30.0
2020-04-30,773,31.0
2020-05-01,816,31.0
2020-05-02,822,33.0
2020-05-03,838,33.0
2020-05-04,841,33.0
2020-05-05,853,36.0
2020-05-06,868,40.0
2020-05-07,895,40.0
2020-05-08,905,41.0
2020-05-09,927,42.0
2020-05-10,945,43.0
2020-05-11,954,43.0
2020-05-12,997,43.0
2020-05-13,1007,43.0
2020-05-14,1013,45.0
2020-05-15,1035,45.0
2020-05-16,1070,46.0
2020-05-17,1074,46.0
2020-05-18,1075,46.0
2020-05-19,1087,49.0
2020-05-20,1093,51.0
2020-05-21,1109,54.0
2020-05-22,1179,55.0
2020-05-23,1189,56.0
2020-05-24,1203,56.0
2020-05-25,1208,56.0
2020-05-26,1216,58.0
2020-05-27,1227,58.0
2020-05-28,1241,59.0
2020-05-29,1254,60.0
2020-05-30,1263,61.0
2020-05-31,1281,61.0
2020-06-01,1284,61.0
2020-06-02,1294,62.0
2020-06-03,1309,62.0
2020-06-04,1328,63.0
2020-06-05,1350,63.0
2020-06-06,1360,64.0
2020-06-07,1369,64.0
2020-06-08,1384,64.0
2020-06-09,1404,64.0
2020-06-10,1436,64.0
2020-06-11,1461,64.0
2020-06-12,1517,64.0
2020-06-13,1561,64.0
2020-06-14,1597,64.0
2020-06-15,1643,64.0
2020-06-16,1673,64.0
2020-06-17,1754,65.0
2020-06-18,1861,65.0
2020-06-19,1946,65.0
2020-06-20,1990,65.0
2020-06-21,2099,65.0
2020-06-22,2147,65.0
2020-06-23,2230,65.0
2020-06-24,2317,65.0
2020-06-25,2410,68.0
2020-06-26,2486,69.0
2020-06-27,2600,69.0
2020-06-28,2663,70.0
2020-06-29,2732,70.0
2020-06-30,2913,70.0
2020-07-01,3029,70.0
2020-07-02,3135,70.0
2020-07-03,3263,70.0
2020-07-04,3393,70.0
2020-07-05,3479,70.0
2020-07-06,3607,70.0
2020-07-07,3819,70.0
2020-07-08,4039,71.0
2020-07-09,4194,72.0
2020-07-10,4379,72.0
2020-07-11,4613,74.0
2020-07-12,4802,74.0
2020-07-13,4986,74.0
2020-07-14,5259,75.0
2020-07-15,5591,76.0
2020-07-16,5756,77.0
2020-07-17,5978,77.0
2020-07-18,6195,77.0
2020-07-19,6271,77.0
2020-07-20,6301,77.0
2020-07-21,6492,82.0
2020-07-22,6762,85.0
2020-07-23,6981,85.0
2020-07-24,7239,88.0
2020-07-25,7415,90.0
2020-07-26,7621,90.0
2020-07-27,8019,89.0
2020-07-28,8274,92.0
2020-07-29,8444,94.0
2020-07-30,8669,96.0
2020-07-31,8910,97.0
2020-08-01,9214,98.0
2020-08-02,9357,98.0
2020-08-03,9439,98.0
2020-08-04,9593,102.0
2020-08-05,9950,107.0
2020-08-06,10113,109.0
2020-08-07,10300,112.0
2020-08-08,10424,112.0
2020-08-09,10560,112.0
2020-08-10,10665,112.0
2020-08-11,10794,115.0
