date,cases,deaths
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,2,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,5,0
2020-04-01,5,0
2020-04-02,5,0
2020-04-03,7,0
2020-04-04,7,0
2020-04-05,7,0
2020-04-06,8,0
2020-04-07,9,0
2020-04-08,9,0
2020-04-09,9,0
2020-04-10,9,0
2020-04-11,9,0
2020-04-12,9,0
2020-04-13,10,0
2020-04-14,10,1
2020-04-15,10,1
2020-04-16,10,1
2020-04-17,10,1
2020-04-18,10,1
2020-04-19,10,1
2020-04-20,10,1
2020-04-21,10,1
2020-04-22,10,1
2020-04-23,10,1
2020-04-24,10,1
2020-04-25,10,1
2020-04-26,10,1
2020-04-27,10,1
2020-04-28,10,1
2020-04-29,10,1
2020-04-30,10,1
2020-05-01,10,2
2020-05-02,10,2
2020-05-03,10,2
2020-05-04,10,2
2020-05-05,10,2
2020-05-06,10,2
2020-05-07,10,2
2020-05-08,10,2
2020-05-09,10,2
2020-05-10,10,2
2020-05-11,10,2
2020-05-12,10,2
2020-05-13,10,2
2020-05-14,10,2
2020-05-15,10,2
2020-05-16,11,2
2020-05-17,11,2
2020-05-18,11,2
