date,cases,deaths
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,5,0
2020-04-01,6,0
2020-04-02,7,1
2020-04-03,8,1
2020-04-04,9,1
2020-04-05,9,1
2020-04-06,11,1
2020-04-07,11,1
2020-04-08,11,1
2020-04-09,13,1
2020-04-10,13,1
2020-04-11,13,1
2020-04-12,14,1
2020-04-13,15,1
2020-04-14,15,1
2020-04-15,15,1
2020-04-16,15,1
2020-04-17,15,1
2020-04-18,15,1
2020-04-19,15,1
2020-04-20,19,1
2020-04-21,19,1
2020-04-22,19,1
2020-04-23,19,1
2020-04-24,19,1
2020-04-25,20,1
2020-04-26,20,1
2020-04-27,20,1
2020-04-28,22,1
2020-04-29,22,1
2020-04-30,22,1
2020-05-01,22,1
2020-05-02,22,1
2020-05-03,22,1
2020-05-04,22,1
2020-05-05,22,1
2020-05-06,22,1
2020-05-07,22,1
2020-05-08,22,1
2020-05-09,22,1
2020-05-10,22,1
2020-05-11,22,1
2020-05-12,22,1
2020-05-13,22,1
2020-05-14,22,1
2020-05-15,23,1
2020-05-16,24,1
2020-05-17,24,1
2020-05-18,26,1
2020-05-19,25,1
2020-05-20,25,1
2020-05-21,36,1
2020-05-22,37,1
2020-05-23,37,1
2020-05-24,37,1
2020-05-25,37,1
2020-05-26,37,1
2020-05-27,37,1
2020-05-28,37,1
2020-05-29,37,1
2020-05-30,38,1
2020-05-31,38,1
2020-06-01,38,1
2020-06-02,38,1
2020-06-03,40,1
2020-06-04,41,1
2020-06-05,41,1
2020-06-06,41,1
2020-06-07,44,1
2020-06-08,44,1
2020-06-09,43,1
2020-06-10,43,1
2020-06-11,44,1
2020-06-12,44,1
2020-06-13,44,1
2020-06-14,45,1
2020-06-15,45,1
2020-06-16,47,1
2020-06-17,48,1
2020-06-18,48,1
2020-06-19,48,1
2020-06-20,49,1
2020-06-21,49,1
2020-06-22,49,1
2020-06-23,49,1
2020-06-24,50,1
2020-06-25,52,1
2020-06-26,55,1
2020-06-27,55,1
2020-06-28,55,1
2020-06-29,55,1
2020-06-30,63,1
2020-07-01,63,1
2020-07-02,62,1
2020-07-03,64,1
2020-07-04,65,1
2020-07-05,65,1
2020-07-06,72,1
2020-07-07,70,1
2020-07-08,74,1
2020-07-09,76,1
2020-07-10,78,1
2020-07-11,81,1
2020-07-12,82,1
2020-07-13,83,1
2020-07-14,89,1
2020-07-15,102,1
2020-07-16,106,1
2020-07-17,111,1
2020-07-18,125,1
2020-07-19,125,1
2020-07-20,126,1
2020-07-21,130,1
2020-07-22,130,1
2020-07-23,130,1
2020-07-24,132,1
2020-07-25,142,1
2020-07-26,147,1
2020-07-27,151,1
2020-07-28,156,2
2020-07-29,164,2
2020-07-30,168,2
2020-07-31,168,2
2020-08-01,174,2
2020-08-02,174,2
2020-08-03,175,2
2020-08-04,182,2
2020-08-05,190,2
2020-08-06,192,2
2020-08-07,193,3
2020-08-08,198,3
2020-08-09,200,3
2020-08-10,201,3
2020-08-11,202,3
2020-08-12,204,3
2020-08-13,209,3
2020-08-14,215,3
2020-08-15,215,3
2020-08-16,217,3
2020-08-17,218,3
2020-08-18,225,3
2020-08-19,224,3
2020-08-20,224,3
2020-08-21,228,3
2020-08-22,228,4
2020-08-23,228,4
2020-08-24,235,4
2020-08-25,237,4
2020-08-26,241,4
2020-08-27,244,4
2020-08-28,247,4
2020-08-29,249,4
2020-08-30,251,4
2020-08-31,252,4
2020-09-01,253,4
2020-09-02,252,4
2020-09-03,256,4
2020-09-04,258,4
2020-09-05,267,4
2020-09-06,265,4
2020-09-07,269,4
2020-09-08,279,4
2020-09-09,294,4
2020-09-10,300,4
2020-09-11,304,4
2020-09-12,317,5
2020-09-13,319,5
2020-09-14,320,5
2020-09-15,339,5
2020-09-16,350,5
2020-09-17,356,5
2020-09-18,361,5
2020-09-19,374,5
2020-09-20,376,5
2020-09-21,378,5
2020-09-22,389,5
2020-09-23,393,5
2020-09-24,412,5
2020-09-25,416,5
2020-09-26,432,5
2020-09-27,433,5
2020-09-28,444,5
2020-09-29,450,5
2020-09-30,455,5
2020-10-01,458,5
2020-10-02,468,5
2020-10-03,470,5
2020-10-04,474,5
2020-10-05,476,5
2020-10-06,485,5
2020-10-07,489,5
2020-10-08,508,5
2020-10-09,511,5
2020-10-10,521,6
2020-10-11,523,6
2020-10-12,526,6
2020-10-13,536,7
2020-10-14,545,7
2020-10-15,562,8
2020-10-16,574,8
2020-10-17,592,8
2020-10-18,600,8
2020-10-19,604,8
2020-10-20,636,8
2020-10-21,640,8
2020-10-22,662,8
2020-10-23,675,8
2020-10-24,696,8
2020-10-25,703,8
2020-10-26,711,8
2020-10-27,741,8
2020-10-28,756,8
2020-10-29,765,8
2020-10-30,772,8
2020-10-31,805,8
2020-11-01,813,8
2020-11-02,816,8
2020-11-03,834,9
2020-11-04,864,9
2020-11-05,893,9
2020-11-06,910,9
2020-11-07,963,9
2020-11-08,963,9
2020-11-09,976,9
2020-11-10,989,9
2020-11-11,1014,10
2020-11-12,1065,10
2020-11-13,1091,10
2020-11-14,1116,11
2020-11-15,1149,12
2020-11-16,1174,12
2020-11-17,1178,12
2020-11-18,1218,12
2020-11-19,1277,12
2020-11-20,1312,13
2020-11-21,1369,13
2020-11-22,1415,14
2020-11-23,1466,15
2020-11-24,1490,15
2020-11-25,1549,16
2020-11-26,1549,16
2020-11-27,1591,16
