date,cases,deaths
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,2,0
2020-03-11,2,0
2020-03-12,2,0
2020-03-13,2,0
2020-03-14,2,0
2020-03-15,3,0
2020-03-16,3,0
2020-03-17,4,0
2020-03-18,4,0
2020-03-19,5,1
2020-03-20,5,1
2020-03-21,5,1
2020-03-22,6,1
2020-03-23,11,1
2020-03-24,12,1
2020-03-25,27,1
2020-03-26,41,1
2020-03-27,49,1
2020-03-28,57,3
2020-03-29,61,3
2020-03-30,65,3
2020-03-31,83,3
2020-04-01,115,3
2020-04-02,151,5
2020-04-03,175,8
2020-04-04,221,8
2020-04-05,240,8
2020-04-06,249,8
2020-04-07,273,14
2020-04-08,293,16
2020-04-09,308,16
2020-04-10,314,16
2020-04-11,323,16
2020-04-12,332,18
2020-04-13,337,18
2020-04-14,358,19
2020-04-15,362,21
2020-04-16,376,21
2020-04-17,390,22
2020-04-18,409,22
2020-04-19,411,22
2020-04-20,422,22
2020-04-21,432,25
2020-04-22,437,25
2020-04-23,454,26
2020-04-24,467,27
2020-04-25,479,27
2020-04-26,491,27
2020-04-27,490,28
2020-04-28,506,32
2020-04-29,522,33
2020-04-30,567,33
2020-05-01,584,33
2020-05-02,607,34
2020-05-03,628,34
2020-05-04,639,34
2020-05-05,645,36
2020-05-06,653,36
2020-05-07,676,36
2020-05-08,684,36
2020-05-09,695,36
2020-05-10,700,36
2020-05-11,708,36
2020-05-12,717,37
2020-05-13,734,37
2020-05-14,743,37
2020-05-15,752,37
2020-05-16,776,37
2020-05-17,781,37
2020-05-18,787,37
2020-05-19,802,37
2020-05-20,814,39
2020-05-21,852,40
2020-05-22,890,41
2020-05-23,903,44
2020-05-24,915,44
2020-05-25,926,44
2020-05-26,935,47
2020-05-27,958,49
2020-05-28,960,49
2020-05-29,983,51
2020-05-30,998,54
2020-05-31,1014,54
2020-06-01,1022,54
2020-06-02,1057,57
2020-06-03,1087,57
2020-06-04,1109,59
2020-06-05,1134,59
2020-06-06,1165,59
2020-06-07,1188,60
2020-06-08,1196,60
2020-06-09,1261,61
2020-06-10,1308,61
2020-06-11,1372,62
2020-06-12,1443,62
2020-06-13,1525,62
2020-06-14,1564,62
2020-06-15,1653,62
2020-06-16,1729,64
2020-06-17,1825,64
2020-06-18,1945,65
2020-06-19,2070,65
2020-06-20,2206,66
2020-06-21,2349,66
2020-06-22,2392,66
2020-06-23,2483,66
2020-06-24,2742,66
2020-06-25,2949,66
2020-06-26,3103,66
2020-06-27,3178,67
2020-06-28,3251,67
2020-06-29,3304,67
2020-06-30,3424,67
2020-07-01,3544,69
2020-07-02,3680,70
2020-07-03,3792,72
2020-07-04,3974,72
2020-07-05,4035,72
2020-07-06,4104,72
2020-07-07,4365,71
2020-07-08,4571,72
2020-07-09,4693,72
2020-07-10,4828,75
2020-07-11,5005,75
2020-07-12,5099,75
2020-07-13,5267,76
2020-07-14,5448,78
2020-07-15,5626,79
2020-07-16,5790,81
2020-07-17,5997,83
2020-07-18,6243,84
2020-07-19,6285,84
2020-07-20,6316,85
2020-07-21,6536,86
2020-07-22,6744,89
2020-07-23,6856,89
2020-07-24,7111,89
2020-07-25,7307,90
2020-07-26,7557,90
2020-07-27,7912,90
2020-07-28,8177,93
2020-07-29,8319,94
2020-07-30,8636,98
2020-07-31,8710,98
2020-08-01,8986,101
2020-08-02,9051,101
2020-08-03,9159,101
2020-08-04,9418,101
2020-08-05,9742,103
2020-08-06,9969,105
2020-08-07,10135,106
2020-08-08,10389,107
2020-08-09,10465,107
2020-08-10,10562,107
2020-08-11,10747,108
2020-08-12,10898,110
2020-08-13,10999,113
2020-08-14,11130,113
2020-08-15,11312,113
2020-08-16,11375,114
2020-08-17,11443,116
2020-08-18,11614,120
2020-08-19,11763,122
2020-08-20,11873,123
2020-08-21,12095,123
2020-08-22,12253,125
2020-08-23,12312,125
2020-08-24,12391,126
2020-08-25,12559,127
2020-08-26,12714,128
2020-08-27,12831,128
2020-08-28,12941,129
2020-08-29,13104,132
2020-08-30,13175,132
2020-08-31,13233,132
2020-09-01,13376,134
2020-09-02,13557,135
2020-09-03,13742,136
2020-09-04,13923,137
2020-09-05,14123,139
2020-09-06,14183,139
2020-09-07,14271,139
2020-09-08,14473,140
2020-09-09,14655,143
2020-09-10,14764,143
2020-09-11,14891,144
2020-09-12,15048,144
2020-09-13,15146,144
2020-09-14,15202,144
2020-09-15,15358,147
2020-09-16,15469,149
2020-09-17,15654,151
2020-09-18,15794,152
2020-09-19,15905,152
2020-09-20,15975,152
2020-09-21,16034,152
2020-09-22,16207,153
2020-09-23,16363,155
2020-09-24,16487,156
2020-09-25,16683,159
