date,cases,deaths
2020-03-16,1,0.0
2020-03-17,1,0.0
2020-03-18,2,0.0
2020-03-19,2,0.0
2020-03-20,2,0.0
2020-03-21,2,0.0
2020-03-22,4,0.0
2020-03-23,4,0.0
2020-03-24,4,0.0
2020-03-25,6,0.0
2020-03-26,6,0.0
2020-03-27,6,0.0
2020-03-28,9,0.0
2020-03-29,9,0.0
2020-03-30,10,0.0
2020-03-31,12,1.0
2020-04-01,13,1.0
2020-04-02,15,1.0
2020-04-03,17,1.0
2020-04-04,19,1.0
2020-04-05,19,1.0
2020-04-06,21,1.0
2020-04-07,21,1.0
2020-04-08,21,1.0
2020-04-09,21,2.0
2020-04-10,21,2.0
2020-04-11,22,2.0
2020-04-12,23,2.0
2020-04-13,23,2.0
2020-04-14,24,3.0
2020-04-15,25,3.0
2020-04-16,27,4.0
2020-04-17,27,4.0
2020-04-18,27,4.0
2020-04-19,27,5.0
2020-04-20,28,5.0
2020-04-21,27,5.0
2020-04-22,27,5.0
2020-04-23,27,5.0
2020-04-24,27,5.0
2020-04-25,28,5.0
2020-04-26,29,5.0
2020-04-27,29,5.0
2020-04-28,29,5.0
2020-04-29,29,5.0
2020-04-30,30,5.0
2020-05-01,32,5.0
2020-05-02,32,5.0
2020-05-03,32,5.0
2020-05-04,36,5.0
2020-05-05,39,5.0
2020-05-06,40,5.0
2020-05-07,44,5.0
2020-05-08,43,5.0
2020-05-09,44,5.0
2020-05-10,47,5.0
2020-05-11,49,5.0
2020-05-12,50,5.0
2020-05-13,50,5.0
2020-05-14,50,5.0
2020-05-15,51,5.0
2020-05-16,51,5.0
2020-05-17,51,5.0
2020-05-18,54,5.0
2020-05-19,54,5.0
2020-05-20,55,5.0
2020-05-21,55,5.0
2020-05-22,55,5.0
2020-05-23,55,5.0
2020-05-24,55,5.0
2020-05-25,55,5.0
2020-05-26,55,5.0
2020-05-27,55,5.0
2020-05-28,55,5.0
2020-05-29,55,5.0
2020-05-30,55,5.0
2020-05-31,55,5.0
2020-06-01,55,5.0
2020-06-02,56,5.0
2020-06-03,57,5.0
2020-06-04,57,5.0
2020-06-05,62,5.0
2020-06-06,62,5.0
2020-06-07,62,5.0
2020-06-08,62,5.0
2020-06-09,63,5.0
2020-06-10,63,5.0
2020-06-11,63,5.0
2020-06-12,63,5.0
2020-06-13,63,5.0
2020-06-14,63,5.0
2020-06-15,63,5.0
2020-06-16,63,5.0
2020-06-17,66,5.0
2020-06-18,66,5.0
2020-06-19,66,5.0
2020-06-20,66,5.0
2020-06-21,67,5.0
2020-06-22,69,5.0
2020-06-23,68,5.0
2020-06-24,70,5.0
2020-06-25,76,5.0
2020-06-26,80,5.0
2020-06-27,82,5.0
2020-06-28,82,5.0
2020-06-29,82,5.0
2020-06-30,82,5.0
2020-07-01,84,5.0
2020-07-02,83,5.0
2020-07-03,91,5.0
2020-07-04,93,5.0
2020-07-05,94,5.0
2020-07-06,95,5.0
2020-07-07,97,5.0
2020-07-08,98,6.0
2020-07-09,99,6.0
2020-07-10,105,6.0
2020-07-11,112,6.0
2020-07-12,114,6.0
2020-07-13,115,6.0
2020-07-14,116,6.0
2020-07-15,117,6.0
2020-07-16,122,6.0
2020-07-17,124,6.0
2020-07-18,128,6.0
2020-07-19,128,6.0
2020-07-20,128,6.0
2020-07-21,129,6.0
2020-07-22,132,6.0
2020-07-23,132,6.0
2020-07-24,132,6.0
2020-07-25,133,6.0
2020-07-26,134,6.0
2020-07-27,136,6.0
2020-07-28,138,6.0
2020-07-29,141,6.0
2020-07-30,148,6.0
2020-07-31,151,6.0
2020-08-01,154,6.0
2020-08-02,155,6.0
