date,cases,deaths
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,3,0
2020-03-24,7,0
2020-03-25,8,0
2020-03-26,9,0
2020-03-27,11,0
2020-03-28,15,0
2020-03-29,22,0
2020-03-30,24,0
2020-03-31,26,0
2020-04-01,27,0
2020-04-02,28,0
2020-04-03,32,0
2020-04-04,39,0
2020-04-05,43,0
2020-04-06,44,0
2020-04-07,55,0
2020-04-08,57,0
2020-04-09,59,0
2020-04-10,61,0
2020-04-11,69,0
2020-04-12,70,0
2020-04-13,70,0
2020-04-14,70,0
2020-04-15,72,0
2020-04-16,73,0
2020-04-17,73,1
2020-04-18,73,1
2020-04-19,73,1
2020-04-20,73,1
2020-04-21,77,2
2020-04-22,76,2
2020-04-23,76,2
2020-04-24,77,2
2020-04-25,81,2
2020-04-26,81,2
2020-04-27,87,2
2020-04-28,93,2
2020-04-29,95,2
2020-04-30,96,2
2020-05-01,96,2
2020-05-02,96,2
2020-05-03,102,2
2020-05-04,105,2
2020-05-05,106,2
2020-05-06,113,2
2020-05-07,116,2
2020-05-08,117,2
2020-05-09,117,2
2020-05-10,119,2
2020-05-11,119,2
2020-05-12,122,2
2020-05-13,126,4
2020-05-14,128,6
2020-05-15,129,6
2020-05-16,129,6
2020-05-17,131,6
2020-05-18,133,5
2020-05-19,132,5
2020-05-20,133,5
2020-05-21,136,5
2020-05-22,138,5
2020-05-23,143,6
2020-05-24,146,6
2020-05-25,147,6
2020-05-26,148,6
2020-05-27,149,6
2020-05-28,150,6
2020-05-29,151,6
2020-05-30,152,7
2020-05-31,153,7
2020-06-01,154,7
