date,cases,deaths
2020-03-13,1,0.0
2020-03-14,2,0.0
2020-03-15,4,0.0
2020-03-16,4,0.0
2020-03-17,4,0.0
2020-03-18,9,0.0
2020-03-19,10,0.0
2020-03-20,17,0.0
2020-03-21,19,0.0
2020-03-22,23,0.0
2020-03-23,40,0.0
2020-03-24,40,0.0
2020-03-25,54,0.0
2020-03-26,84,0.0
2020-03-27,107,0.0
2020-03-28,116,0.0
2020-03-29,137,0.0
2020-03-30,146,0.0
2020-03-31,159,1.0
2020-04-01,183,1.0
2020-04-02,210,2.0
2020-04-03,226,2.0
2020-04-04,250,2.0
2020-04-05,269,2.0
2020-04-06,307,3.0
2020-04-07,335,6.0
2020-04-08,373,6.0
2020-04-09,425,7.0
2020-04-10,485,9.0
2020-04-11,532,15.0
2020-04-12,562,17.0
2020-04-13,593,17.0
2020-04-14,636,20.0
2020-04-15,675,25.0
2020-04-16,722,28.0
2020-04-17,773,30.0
2020-04-18,831,36.0
2020-04-19,877,42.0
2020-04-20,915,44.0
2020-04-21,943,65.0
2020-04-22,977,67.0
2020-04-23,1017,64.0
2020-04-24,1102,77.0
2020-04-25,1174,82.0
2020-04-26,1217,82.0
2020-04-27,1251,81.0
2020-04-28,1289,85.0
2020-04-29,1339,102.0
2020-04-30,1412,111.0
2020-05-01,1470,112.0
2020-05-02,1514,117.0
2020-05-03,1546,117.0
2020-05-04,1605,118.0
2020-05-05,1647,149.0
2020-05-06,1677,156.0
2020-05-07,1716,167.0
2020-05-08,1770,176.0
2020-05-09,1816,183.0
2020-05-10,1906,184.0
2020-05-11,1926,187.0
2020-05-12,1973,189.0
2020-05-13,1996,197.0
2020-05-14,2008,213.0
2020-05-15,2102,218.0
2020-05-16,2143,222.0
2020-05-17,2163,220.0
2020-05-18,2163,227.0
2020-05-19,2242,230.0
2020-05-20,2242,235.0
2020-05-21,2267,238.0
2020-05-22,2363,242.0
2020-05-23,2403,245.0
2020-05-24,2428,248.0
2020-05-25,2428,251.0
2020-05-26,2497,252.0
2020-05-27,2545,260.0
2020-05-28,2595,270.0
2020-05-29,2647,277.0
2020-05-30,2708,280.0
2020-05-31,2769,281.0
2020-06-01,2824,281.0
2020-06-02,2864,284.0
2020-06-03,2902,287.0
2020-06-04,2943,294.0
2020-06-05,2999,296.0
2020-06-06,3014,297.0
2020-06-07,3091,297.0
2020-06-08,3139,298.0
2020-06-09,3172,303.0
2020-06-10,3198,304.0
2020-06-11,3227,304.0
2020-06-12,3287,306.0
2020-06-13,3287,307.0
2020-06-14,3337,307.0
2020-06-15,3356,307.0
2020-06-16,3387,309.0
2020-06-17,3411,311.0
2020-06-18,3438,312.0
2020-06-19,3479,313.0
2020-06-20,3499,315.0
2020-06-21,3529,316.0
2020-06-22,3557,316.0
2020-06-23,3580,317.0
2020-06-24,3601,319.0
2020-06-25,3620,321.0
2020-06-26,3649,323.0
2020-06-27,3649,323.0
2020-06-28,3658,323.0
2020-06-29,3718,323.0
2020-06-30,3751,324.0
2020-07-01,3775,324.0
2020-07-02,3796,328.0
2020-07-03,3796,329.0
2020-07-04,3800,329.0
2020-07-05,3831,329.0
2020-07-06,3882,329.0
2020-07-07,3906,330.0
2020-07-08,3936,333.0
2020-07-09,3961,333.0
2020-07-10,3998,335.0
2020-07-11,3998,335.0
2020-07-12,4012,335.0
