date,cases,deaths
2020-03-18,2,0
2020-03-19,3,0
2020-03-20,5,0
2020-03-21,6,0
2020-03-22,6,0
2020-03-23,7,1
2020-03-24,15,1
2020-03-25,18,2
2020-03-26,28,2
2020-03-27,35,2
2020-03-28,51,2
2020-03-29,56,2
2020-03-30,62,2
2020-03-31,78,3
2020-04-01,85,3
2020-04-02,108,3
2020-04-03,119,4
2020-04-04,146,6
2020-04-05,172,6
2020-04-06,190,7
2020-04-07,235,8
2020-04-08,266,10
2020-04-09,312,16
2020-04-10,346,18
2020-04-11,392,20
2020-04-12,427,20
2020-04-13,459,21
2020-04-14,501,24
2020-04-15,527,26
2020-04-16,559,28
2020-04-17,592,30
2020-04-18,620,35
2020-04-19,636,41
2020-04-20,646,41
2020-04-21,666,53
2020-04-22,682,57
2020-04-23,707,58
2020-04-24,735,61
2020-04-25,772,63
2020-04-26,793,63
2020-04-27,833,63
2020-04-28,854,71
2020-04-29,873,81
2020-04-30,913,82
2020-05-01,934,83
2020-05-02,968,83
2020-05-03,999,86
2020-05-04,1017,87
2020-05-05,1038,103
2020-05-06,1076,106
2020-05-07,1093,112
2020-05-08,1114,113
2020-05-09,1134,115
2020-05-10,1172,117
2020-05-11,1187,117
2020-05-12,1211,124
2020-05-13,1232,128
2020-05-14,1256,135
2020-05-15,1273,141
2020-05-16,1327,147
2020-05-17,1344,149
2020-05-18,1363,125
2020-05-19,1374,127
2020-05-20,1400,132
2020-05-21,1432,137
2020-05-22,1451,148
2020-05-23,1476,152
2020-05-24,1491,153
2020-05-25,1494,153
2020-05-26,1503,155
2020-05-27,1511,159
2020-05-28,1516,163
2020-05-29,1528,166
2020-05-30,1543,170
2020-05-31,1547,170
2020-06-01,1551,171
2020-06-02,1555,174
2020-06-03,1556,180
2020-06-04,1569,182
2020-06-05,1575,185
2020-06-06,1579,187
2020-06-07,1583,187
2020-06-08,1584,188
2020-06-09,1587,189
2020-06-10,1591,189
2020-06-11,1595,191
2020-06-12,1598,191
2020-06-13,1600,194
2020-06-14,1601,194
2020-06-15,1602,196
2020-06-16,1608,197
2020-06-17,1611,199
2020-06-18,1611,200
2020-06-19,1617,200
2020-06-20,1622,200
2020-06-21,1622,200
2020-06-22,1627,200
2020-06-23,1630,200
2020-06-24,1638,201
2020-06-25,1648,202
2020-06-26,1662,202
2020-06-27,1680,202
2020-06-28,1684,202
2020-06-29,1694,202
2020-06-30,1703,203
2020-07-01,1707,203
2020-07-02,1714,204
2020-07-03,1719,207
2020-07-04,1725,207
2020-07-05,1733,207
2020-07-06,1734,207
2020-07-07,1740,207
2020-07-08,1743,208
2020-07-09,1749,209
2020-07-10,1753,209
2020-07-11,1756,209
2020-07-12,1761,209
2020-07-13,1764,209
2020-07-14,1770,211
2020-07-15,1771,211
2020-07-16,1777,212
2020-07-17,1788,212
2020-07-18,1796,212
2020-07-19,1805,212
2020-07-20,1808,212
2020-07-21,1817,212
2020-07-22,1823,212
2020-07-23,1833,212
2020-07-24,1845,212
2020-07-25,1851,212
2020-07-26,1854,212
2020-07-27,1860,212
2020-07-28,1866,212
2020-07-29,1878,212
2020-07-30,1885,212
2020-07-31,1894,212
2020-08-01,1898,212
2020-08-02,1900,212
2020-08-03,1901,212
2020-08-04,1903,212
2020-08-05,1912,212
2020-08-06,1916,212
2020-08-07,1922,212
2020-08-08,1927,212
2020-08-09,1932,212
2020-08-10,1940,212
2020-08-11,1944,212
2020-08-12,1946,212
2020-08-13,1952,212
2020-08-14,1957,212
2020-08-15,1960,212
2020-08-16,1963,212
2020-08-17,1966,212
2020-08-18,1967,212
2020-08-19,1970,212
2020-08-20,1975,213
2020-08-21,1981,213
2020-08-22,1987,213
2020-08-23,1995,213
2020-08-24,1999,213
2020-08-25,2002,213
2020-08-26,2008,213
2020-08-27,2012,213
2020-08-28,2027,213
2020-08-29,2061,213
2020-08-30,2079,213
2020-08-31,2085,213
2020-09-01,2093,214
2020-09-02,2117,214
2020-09-03,2129,214
2020-09-04,2154,214
2020-09-05,2176,214
2020-09-06,2201,214
2020-09-07,2205,214
2020-09-08,2210,214
2020-09-09,2218,214
2020-09-10,2225,214
2020-09-11,2262,214
2020-09-12,2301,214
2020-09-13,2301,214
2020-09-14,2321,215
2020-09-15,2329,215
2020-09-16,2332,215
2020-09-17,2337,215
2020-09-18,2359,215
2020-09-19,2375,215
2020-09-20,2396,216
2020-09-21,2401,216
2020-09-22,2410,216
2020-09-23,2417,216
2020-09-24,2424,217
2020-09-25,2459,217
2020-09-26,2505,217
2020-09-27,2541,217
2020-09-28,2555,217
2020-09-29,2579,217
2020-09-30,2594,217
2020-10-01,2619,217
2020-10-02,2656,217
2020-10-03,2656,216
2020-10-04,2713,216
2020-10-05,2731,216
2020-10-06,2747,216
2020-10-07,2769,216
2020-10-08,2799,216
2020-10-09,2844,217
2020-10-10,2908,217
2020-10-11,2936,217
2020-10-12,2974,217
2020-10-13,3022,217
2020-10-14,3065,217
2020-10-15,3125,217
2020-10-16,3197,217
2020-10-17,3244,217
2020-10-18,3290,217
2020-10-19,3314,217
2020-10-20,3356,217
2020-10-21,3400,218
2020-10-22,3454,218
2020-10-23,3536,218
2020-10-24,3570,218
2020-10-25,3629,218
2020-10-26,3653,218
2020-10-27,3702,218
2020-10-28,3746,218
2020-10-29,3780,218
2020-10-30,3817,219
2020-10-31,3846,219
2020-11-01,3875,219
2020-11-02,3901,219
2020-11-03,3936,220
