date,cases,deaths
2020-03-30,4,0.0
2020-03-31,4,0.0
2020-04-01,4,0.0
2020-04-02,4,0.0
2020-04-03,4,0.0
2020-04-04,5,0.0
2020-04-05,6,0.0
2020-04-06,6,0.0
2020-04-07,7,0.0
2020-04-08,8,0.0
2020-04-09,11,0.0
2020-04-10,12,0.0
2020-04-11,14,0.0
2020-04-12,19,0.0
2020-04-13,21,0.0
2020-04-14,23,0.0
2020-04-15,23,0.0
2020-04-16,25,0.0
2020-04-17,26,0.0
2020-04-18,27,0.0
2020-04-19,27,0.0
2020-04-20,28,0.0
2020-04-21,29,0.0
2020-04-22,30,0.0
2020-04-23,30,0.0
2020-04-24,31,0.0
2020-04-25,31,0.0
2020-04-26,31,0.0
2020-04-27,31,0.0
2020-04-28,33,0.0
2020-04-29,33,0.0
2020-04-30,36,0.0
2020-05-01,37,0.0
2020-05-02,38,0.0
2020-05-03,38,0.0
2020-05-04,38,0.0
2020-05-05,38,1.0
2020-05-06,39,1.0
2020-05-07,40,1.0
2020-05-08,40,1.0
2020-05-09,40,1.0
2020-05-10,40,1.0
2020-05-11,41,1.0
2020-05-12,41,1.0
2020-05-13,42,1.0
2020-05-14,43,1.0
2020-05-15,44,1.0
2020-05-16,46,1.0
2020-05-17,47,1.0
2020-05-18,51,1.0
2020-05-19,50,1.0
2020-05-20,56,1.0
2020-05-21,61,1.0
2020-05-22,61,1.0
2020-05-23,52,1.0
2020-05-24,53,1.0
2020-05-25,54,1.0
2020-05-26,56,1.0
2020-05-27,56,1.0
2020-05-28,56,1.0
2020-05-29,57,1.0
2020-05-30,59,1.0
2020-05-31,59,1.0
2020-06-01,62,1.0
2020-06-02,60,1.0
2020-06-03,63,1.0
2020-06-04,65,1.0
2020-06-05,70,1.0
2020-06-06,71,2.0
2020-06-07,73,2.0
2020-06-08,73,2.0
2020-06-09,74,2.0
2020-06-10,75,2.0
2020-06-11,79,2.0
2020-06-12,81,2.0
2020-06-13,81,2.0
2020-06-14,83,2.0
2020-06-15,88,2.0
2020-06-16,84,2.0
2020-06-17,83,2.0
2020-06-18,83,2.0
2020-06-19,84,2.0
2020-06-20,85,2.0
2020-06-21,88,2.0
2020-06-22,89,2.0
2020-06-23,89,2.0
2020-06-24,89,2.0
2020-06-25,89,2.0
2020-06-26,90,2.0
2020-06-27,90,2.0
2020-06-28,90,2.0
2020-06-29,92,2.0
2020-06-30,92,2.0
2020-07-01,91,2.0
2020-07-02,93,2.0
2020-07-03,94,2.0
2020-07-04,95,2.0
2020-07-05,95,2.0
2020-07-06,95,2.0
2020-07-07,96,2.0
2020-07-08,98,2.0
2020-07-09,97,2.0
2020-07-10,97,2.0
2020-07-11,98,2.0
2020-07-12,99,2.0
2020-07-13,100,2.0
2020-07-14,105,2.0
2020-07-15,108,2.0
2020-07-16,108,2.0
2020-07-17,109,2.0
2020-07-18,110,2.0
2020-07-19,111,2.0
2020-07-20,114,2.0
2020-07-21,113,2.0
2020-07-22,113,2.0
2020-07-23,115,2.0
2020-07-24,116,2.0
2020-07-25,119,2.0
2020-07-26,123,2.0
2020-07-27,124,2.0
2020-07-28,128,2.0
2020-07-29,129,2.0
2020-07-30,135,2.0
2020-07-31,132,2.0
2020-08-01,165,2.0
2020-08-02,172,2.0
2020-08-03,173,2.0
2020-08-04,191,2.0
2020-08-05,201,2.0
2020-08-06,206,2.0
