date,cases,deaths
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,0.0
2020-04-06,1,0.0
2020-04-07,1,0.0
2020-04-08,1,0.0
2020-04-09,1,0.0
2020-04-10,1,0.0
2020-04-11,1,0.0
2020-04-12,1,0.0
2020-04-13,1,0.0
2020-04-14,1,0.0
2020-04-15,1,0.0
2020-04-16,1,0.0
2020-04-17,1,0.0
2020-04-18,1,0.0
2020-04-19,1,0.0
2020-04-20,1,0.0
2020-04-21,2,1.0
2020-04-22,2,1.0
2020-04-23,1,1.0
2020-04-24,1,1.0
2020-04-25,1,1.0
2020-04-26,1,1.0
2020-04-27,1,1.0
2020-04-28,1,1.0
2020-04-29,1,1.0
2020-04-30,1,1.0
2020-05-01,1,1.0
2020-05-02,1,1.0
2020-05-03,1,1.0
2020-05-04,1,1.0
2020-05-05,1,1.0
2020-05-06,1,1.0
2020-05-07,1,1.0
2020-05-08,1,1.0
2020-05-09,1,1.0
2020-05-10,1,1.0
2020-05-11,1,1.0
2020-05-12,1,1.0
2020-05-13,2,1.0
2020-05-14,2,1.0
2020-05-15,2,1.0
2020-05-16,2,1.0
2020-05-17,2,1.0
2020-05-18,2,1.0
2020-05-19,2,1.0
2020-05-20,2,0.0
2020-05-21,3,0.0
2020-05-22,3,0.0
2020-05-23,3,0.0
2020-05-24,3,0.0
2020-05-25,3,0.0
2020-05-26,3,0.0
2020-05-27,3,0.0
2020-05-28,3,0.0
2020-05-29,3,0.0
2020-05-30,3,0.0
2020-05-31,3,0.0
2020-06-01,3,0.0
2020-06-02,3,0.0
2020-06-03,4,0.0
2020-06-04,5,0.0
2020-06-05,5,0.0
2020-06-06,5,0.0
2020-06-07,5,0.0
2020-06-08,5,0.0
2020-06-09,5,0.0
2020-06-10,5,0.0
2020-06-11,5,0.0
2020-06-12,5,0.0
2020-06-13,5,0.0
2020-06-14,5,0.0
2020-06-15,5,0.0
2020-06-16,5,0.0
2020-06-17,5,0.0
2020-06-18,5,0.0
2020-06-19,5,0.0
2020-06-20,5,0.0
2020-06-21,5,0.0
2020-06-22,5,0.0
2020-06-23,5,0.0
2020-06-24,5,0.0
2020-06-25,5,0.0
2020-06-26,5,0.0
2020-06-27,5,0.0
2020-06-28,5,0.0
2020-06-29,5,0.0
2020-06-30,6,0.0
2020-07-01,7,0.0
2020-07-02,7,1.0
2020-07-03,7,1.0
2020-07-04,7,1.0
2020-07-05,7,1.0
2020-07-06,7,1.0
2020-07-07,7,1.0
2020-07-08,7,1.0
2020-07-09,7,1.0
2020-07-10,9,1.0
2020-07-11,9,1.0
2020-07-12,10,1.0
2020-07-13,10,1.0
2020-07-14,10,1.0
2020-07-15,11,1.0
2020-07-16,11,1.0
2020-07-17,11,1.0
2020-07-18,12,1.0
2020-07-19,13,1.0
2020-07-20,13,1.0
2020-07-21,14,1.0
2020-07-22,14,1.0
2020-07-23,14,1.0
2020-07-24,14,1.0
2020-07-25,14,1.0
2020-07-26,14,1.0
2020-07-27,14,1.0
2020-07-28,14,1.0
2020-07-29,15,1.0
2020-07-30,15,1.0
2020-07-31,15,1.0
2020-08-01,16,1.0
2020-08-02,18,1.0
2020-08-03,19,1.0
2020-08-04,20,1.0
2020-08-05,20,1.0
2020-08-06,20,1.0
2020-08-07,22,1.0
2020-08-08,23,1.0
2020-08-09,23,1.0
2020-08-10,23,1.0
2020-08-11,23,1.0
2020-08-12,23,1.0
2020-08-13,22,1.0
2020-08-14,22,1.0
2020-08-15,23,1.0
2020-08-16,23,1.0
2020-08-17,23,1.0
2020-08-18,23,1.0
2020-08-19,23,1.0
2020-08-20,23,1.0
2020-08-21,26,1.0
2020-08-22,25,1.0
2020-08-23,26,1.0
2020-08-24,26,1.0
2020-08-25,26,1.0
2020-08-26,26,1.0
2020-08-27,26,1.0
2020-08-28,27,1.0
2020-08-29,27,1.0
2020-08-30,27,1.0
2020-08-31,27,1.0
2020-09-01,28,1.0
2020-09-02,31,1.0
2020-09-03,34,1.0
2020-09-04,36,1.0
2020-09-05,36,1.0
2020-09-06,37,1.0
2020-09-07,37,1.0
2020-09-08,37,1.0
2020-09-09,40,1.0
2020-09-10,40,1.0
2020-09-11,40,1.0
2020-09-12,40,1.0
2020-09-13,40,1.0
2020-09-14,41,1.0
2020-09-15,43,1.0
2020-09-16,42,1.0
2020-09-17,42,1.0
2020-09-18,42,1.0
2020-09-19,42,1.0
2020-09-20,42,1.0
2020-09-21,42,1.0
2020-09-22,42,1.0
2020-09-23,42,1.0
2020-09-24,42,1.0
2020-09-25,42,1.0
2020-09-26,43,1.0
2020-09-27,43,1.0
2020-09-28,43,1.0
2020-09-29,44,1.0
2020-09-30,44,1.0
2020-10-01,44,1.0
2020-10-02,44,1.0
2020-10-03,44,1.0
2020-10-04,45,1.0
2020-10-05,45,1.0
2020-10-06,46,1.0
2020-10-07,46,1.0
2020-10-08,46,1.0
2020-10-09,50,1.0
2020-10-10,52,1.0
2020-10-11,56,1.0
2020-10-12,56,1.0
2020-10-13,57,1.0
2020-10-14,58,1.0
2020-10-15,58,1.0
2020-10-16,59,1.0
2020-10-17,59,1.0
2020-10-18,59,1.0
2020-10-19,59,1.0
2020-10-20,59,1.0
2020-10-21,60,1.0
2020-10-22,62,1.0
2020-10-23,62,1.0
2020-10-24,62,1.0
2020-10-25,62,1.0
2020-10-26,63,1.0
2020-10-27,64,1.0
2020-10-28,66,1.0
2020-10-29,66,1.0
2020-10-30,71,1.0
2020-10-31,71,1.0
2020-11-01,71,1.0
2020-11-02,74,1.0
2020-11-03,78,1.0
2020-11-04,80,1.0
2020-11-05,81,1.0
2020-11-06,82,1.0
2020-11-07,83,1.0
2020-11-08,85,1.0
2020-11-09,85,1.0
2020-11-10,90,1.0
2020-11-11,93,1.0
2020-11-12,96,1.0
