date,cases,deaths
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,1,0
2020-03-11,1,0
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,2,0
2020-03-23,3,0
2020-03-24,4,0
2020-03-25,4,0
2020-03-26,6,0
2020-03-27,6,0
2020-03-28,6,0
2020-03-29,7,0
2020-03-30,10,0
2020-03-31,10,0
2020-04-01,14,0
2020-04-02,17,0
2020-04-03,23,0
2020-04-04,28,0
2020-04-05,33,0
2020-04-06,35,0
2020-04-07,40,0
2020-04-08,47,0
2020-04-09,49,0
2020-04-10,53,0
2020-04-11,57,1
2020-04-12,63,1
2020-04-13,67,1
2020-04-14,70,1
2020-04-15,75,2
2020-04-16,77,2
2020-04-17,81,2
2020-04-18,84,2
2020-04-19,84,3
2020-04-20,85,3
2020-04-21,86,3
2020-04-22,86,3
2020-04-23,87,3
2020-04-24,88,3
2020-04-25,92,3
2020-04-26,92,3
2020-04-27,93,3
2020-04-28,93,3
2020-04-29,95,5
2020-04-30,100,5
2020-05-01,102,5
2020-05-02,104,5
2020-05-03,109,5
2020-05-04,109,5
2020-05-05,109,5
2020-05-06,110,5
2020-05-07,113,5
2020-05-08,113,5
2020-05-09,116,5
2020-05-10,117,5
2020-05-11,117,5
2020-05-12,117,5
2020-05-13,107,5
2020-05-14,107,5
2020-05-15,107,7
2020-05-16,108,7
2020-05-17,108,7
2020-05-18,108,7
2020-05-19,110,7
2020-05-20,110,7
2020-05-21,112,7
2020-05-22,115,6
2020-05-23,117,7
2020-05-24,117,7
2020-05-25,118,7
2020-05-26,118,7
2020-05-27,118,7
2020-05-28,118,7
2020-05-29,119,7
2020-05-30,119,8
2020-05-31,119,8
2020-06-01,120,8
2020-06-02,120,8
2020-06-03,120,8
2020-06-04,121,8
2020-06-05,123,9
2020-06-06,123,9
2020-06-07,126,9
2020-06-08,124,9
2020-06-09,124,9
2020-06-10,123,9
2020-06-11,125,9
2020-06-12,125,9
2020-06-13,126,9
2020-06-14,126,9
2020-06-15,126,9
2020-06-16,126,9
2020-06-17,126,9
2020-06-18,128,9
2020-06-19,129,9
2020-06-20,130,9
2020-06-21,130,9
2020-06-22,130,9
2020-06-23,131,9
2020-06-24,131,9
2020-06-25,133,9
2020-06-26,138,9
2020-06-27,138,9
2020-06-28,139,9
2020-06-29,139,9
2020-06-30,140,9
2020-07-01,140,9
2020-07-02,140,9
