date,cases,deaths
2020-05-05,5,
2020-05-06,5,
2020-05-07,5,
2020-05-08,7,
2020-05-09,7,
2020-05-10,8,
2020-05-11,9,
2020-05-12,9,
2020-05-13,9,
2020-05-14,12,
2020-05-15,12,
2020-05-16,12,
2020-05-17,12,
2020-05-18,11,
2020-05-19,11,
2020-05-20,11,
2020-05-21,13,
2020-05-22,14,
2020-05-23,16,
2020-05-24,16,
2020-05-25,16,
2020-05-26,16,
2020-05-27,16,
2020-05-28,20,
2020-05-29,22,
2020-05-30,22,
2020-05-31,22,
2020-06-01,23,
2020-06-02,24,
2020-06-03,24,
2020-06-04,31,
2020-06-05,31,
2020-06-06,34,
2020-06-07,34,
2020-06-08,34,
2020-06-09,37,
2020-06-10,37,
2020-06-11,37,
2020-06-12,37,
2020-06-13,37,
2020-06-14,37,
2020-06-15,37,
2020-06-16,37,
2020-06-17,37,
2020-06-18,37,
2020-06-19,37,
2020-06-20,37,
2020-06-21,37,
2020-06-22,37,
2020-06-23,37,
2020-06-24,37,
2020-06-25,43,
2020-06-26,43,
2020-06-27,44,
2020-06-28,45,
2020-06-29,45,
2020-06-30,45,
2020-07-01,46,
2020-07-02,46,
2020-07-03,46,
2020-07-04,47,
2020-07-05,49,
2020-07-06,60,
2020-07-07,63,
2020-07-08,63,
2020-07-09,66,
2020-07-10,66,
2020-07-11,70,
2020-07-12,75,
2020-07-13,77,
2020-07-14,78,
2020-07-15,83,
2020-07-16,82,
2020-07-17,84,
2020-07-18,85,
2020-07-19,88,
2020-07-20,89,
2020-07-21,92,
2020-07-22,92,
2020-07-23,97,
2020-07-24,97,
2020-07-25,99,
2020-07-26,101,
2020-07-27,103,
2020-07-28,105,
2020-07-29,105,
2020-07-30,108,
2020-07-31,108,
2020-08-01,122,
2020-08-02,124,
2020-08-03,125,
2020-08-04,128,
2020-08-05,130,
2020-08-06,131,
2020-08-07,131,
2020-08-08,134,
2020-08-09,142,
2020-08-10,145,
2020-08-11,147,
2020-08-12,150,
2020-08-13,150,
2020-08-14,151,
2020-08-15,153,
2020-08-16,156,
2020-08-17,161,
2020-08-18,166,
2020-08-19,166,
2020-08-20,166,
2020-08-21,169,
2020-08-22,175,
2020-08-23,177,
2020-08-24,179,
2020-08-25,180,
2020-08-26,180,
2020-08-27,182,
2020-08-28,188,
2020-08-29,191,
2020-08-30,192,
2020-08-31,192,
2020-09-01,193,
2020-09-02,192,
2020-09-03,193,
2020-09-04,193,
2020-09-05,194,
2020-09-06,194,
2020-09-07,194,
2020-09-08,194,
2020-09-09,194,
2020-09-10,196,
2020-09-11,198,
2020-09-12,200,
2020-09-13,201,
2020-09-14,202,
2020-09-15,206,
2020-09-16,206,
2020-09-17,209,
2020-09-18,209,
2020-09-19,217,
2020-09-20,218,
2020-09-21,219,
2020-09-22,219,
2020-09-23,219,
2020-09-24,219,
2020-09-25,220,
2020-09-26,220,
2020-09-27,222,
2020-09-28,222,
2020-09-29,225,
2020-09-30,226,
2020-10-01,229,
2020-10-02,230,
2020-10-03,230,
2020-10-04,230,
2020-10-05,230,
2020-10-06,230,
2020-10-07,230,
2020-10-08,231,
2020-10-09,235,
2020-10-10,236,
2020-10-11,237,
2020-10-12,237,
2020-10-13,237,
2020-10-14,238,
2020-10-15,238,
2020-10-16,239,
2020-10-17,239,
2020-10-18,239,
2020-10-19,240,
2020-10-20,243,
2020-10-21,243,
2020-10-22,244,
2020-10-23,257,
2020-10-24,262,
2020-10-25,268,
2020-10-26,274,
2020-10-27,278,
2020-10-28,279,
2020-10-29,287,
2020-10-30,300,
2020-10-31,302,
2020-11-01,303,
2020-11-02,315,
2020-11-03,321,
2020-11-04,323,
2020-11-05,325,
2020-11-06,336,
2020-11-07,336,
2020-11-08,354,
2020-11-09,364,
2020-11-10,365,
2020-11-11,373,
2020-11-12,379,
2020-11-13,383,
2020-11-14,399,
2020-11-15,409,
2020-11-16,409,
2020-11-17,417,
2020-11-18,419,
2020-11-19,422,
2020-11-20,436,
2020-11-21,448,
2020-11-22,461,
2020-11-23,467,
2020-11-24,468,
2020-11-25,469,
2020-11-26,474,
2020-11-27,488,
2020-11-28,495,
2020-11-29,494,
2020-11-30,498,
2020-12-01,502,
2020-12-02,510,
2020-12-03,511,
2020-12-04,511,
2020-12-05,512,
2020-12-06,516,
2020-12-07,525,
2020-12-08,532,
2020-12-09,535,
2020-12-10,538,
2020-12-11,554,
2020-12-12,555,
2020-12-13,562,
2020-12-14,565,
2020-12-15,570,
2020-12-16,571,
2020-12-17,582,
2020-12-18,603,
2020-12-19,610,
2020-12-20,632,
2020-12-21,637,
2020-12-22,639,
2020-12-23,647,
2020-12-24,647,
2020-12-25,653,
2020-12-26,658,
2020-12-27,659,
2020-12-28,659,
2020-12-29,674,
2020-12-30,675,
2020-12-31,675,
2021-01-01,678,
2021-01-02,680,
2021-01-03,681,
2021-01-04,681,
2021-01-05,685,
2021-01-06,687,
2021-01-07,688,
2021-01-08,694,
2021-01-09,697,
2021-01-10,699,
2021-01-11,702,
2021-01-12,720,
2021-01-13,720,
2021-01-14,720,
2021-01-15,724,
2021-01-16,725,
2021-01-17,728,
2021-01-18,734,
2021-01-19,734,
2021-01-20,734,
2021-01-21,735,
2021-01-22,739,
2021-01-23,739,
2021-01-24,748,
2021-01-25,750,
2021-01-26,750,
2021-01-27,751,
2021-01-28,752,
2021-01-29,754,
2021-01-30,756,
2021-01-31,759,
2021-02-01,769,
2021-02-02,772,
2021-02-03,772,
2021-02-04,773,
2021-02-05,773,
2021-02-06,779,
