date,cases,deaths
2020-05-05,7,
2020-05-06,7,
2020-05-07,7,
2020-05-08,8,
2020-05-09,8,
2020-05-10,8,
2020-05-11,8,
2020-05-12,8,
2020-05-13,8,
2020-05-14,8,
2020-05-15,8,
2020-05-16,8,
2020-05-17,8,
2020-05-18,8,
2020-05-19,8,
2020-05-20,8,
2020-05-21,8,
2020-05-22,9,
2020-05-23,9,
2020-05-24,9,
2020-05-25,9,
2020-05-26,9,
2020-05-27,9,
2020-05-28,9,
2020-05-29,9,
2020-05-30,9,
2020-05-31,9,
2020-06-01,9,
2020-06-02,10,
2020-06-03,12,
2020-06-04,13,
2020-06-05,13,
2020-06-06,13,
2020-06-07,13,
2020-06-08,13,
2020-06-09,13,
2020-06-10,24,
2020-06-11,23,
2020-06-12,24,
2020-06-13,35,
2020-06-14,35,
2020-06-15,35,
2020-06-16,35,
2020-06-17,35,
2020-06-18,34,
2020-06-19,34,
2020-06-20,38,
2020-06-21,38,
2020-06-22,38,
2020-06-23,35,
2020-06-24,35,
2020-06-25,35,
2020-06-26,35,
2020-06-27,36,
2020-06-28,37,
2020-06-29,37,
2020-06-30,37,
2020-07-01,39,
2020-07-02,39,
2020-07-03,39,
2020-07-04,40,
2020-07-05,40,
2020-07-06,45,
2020-07-07,45,
2020-07-08,45,
2020-07-09,45,
2020-07-10,51,
2020-07-11,53,
2020-07-12,55,
2020-07-13,55,
2020-07-14,56,
2020-07-15,59,
2020-07-16,60,
2020-07-17,64,
2020-07-18,65,
2020-07-19,68,
2020-07-20,69,
2020-07-21,69,
2020-07-22,70,
2020-07-23,70,
2020-07-24,75,
2020-07-25,78,
2020-07-26,79,
2020-07-27,87,
2020-07-28,88,
2020-07-29,88,
2020-07-30,96,
2020-07-31,96,
2020-08-01,103,
2020-08-02,107,
2020-08-03,113,
2020-08-04,115,
2020-08-05,118,
2020-08-06,129,
2020-08-07,132,
2020-08-08,138,
2020-08-09,139,
2020-08-10,143,
2020-08-11,144,
2020-08-12,145,
2020-08-13,145,
2020-08-14,151,
2020-08-15,157,
2020-08-16,158,
2020-08-17,164,
2020-08-18,169,
2020-08-19,169,
2020-08-20,172,
2020-08-21,176,
2020-08-22,185,
2020-08-23,186,
2020-08-24,186,
2020-08-25,186,
2020-08-26,187,
2020-08-27,188,
2020-08-28,190,
2020-08-29,191,
2020-08-30,191,
2020-08-31,191,
2020-09-01,193,
2020-09-02,196,
2020-09-03,196,
2020-09-04,196,
2020-09-05,197,
2020-09-06,197,
2020-09-07,201,
2020-09-08,200,
2020-09-09,200,
2020-09-10,206,
2020-09-11,207,
2020-09-12,210,
2020-09-13,210,
2020-09-14,211,
2020-09-15,212,
2020-09-16,214,
2020-09-17,221,
2020-09-18,227,
2020-09-19,233,
2020-09-20,241,
2020-09-21,248,
2020-09-22,249,
2020-09-23,249,
2020-09-24,262,
2020-09-25,269,
2020-09-26,278,
2020-09-27,283,
2020-09-28,290,
2020-09-29,295,
2020-09-30,297,
2020-10-01,303,
2020-10-02,307,
2020-10-03,308,
2020-10-04,310,
2020-10-05,315,
2020-10-06,317,
2020-10-07,317,
2020-10-08,320,
2020-10-09,326,
2020-10-10,326,
2020-10-11,326,
2020-10-12,326,
2020-10-13,326,
2020-10-14,332,
2020-10-15,335,
2020-10-16,335,
2020-10-17,336,
2020-10-18,336,
2020-10-19,342,
2020-10-20,344,
2020-10-21,344,
2020-10-22,346,
2020-10-23,359,
2020-10-24,363,
2020-10-25,371,
2020-10-26,374,
2020-10-27,375,
2020-10-28,375,
2020-10-29,380,
2020-10-30,388,
2020-10-31,392,
2020-11-01,393,
2020-11-02,421,
2020-11-03,426,
2020-11-04,426,
2020-11-05,428,
2020-11-06,451,
2020-11-07,451,
2020-11-08,463,
2020-11-09,464,
2020-11-10,464,
2020-11-11,470,
2020-11-12,483,
2020-11-13,493,
2020-11-14,497,
2020-11-15,505,
2020-11-16,508,
2020-11-17,524,
2020-11-18,530,
2020-11-19,542,
2020-11-20,553,
2020-11-21,564,
2020-11-22,581,
2020-11-23,593,
2020-11-24,602,
2020-11-25,619,
2020-11-26,645,
2020-11-27,665,
2020-11-28,673,
2020-11-29,673,
2020-11-30,682,
2020-12-01,693,
2020-12-02,698,
2020-12-03,705,
2020-12-04,717,
2020-12-05,721,
2020-12-06,735,
2020-12-07,748,
2020-12-08,757,
2020-12-09,758,
2020-12-10,766,
2020-12-11,792,
2020-12-12,793,
2020-12-13,797,
2020-12-14,817,
2020-12-15,823,
2020-12-16,825,
2020-12-17,839,
2020-12-18,849,
2020-12-19,858,
2020-12-20,869,
2020-12-21,872,
2020-12-22,874,
2020-12-23,878,
2020-12-24,895,
2020-12-25,898,
2020-12-26,907,
2020-12-27,911,
2020-12-28,917,
2020-12-29,919,
2020-12-30,920,
2020-12-31,922,
2021-01-01,935,
2021-01-02,941,
2021-01-03,941,
2021-01-04,944,
2021-01-05,945,
2021-01-06,948,
2021-01-07,953,
2021-01-08,964,
2021-01-09,966,
2021-01-10,967,
2021-01-11,970,
2021-01-12,975,
2021-01-13,975,
2021-01-14,978,
2021-01-15,988,
2021-01-16,991,
2021-01-17,998,
