date,cases,deaths
2020-05-05,18,
2020-05-06,18,
2020-05-07,18,
2020-05-08,19,
2020-05-09,19,
2020-05-10,19,
2020-05-11,19,
2020-05-12,19,
2020-05-13,19,
2020-05-14,20,
2020-05-15,20,
2020-05-16,21,
2020-05-17,21,
2020-05-18,22,
2020-05-19,23,
2020-05-20,23,
2020-05-21,23,
2020-05-22,24,
2020-05-23,25,
2020-05-24,25,
2020-05-25,26,
2020-05-26,26,
2020-05-27,26,
2020-05-28,27,
2020-05-29,29,
2020-05-30,30,
2020-05-31,30,
2020-06-01,30,
2020-06-02,30,
2020-06-03,30,
2020-06-04,32,
2020-06-05,33,
2020-06-06,35,
2020-06-07,37,
2020-06-08,37,
2020-06-09,38,
2020-06-10,38,
2020-06-11,38,
2020-06-12,39,
2020-06-13,40,
2020-06-14,41,
2020-06-15,43,
2020-06-16,44,
2020-06-17,46,
2020-06-18,46,
2020-06-19,46,
2020-06-20,46,
2020-06-21,46,
2020-06-22,47,
2020-06-23,47,
2020-06-24,48,
2020-06-25,48,
2020-06-26,48,
2020-06-27,48,
2020-06-28,48,
2020-06-29,48,
2020-06-30,49,
2020-07-01,51,
2020-07-02,51,
2020-07-03,52,
2020-07-04,52,
2020-07-05,53,
2020-07-06,56,
2020-07-07,57,
2020-07-08,57,
2020-07-09,58,
2020-07-10,59,
2020-07-11,60,
2020-07-12,62,
2020-07-13,67,
2020-07-14,67,
2020-07-15,68,
2020-07-16,69,
2020-07-17,71,
2020-07-18,71,
2020-07-19,77,
2020-07-20,84,
2020-07-21,89,
2020-07-22,89,
2020-07-23,92,
2020-07-24,98,
2020-07-25,107,
2020-07-26,116,
2020-07-27,118,
2020-07-28,124,
2020-07-29,129,
2020-07-30,141,
2020-07-31,145,
2020-08-01,174,
2020-08-02,176,
2020-08-03,178,
2020-08-04,188,
2020-08-05,189,
2020-08-06,192,
2020-08-07,203,
2020-08-08,218,
2020-08-09,226,
2020-08-10,242,
2020-08-11,247,
2020-08-12,249,
2020-08-13,263,
2020-08-14,271,
2020-08-15,275,
2020-08-16,281,
2020-08-17,296,
2020-08-18,307,
2020-08-19,311,
2020-08-20,318,
2020-08-21,322,
2020-08-22,342,
2020-08-23,345,
2020-08-24,358,
2020-08-25,359,
2020-08-26,361,
2020-08-27,376,
2020-08-28,387,
2020-08-29,397,
2020-08-30,412,
2020-08-31,415,
2020-09-01,418,
2020-09-02,421,
2020-09-03,421,
2020-09-04,422,
2020-09-05,423,
2020-09-06,425,
2020-09-07,435,
2020-09-08,442,
2020-09-09,442,
2020-09-10,454,
2020-09-11,457,
2020-09-12,466,
2020-09-13,470,
2020-09-14,473,
2020-09-15,480,
2020-09-16,481,
2020-09-17,499,
2020-09-18,519,
2020-09-19,540,
2020-09-20,551,
2020-09-21,561,
2020-09-22,566,
2020-09-23,566,
2020-09-24,578,
2020-09-25,604,
2020-09-26,609,
2020-09-27,611,
2020-09-28,617,
2020-09-29,634,
2020-09-30,638,
2020-10-01,651,
2020-10-02,664,
2020-10-03,671,
2020-10-04,674,
2020-10-05,682,
2020-10-06,689,
2020-10-07,689,
2020-10-08,697,
2020-10-09,700,
2020-10-10,701,
2020-10-11,709,
2020-10-12,722,
2020-10-13,726,
2020-10-14,744,
2020-10-15,764,
2020-10-16,769,
2020-10-17,774,
2020-10-18,786,
2020-10-19,798,
2020-10-20,809,
2020-10-21,810,
2020-10-22,815,
2020-10-23,843,
2020-10-24,847,
2020-10-25,863,
2020-10-26,870,
2020-10-27,872,
2020-10-28,873,
2020-10-29,886,
2020-10-30,905,
2020-10-31,907,
2020-11-01,914,
2020-11-02,931,
2020-11-03,937,
2020-11-04,938,
2020-11-05,947,
2020-11-06,963,
2020-11-07,963,
2020-11-08,989,
2020-11-09,994,
2020-11-10,999,
2020-11-11,999,
2020-11-12,1010,
2020-11-13,1018,
2020-11-14,1027,
2020-11-15,1031,
2020-11-16,1034,
2020-11-17,1056,
2020-11-18,1065,
2020-11-19,1066,
2020-11-20,1073,
2020-11-21,1082,
2020-11-22,1085,
2020-11-23,1101,
2020-11-24,1110,
2020-11-25,1111,
2020-11-26,1122,
2020-11-27,1134,
2020-11-28,1148,
2020-11-29,1149,
2020-11-30,1154,
2020-12-01,1162,
2020-12-02,1164,
2020-12-03,1168,
2020-12-04,1178,
2020-12-05,1200,
2020-12-06,1209,
2020-12-07,1219,
2020-12-08,1228,
2020-12-09,1238,
2020-12-10,1244,
2020-12-11,1267,
2020-12-12,1274,
2020-12-13,1284,
2020-12-14,1293,
2020-12-15,1301,
2020-12-16,1304,
2020-12-17,1306,
2020-12-18,1319,
