date,cases,deaths
2020-05-05,12,0
2020-05-06,12,0
2020-05-07,14,0
2020-05-08,16,0
2020-05-09,16,0
2020-05-10,16,0
2020-05-11,16,0
2020-05-12,16,0
2020-05-13,16,0
2020-05-14,16,0
2020-05-15,16,0
2020-05-16,17,0
2020-05-17,17,0
2020-05-18,17,0
2020-05-19,17,0
2020-05-20,17,0
2020-05-21,17,0
2020-05-22,19,0
2020-05-23,21,0
2020-05-24,27,0
2020-05-25,27,0
2020-05-26,28,0
2020-05-27,29,0
2020-05-28,29,0
2020-05-29,32,0
2020-05-30,37,0
2020-05-31,38,0
2020-06-01,39,0
2020-06-02,41,0
2020-06-03,43,0
2020-06-04,47,0
2020-06-05,48,0
2020-06-06,49,0
2020-06-07,51,0
2020-06-08,51,0
2020-06-09,51,0
2020-06-10,52,0
2020-06-11,52,0
2020-06-12,53,0
2020-06-13,56,0
2020-06-14,59,0
2020-06-15,60,0
2020-06-16,60,0
2020-06-17,60,0
2020-06-18,58,0
2020-06-19,61,0
2020-06-20,63,0
2020-06-21,63,0
2020-06-22,63,0
2020-06-23,58,0
2020-06-24,67,0
2020-06-25,67,0
2020-06-26,67,0
2020-06-27,76,0
2020-06-28,77,0
2020-06-29,77,0
2020-06-30,79,0
2020-07-01,80,0
2020-07-02,82,0
2020-07-03,82,0
2020-07-04,83,0
2020-07-05,83,0
2020-07-06,90,0
2020-07-07,92,0
2020-07-08,92,0
2020-07-09,92,0
2020-07-10,94,0
2020-07-11,94,0
2020-07-12,94,0
2020-07-13,98,0
