date,cases,deaths
2020-05-05,6,0
2020-05-06,6,0
2020-05-07,6,0
2020-05-08,6,0
2020-05-09,6,0
2020-05-10,7,0
2020-05-11,7,0
2020-05-12,7,0
2020-05-13,7,0
2020-05-14,6,0
2020-05-15,6,0
2020-05-16,6,0
2020-05-17,7,0
2020-05-18,7,0
2020-05-19,7,0
2020-05-20,7,0
2020-05-21,7,0
2020-05-22,7,0
2020-05-23,7,0
2020-05-24,10,0
2020-05-25,10,0
2020-05-26,10,0
2020-05-27,11,0
2020-05-28,12,0
2020-05-29,13,0
2020-05-30,16,0
2020-05-31,20,0
2020-06-01,20,0
2020-06-02,22,0
2020-06-03,22,0
2020-06-04,31,0
2020-06-05,31,0
2020-06-06,33,0
2020-06-07,33,0
2020-06-08,36,0
2020-06-09,40,0
2020-06-10,40,0
2020-06-11,40,0
2020-06-12,40,0
2020-06-13,40,0
2020-06-14,40,0
2020-06-15,40,0
2020-06-16,40,0
2020-06-17,40,0
2020-06-18,40,0
2020-06-19,40,0
2020-06-20,40,0
2020-06-21,40,0
2020-06-22,40,0
2020-06-23,40,0
2020-06-24,40,0
2020-06-25,48,0
2020-06-26,48,0
2020-06-27,48,0
2020-06-28,48,0
2020-06-29,50,0
2020-06-30,50,0
2020-07-01,50,0
2020-07-02,50,0
2020-07-03,51,0
2020-07-04,51,0
2020-07-05,52,0
2020-07-06,53,0
2020-07-07,53,0
2020-07-08,53,0
2020-07-09,53,0
2020-07-10,53,0
2020-07-11,53,0
2020-07-12,55,0
