date,cases,deaths
2020-05-05,44,0
2020-05-06,44,0
2020-05-07,45,0
2020-05-08,49,0
2020-05-09,49,0
2020-05-10,49,0
2020-05-11,49,0
2020-05-12,49,0
2020-05-13,50,0
2020-05-14,52,0
2020-05-15,53,0
2020-05-16,55,0
2020-05-17,58,0
2020-05-18,60,0
2020-05-19,64,0
2020-05-20,67,0
2020-05-21,67,0
2020-05-22,69,0
2020-05-23,78,0
2020-05-24,80,0
2020-05-25,80,0
2020-05-26,80,0
2020-05-27,80,0
2020-05-28,84,0
2020-05-29,91,0
2020-05-30,91,0
2020-05-31,92,0
2020-06-01,93,0
2020-06-02,95,0
2020-06-03,96,0
2020-06-04,109,0
2020-06-05,109,0
2020-06-06,117,0
2020-06-07,117,0
2020-06-08,118,0
2020-06-09,121,0
2020-06-10,121,0
2020-06-11,121,0
2020-06-12,121,0
2020-06-13,121,0
2020-06-14,121,0
2020-06-15,121,0
2020-06-16,121,0
2020-06-17,121,0
2020-06-18,121,0
2020-06-19,121,0
2020-06-20,121,0
2020-06-21,121,0
2020-06-22,121,0
2020-06-23,121,0
2020-06-24,121,0
2020-06-25,153,0
2020-06-26,154,0
2020-06-27,158,0
2020-06-28,162,0
2020-06-29,165,0
2020-06-30,166,0
2020-07-01,167,0
2020-07-02,168,0
2020-07-03,171,0
2020-07-04,171,0
2020-07-05,174,0
2020-07-06,192,0
2020-07-07,196,0
2020-07-08,198,0
2020-07-09,205,0
2020-07-10,219,0
2020-07-11,227,0
2020-07-12,238,0
2020-07-13,248,0
2020-07-14,252,0
2020-07-15,255,0
2020-07-16,260,0
2020-07-17,277,0
2020-07-18,291,0
2020-07-19,304,0
2020-07-20,318,0
2020-07-21,332,0
2020-07-22,336,0
2020-07-23,341,0
2020-07-24,355,0
2020-07-25,370,0
2020-07-26,379,0
2020-07-27,394,0
2020-07-28,402,0
2020-07-29,403,0
2020-07-30,414,0
2020-07-31,418,0
2020-08-01,427,0
2020-08-02,434,0
2020-08-03,440,0
2020-08-04,447,0
2020-08-05,451,0
2020-08-06,460,0
2020-08-07,471,0
2020-08-08,478,0
2020-08-09,493,0
2020-08-10,507,0
2020-08-11,516,0
2020-08-12,519,0
2020-08-13,526,0
2020-08-14,544,0
2020-08-15,549,0
2020-08-16,557,0
2020-08-17,563,0
2020-08-18,569,0
2020-08-19,570,0
2020-08-20,572,0
2020-08-21,578,0
2020-08-22,592,0
2020-08-23,604,0
2020-08-24,606,0
2020-08-25,607,0
2020-08-26,607,0
2020-08-27,612,0
2020-08-28,619,0
2020-08-29,626,0
2020-08-30,632,0
2020-08-31,639,0
2020-09-01,650,0
2020-09-02,656,0
2020-09-03,663,0
2020-09-04,664,0
2020-09-05,668,0
2020-09-06,666,0
2020-09-07,675,0
2020-09-08,679,0
2020-09-09,679,0
2020-09-10,692,0
2020-09-11,701,0
2020-09-12,707,0
2020-09-13,715,0
2020-09-14,719,0
2020-09-15,722,0
2020-09-16,721,0
2020-09-17,727,0
2020-09-18,735,0
2020-09-19,742,0
2020-09-20,761,0
2020-09-21,770,0
2020-09-22,770,0
2020-09-23,773,0
2020-09-24,776,0
2020-09-25,781,0
2020-09-26,787,0
2020-09-27,813,0
2020-09-28,831,0
2020-09-29,834,0
2020-09-30,836,0
2020-10-01,837,0
2020-10-02,842,0
2020-10-03,853,0
2020-10-04,858,0
2020-10-05,865,0
2020-10-06,869,0
2020-10-07,870,0
2020-10-08,879,0
2020-10-09,885,0
2020-10-10,891,0
2020-10-11,896,0
2020-10-12,912,0
2020-10-13,916,0
2020-10-14,922,0
2020-10-15,925,0
2020-10-16,932,0
2020-10-17,935,0
2020-10-18,945,0
2020-10-19,956,0
2020-10-20,962,0
2020-10-21,963,0
2020-10-22,970,0
2020-10-23,980,0
2020-10-24,983,0
2020-10-25,993,0
2020-10-26,995,0
2020-10-27,997,0
2020-10-28,997,0
2020-10-29,1009,0
2020-10-30,1015,0
2020-10-31,1015,0
2020-11-01,1028,0
2020-11-02,1040,0
2020-11-03,1047,0
2020-11-04,1050,0
2020-11-05,1053,0
2020-11-06,1069,0
2020-11-07,1069,0
2020-11-08,1087,0
2020-11-09,1098,0
2020-11-10,1100,0
2020-11-11,1103,0
2020-11-12,1118,0
2020-11-13,1123,0
2020-11-14,1140,0
2020-11-15,1151,0
2020-11-16,1157,0
2020-11-17,1165,0
