date,cases,deaths
2020-05-05,54,0
2020-05-06,54,0
2020-05-07,56,0
2020-05-08,58,0
2020-05-09,58,0
2020-05-10,58,0
2020-05-11,61,0
2020-05-12,62,0
2020-05-13,62,0
2020-05-14,62,0
2020-05-15,68,0
2020-05-16,70,0
2020-05-17,72,0
2020-05-18,76,0
2020-05-19,76,0
2020-05-20,79,0
2020-05-21,80,0
2020-05-22,82,0
2020-05-23,84,0
2020-05-24,86,0
2020-05-25,89,0
2020-05-26,92,0
2020-05-27,94,0
2020-05-28,94,0
2020-05-29,100,0
2020-05-30,105,0
2020-05-31,111,0
2020-06-01,113,0
2020-06-02,115,0
2020-06-03,117,0
2020-06-04,124,0
2020-06-05,125,0
2020-06-06,128,0
2020-06-07,131,0
2020-06-08,132,0
2020-06-09,136,0
2020-06-10,136,0
2020-06-11,135,0
2020-06-12,138,0
2020-06-13,139,0
2020-06-14,143,0
2020-06-15,145,0
2020-06-16,147,0
2020-06-17,153,0
2020-06-18,154,0
2020-06-19,160,0
2020-06-20,163,0
2020-06-21,162,0
2020-06-22,162,0
2020-06-23,165,0
2020-06-24,169,0
2020-06-25,175,0
2020-06-26,176,0
2020-06-27,181,0
2020-06-28,183,0
2020-06-29,184,0
2020-06-30,192,0
2020-07-01,192,0
2020-07-02,192,0
2020-07-03,198,0
2020-07-04,200,0
2020-07-05,207,0
2020-07-06,223,0
2020-07-07,229,0
2020-07-08,235,0
2020-07-09,244,0
2020-07-10,251,0
2020-07-11,259,0
2020-07-12,262,0
2020-07-13,275,0
2020-07-14,276,0
2020-07-15,277,0
2020-07-16,282,0
2020-07-17,293,0
2020-07-18,302,0
2020-07-19,310,0
2020-07-20,315,0
2020-07-21,323,0
2020-07-22,325,0
2020-07-23,331,0
2020-07-24,350,0
2020-07-25,360,0
2020-07-26,372,0
2020-07-27,375,0
2020-07-28,384,0
2020-07-29,385,0
2020-07-30,389,0
2020-07-31,395,0
2020-08-01,414,0
2020-08-02,428,0
2020-08-03,433,0
2020-08-04,444,0
2020-08-05,444,0
2020-08-06,449,0
2020-08-07,460,0
2020-08-08,478,0
2020-08-09,490,0
2020-08-10,499,0
2020-08-11,506,0
2020-08-12,510,0
2020-08-13,526,0
2020-08-14,541,0
2020-08-15,552,0
2020-08-16,564,0
2020-08-17,569,0
2020-08-18,580,0
2020-08-19,583,0
2020-08-20,584,0
2020-08-21,599,0
2020-08-22,611,0
2020-08-23,612,0
2020-08-24,618,0
2020-08-25,622,0
2020-08-26,624,0
2020-08-27,633,0
2020-08-28,641,0
2020-08-29,644,0
2020-08-30,649,0
2020-08-31,656,0
2020-09-01,657,0
2020-09-02,667,0
2020-09-03,668,0
2020-09-04,668,0
2020-09-05,669,0
2020-09-06,669,0
2020-09-07,671,0
2020-09-08,670,0
2020-09-09,670,0
2020-09-10,676,0
2020-09-11,682,0
2020-09-12,695,0
2020-09-13,701,0
2020-09-14,712,0
2020-09-15,716,0
2020-09-16,717,0
2020-09-17,724,0
2020-09-18,733,0
2020-09-19,776,0
2020-09-20,810,0
2020-09-21,824,0
2020-09-22,825,0
2020-09-23,827,0
2020-09-24,854,0
2020-09-25,867,0
2020-09-26,875,0
2020-09-27,889,0
2020-09-28,932,0
2020-09-29,950,0
2020-09-30,952,0
2020-10-01,961,0
2020-10-02,964,0
2020-10-03,969,0
2020-10-04,982,0
2020-10-05,993,0
2020-10-06,996,0
2020-10-07,999,0
2020-10-08,1007,0
2020-10-09,1011,0
2020-10-10,1025,0
2020-10-11,1033,0
2020-10-12,1044,0
2020-10-13,1048,0
2020-10-14,1053,0
2020-10-15,1058,0
2020-10-16,1071,0
2020-10-17,1080,0
2020-10-18,1089,0
2020-10-19,1127,0
2020-10-20,1159,0
2020-10-21,1161,0
2020-10-22,1171,0
2020-10-23,1191,0
2020-10-24,1195,0
2020-10-25,1204,0
2020-10-26,1223,0
2020-10-27,1231,0
2020-10-28,1231,0
2020-10-29,1252,0
2020-10-30,1262,0
2020-10-31,1269,0
2020-11-01,1284,0
2020-11-02,1341,0
2020-11-03,1361,0
2020-11-04,1363,0
2020-11-05,1367,0
2020-11-06,1382,0
2020-11-07,1382,0
2020-11-08,1406,0
2020-11-09,1420,0
2020-11-10,1421,0
2020-11-11,1421,0
2020-11-12,1437,0
2020-11-13,1446,0
2020-11-14,1450,0
2020-11-15,1464,0
2020-11-16,1469,0
2020-11-17,1479,0
2020-11-18,1480,0
