date,cases,deaths
2020-05-05,29,0
2020-05-06,29,0
2020-05-07,29,0
2020-05-08,29,0
2020-05-09,30,0
2020-05-10,31,0
2020-05-11,31,0
2020-05-12,31,0
2020-05-13,31,0
2020-05-14,31,0
2020-05-15,31,0
2020-05-16,32,0
2020-05-17,33,0
2020-05-18,34,0
2020-05-19,35,0
2020-05-20,35,0
2020-05-21,35,0
2020-05-22,35,0
2020-05-23,35,0
2020-05-24,35,0
2020-05-25,36,0
2020-05-26,38,0
2020-05-27,40,0
2020-05-28,40,0
2020-05-29,40,0
2020-05-30,47,0
2020-05-31,47,0
2020-06-01,47,0
2020-06-02,47,0
2020-06-03,47,0
2020-06-04,68,0
2020-06-05,69,0
2020-06-06,74,0
2020-06-07,76,0
2020-06-08,77,0
2020-06-09,77,0
2020-06-10,78,0
2020-06-11,78,0
2020-06-12,78,0
2020-06-13,78,0
2020-06-14,78,0
2020-06-15,78,0
2020-06-16,78,0
2020-06-17,78,0
2020-06-18,78,0
2020-06-19,78,0
2020-06-20,78,0
2020-06-21,78,0
2020-06-22,78,0
2020-06-23,78,0
2020-06-24,78,0
2020-06-25,93,0
2020-06-26,94,0
2020-06-27,96,0
2020-06-28,96,0
2020-06-29,96,0
2020-06-30,98,0
2020-07-01,98,0
2020-07-02,98,0
2020-07-03,99,0
2020-07-04,100,0
2020-07-05,100,0
2020-07-06,101,0
2020-07-07,103,0
2020-07-08,104,0
2020-07-09,104,0
2020-07-10,105,0
2020-07-11,109,0
2020-07-12,111,0
2020-07-13,112,0
2020-07-14,113,0
2020-07-15,115,0
2020-07-16,117,0
2020-07-17,122,0
2020-07-18,123,0
2020-07-19,129,0
2020-07-20,135,0
2020-07-21,139,0
2020-07-22,141,0
2020-07-23,142,0
2020-07-24,144,0
2020-07-25,151,0
2020-07-26,154,0
2020-07-27,156,0
2020-07-28,158,0
2020-07-29,158,0
2020-07-30,166,0
2020-07-31,170,0
2020-08-01,173,0
2020-08-02,184,0
2020-08-03,185,0
2020-08-04,191,0
2020-08-05,196,0
2020-08-06,212,0
2020-08-07,217,0
2020-08-08,220,0
2020-08-09,231,0
2020-08-10,236,0
