date,cases,deaths
2020-05-05,2,0
2020-05-06,2,0
2020-05-07,2,0
2020-05-08,3,0
2020-05-09,3,0
2020-05-10,3,0
2020-05-11,3,0
2020-05-12,3,0
2020-05-13,3,0
2020-05-14,3,0
2020-05-15,3,0
2020-05-16,3,0
2020-05-17,3,0
2020-05-18,3,0
2020-05-19,3,0
2020-05-20,3,0
2020-05-21,3,0
2020-05-22,3,0
2020-05-23,3,0
2020-05-24,3,0
2020-05-25,3,0
2020-05-26,3,0
2020-05-27,3,0
2020-05-28,3,0
2020-05-29,3,0
2020-05-30,3,0
2020-05-31,3,0
2020-06-01,3,0
2020-06-02,3,0
2020-06-03,3,0
2020-06-04,7,0
2020-06-05,7,0
2020-06-06,8,0
2020-06-07,8,0
2020-06-08,8,0
2020-06-09,9,0
2020-06-10,9,0
2020-06-11,9,0
2020-06-12,9,0
2020-06-13,10,0
2020-06-14,10,0
2020-06-15,10,0
2020-06-16,10,0
2020-06-17,10,0
2020-06-18,10,0
2020-06-19,10,0
2020-06-20,11,0
2020-06-21,12,0
2020-06-22,12,0
2020-06-23,13,0
2020-06-24,13,0
2020-06-25,13,0
2020-06-26,13,0
2020-06-27,13,0
2020-06-28,13,0
2020-06-29,13,0
2020-06-30,13,0
2020-07-01,13,0
2020-07-02,13,0
2020-07-03,14,0
2020-07-04,15,0
2020-07-05,15,0
2020-07-06,17,0
2020-07-07,19,0
2020-07-08,19,0
2020-07-09,22,0
2020-07-10,23,0
2020-07-11,24,0
2020-07-12,24,0
2020-07-13,28,0
2020-07-14,28,0
2020-07-15,28,0
2020-07-16,34,0
2020-07-17,35,0
2020-07-18,39,0
2020-07-19,39,0
2020-07-20,41,0
2020-07-21,41,0
2020-07-22,43,0
2020-07-23,45,0
2020-07-24,47,0
2020-07-25,51,0
2020-07-26,52,0
2020-07-27,53,0
2020-07-28,53,0
2020-07-29,54,0
2020-07-30,54,0
2020-07-31,57,0
2020-08-01,57,0
2020-08-02,57,0
2020-08-03,57,0
2020-08-04,57,0
2020-08-05,57,0
2020-08-06,57,0
2020-08-07,58,0
2020-08-08,60,0
2020-08-09,68,0
2020-08-10,75,0
2020-08-11,76,0
2020-08-12,78,0
